DOTS all new case detection rate (%),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,,,,,,,,4,9,9,20,28,35,34,43,50,55,61
Albania,,,,,,,,,,,,27,31,28,41,28,42,59
Algeria,,,,,,,,123,,,124,117,115,117,113,117,112,109
American Samoa,,,,,,,0,90,,90,90,90,90,90,90,75,90,90
Angola,,,,,,,,45,32,41,,56,71,82,68,66,60,80
Argentina,,,,,,,,4,8,23,37,43,81,78,79,75,75,79
Armenia,,,,,,10,28,48,59,47,41,33,40,53,65,92,74,71
Australia,,,,,,,,,34,43,38,41,53,50,54,77,80,83
Austria,,,,,,,,,,,101,89,77,87,84,88,82,78
Azerbaijan,,,,,,5,9,6,6,7,3,0,44,25,54,74,69,68
Bahamas,,,,,,,,,,59,62,,32,27,38,,,31
Bahrain,,,,,,,,,,11,15,18,18,24,81,93,92,96
Bangladesh,,,,,,4,10,12,16,21,17,18,20,25,28,34,40,41
Belarus,,,,,,,,,,,,,,87,91,89,87,82
Belgium,,,,,,,,,,,,81,80,72,82,78,80,77
Belize,,,,,,,90,65,,,102,118,111,83,68,83,69,49
Benin,,,,,,47,44,36,41,43,43,,36,35,41,41,44,
Bermuda,,,,,,,,,,,,,0,,,,,
Bhutan,,,,,,59,60,60,64,60,60,54,58,55,54,56,52,59
Bolivia,,,,,,29,61,59,61,60,59,64,62,61,61,61,57,55
Bosnia and Herzegovina,,,,,,,,,63,103,97,103,73,77,108,98,83,110
Botswana,,,,,,79,88,87,53,79,82,77,76,67,68,68,59,54
Brazil,,,,,,,,,4,4,5,6,8,15,43,52,62,70
British Virgin Islands,,,,,,,,,,,,,,,,0,,
Brunei Darussalam,,,,,,,,,,88,86,86,86,88,86,87,85,85
Bulgaria,,,,,,,,,,,13,13,59,95,96,101,100,93
Burkina Faso,,,,,,8,11,9,11,10,9,26,8,8,9,10,11,11
Burundi,,,,,,23,24,32,15,32,,27,24,24,24,21,19,20
Cambodia,,,,,,22,18,23,24,28,27,27,35,40,43,49,48,49
Cameroon,,,,,,,2,,5,11,17,20,31,44,48,57,63,65
Canada,68,71,77,77,82,80,80,87,82,87,84,86,83,86,87,86,83,84
Cape Verde,,,,,,,,,,,,34,,,,35,32,33
Central African Republic,,,,,,,43,,,,,8,24,3,2,20,38,
Chad,,,,,,23,12,,,22,,,17,4,12,19,,18
Chile,,,,,,99,106,106,104,103,95,99,83,80,105,87,108,111
China,,,,,,11,18,21,24,24,24,25,27,37,52,64,68,71
Colombia,,,,,,,,,,21,65,,7,6,14,21,65,64
Comoros,,,,,,29,31,,32,,29,35,29,19,23,30,30,
"Congo, Rep.",,,,,,52,,,42,,80,76,71,52,62,62,54,58
Cook Islands,,,75,72,90,90,90,90,0,60,90,90,90,0,90,90,90,
Costa Rica,,,,,,,,,,26,119,76,68,91,134,102,95,106
Croatia,,,,,,,,,,,,,,0,,,,48
Cuba,,,,,,84,86,85,84,82,90,76,79,79,80,86,91,99
Cyprus,,,,,,,,,121,60,,,45,81,68,80,85,97
Czech Republic,,,,,,87,96,89,92,90,89,92,90,93,91,91,96,88
Cote d'Ivoire,,,,,,30,30,29,28,26,20,5,19,21,22,21,24,27
"Korea, Dem. Rep.",,,,,,,,,,1,12,24,38,47,53,51,53,69
"Congo, Dem. Rep.",,,,,,33,36,33,40,37,33,33,32,36,38,39,38,39
Denmark,,,,,,,,,,,,,,79,78,88,77,81
Djibouti,,,,,,,68,81,75,83,73,73,54,52,46,46,43,45
Dominica,,,,,,,,51,31,,,,21,,,,210,33
Dominican Republic,,,,,,,,,,5,5,5,35,50,55,62,58,56
Ecuador,,,,,,,,,,,,3,20,25,28,19,25,32
Egypt,,,,,,53,1,14,18,32,50,53,60,64,66,67,60,60
El Salvador,,,,,,,,45,43,45,42,43,47,43,45,60,55,59
Equatorial Guinea,,,,,,51,49,51,52,,,,,,40,,,
Estonia,,,,,,,,,,,72,68,70,73,76,74,69,78
Ethiopia,,,,,,19,27,35,37,35,39,36,39,39,39,39,38,40
Fiji,62,71,71,57,72,67,69,62,63,77,60,79,67,86,66,69,62,54
Finland,,,,,,,,,,,,,,0,,,,0
France,,,,,,,,,,,,,,0,,,,0
French Polynesia,,,,,,,89,82,83,85,84,90,79,81,77,86,87,87
Gabon,,,,,,,,,,,,73,57,59,66,56,61,67
Gambia,,,,,,43,45,50,55,,,,53,53,54,49,42,42
Georgia,,,,,,52,112,,132,121,106,99,114,107,103,115,116,110
Germany,,,,,,,,94,93,28,,83,93,91,91,91,90,91
Ghana,,,,,,10,8,19,19,19,23,26,26,25,25,25,26,26
Greece,,,,,,,,,,,,,,0,,0,,0
Guam,,,,,,,,,,,90,76,86,34,88,89,90,88
Guatemala,,,,,,31,44,40,37,38,36,30,35,31,39,40,42,29
Guinea,,,,,,30,34,32,32,32,32,32,32,31,33,28,34,34
Guinea-Bissau,,,,,,,,,,,45,,36,38,47,50,56,
Guyana,,,,,,,,,,,6,11,14,19,41,53,50,48
Haiti,,,,,,,,1,7,15,18,22,29,36,38,45,45,45
Honduras,,,,,,,,,2,15,96,105,95,81,78,73,71,66
Hungary,,,,,,,,,,79,81,82,81,80,82,76,81,85
Iceland,,,,,,,,,,,,121,107,70,141,98,124,0
India,,,,,,0,1,1,2,7,11,22,28,41,53,56,59,61
Indonesia,,,,,,1,2,4,7,12,12,16,27,31,38,46,51,51
Iran,,,,,,38,,12,35,52,56,57,57,57,57,54,57,59
Iraq,,,,,,,,,7,14,65,69,75,71,63,55,47,45
Ireland,,,,,,,,,,,,,,0,,0,,0
Israel,,,,,,,,,,,16,101,87,96,94,77,73,74
Italy,,,,,,,14,12,14,60,42,17,82,92,88,86,94,0
Jamaica,,,,,,,76,72,69,63,67,69,59,69,64,51,53,57
Japan,,,,,,,,,,,34,43,50,59,63,73,84,87
Jordan,,,,,,86,,,81,86,73,85,77,80,79,84,82,76
Kazakhstan,,,,,,,,,5,107,108,106,111,108,107,107,100,108
Kenya,,,,,,44,46,44,47,48,44,54,56,60,64,69,77,80
Kiribati,,,,,,,,9,78,69,59,52,55,80,88,94,107,95
