Whole country all new case detection rate (%),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,,,,,,,,4,9,9,20,28,35,34,43,50,55,61
Albania,,,,,,68,84,75,78,86,76,73,81,76,82,79,80,78
Algeria,,,,,,109,,123,113,110,124,117,115,117,113,117,112,109
American Samoa,,,,,,,0,90,,90,90,90,90,90,90,75,90,90
Angola,,,,,,20,49,45,38,41,45,56,75,86,80,80,77,80
Anguilla,,,,,,83,,0,,,,0,0,,0,,0,0
Argentina,,,,,,79,80,76,77,70,71,78,81,78,79,75,75,79
Armenia,,,,,,64,53,54,67,69,59,61,64,66,72,92,74,71
Australia,,,,,,,,87,74,91,83,82,89,80,88,82,88,83
Austria,,,,,,103,92,103,100,89,101,89,77,87,84,88,82,78
Azerbaijan,,,,,,36,54,92,86,80,83,77,79,60,68,74,69,68
Bahamas,,,,,,45,46,69,57,59,62,,32,27,38,,,31
Bahrain,,,,,,34,20,20,39,11,15,18,18,24,81,93,92,96
Bangladesh,,,,,,13,20,19,22,22,22,22,23,25,28,34,40,41
Belarus,,,,,,81,85,82,76,88,81,36,,87,91,89,87,82
Belgium,,,,,,72,73,75,66,73,75,81,80,72,82,78,80,77
Belize,,,,,,83,90,65,,,102,118,111,83,68,83,69,49
Benin,,,,,,47,44,36,41,43,43,,41,41,41,41,44,
Bermuda,,,,,,123,,,,,0,0,0,,245,,126,
Bhutan,,,,,,59,60,60,64,60,60,54,58,55,54,56,52,59
Bolivia,,,,,,58,61,59,61,60,59,64,62,61,61,61,57,55
Bosnia and Herzegovina,,,,,,69,76,93,92,103,97,103,73,77,108,98,83,110
Botswana,,,,,,79,88,87,53,79,82,77,76,67,68,68,59,54
Brazil,,,,,,77,76,71,72,73,72,65,77,74,83,81,79,78
British Virgin Islands,,,,,,,,113,,,41,42,42,43,86,0,,0
Brunei Darussalam,,,,,,,,84,,88,86,86,86,88,86,87,85,85
Bulgaria,,,,,,103,97,98,113,90,84,99,88,95,96,101,100,93
Burkina Faso,,,,,,10,11,9,11,10,9,26,8,8,9,10,11,11
Burundi,,,,,,23,24,32,36,32,,27,24,24,24,21,19,20
Cambodia,,,,,,22,22,23,24,28,27,27,35,40,43,49,48,49
Cameroon,,,,,,19,16,19,22,31,19,20,33,44,48,57,63,65
Canada,68,71,77,77,82,80,80,87,82,87,84,86,83,86,87,86,83,84
Cape Verde,,,,,,41,24,24,27,,,34,24,39,35,35,32,33
Central African Republic,,,,,,44,43,50,49,45,,18,32,27,25,20,39,
Chad,,,,,,23,12,,,22,,,17,15,15,19,,18
Chile,,,,,,99,106,106,104,103,95,99,83,80,105,87,108,111
China,,,,,,25,35,33,32,32,32,33,33,41,54,64,68,71
Colombia,,,,,,55,54,45,52,63,65,64,64,66,64,59,65,64
Comoros,,,,,,29,31,,32,,29,35,29,19,23,30,30,
"Congo, Rep.",,,,,,52,34,24,42,48,80,76,71,52,62,62,54,58
Cook Islands,,90,90,90,90,90,90,90,0,60,90,90,90,0,90,90,90,
Costa Rica,,,,,,59,63,70,90,151,119,116,101,97,134,102,95,106
Croatia,,,,,,67,67,65,69,64,,67,67,70,61,56,56,48
Cuba,,,,,,84,86,85,84,82,90,76,79,79,80,86,91,99
Cyprus,,,,,,58,47,92,121,60,68,,45,81,68,80,85,97
Czech Republic,,,,,,87,96,89,92,90,89,92,90,93,91,91,96,88
Cote d'Ivoire,,,,,,30,30,29,28,26,20,23,21,22,24,23,24,27
"Korea, Dem. Rep.",,,,,,,,14,1,16,43,36,49,50,53,51,53,69
"Congo, Dem. Rep.",,,,,,34,36,33,40,37,33,33,32,36,38,39,38,39
Denmark,,,,,,73,80,95,88,108,111,98,80,79,78,88,77,81
Djibouti,,,,,,,68,81,75,83,73,73,54,52,46,46,43,45
Dominica,,,,,,51,92,51,52,,,,21,,,,210,33
Dominican Republic,,,,,,49,76,76,57,72,63,58,51,60,60,66,62,56
Ecuador,,,,,,48,52,59,47,37,44,40,37,40,39,29,30,33
Egypt,,,,,,111,58,69,64,60,56,53,60,64,66,67,60,60
El Salvador,,,,,,65,44,45,46,45,42,43,47,43,45,60,55,59
Equatorial Guinea,,,,,,51,49,51,52,,,,,,40,,,
