DOTS new smear-positive case detection rate (%),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,,,4,12,11,18,29,39,37,45,52,63,64
Albania,,,,,,,25,30,31,35,24,38,54
Algeria,,,133,,,127,117,117,116,109,109,104,98
American Samoa,,0,90,,90,90,90,90,90,90,90,90,
Angola,,,61,39,51,,75,104,104,90,84,79,102
Argentina,,,4,7,20,31,39,72,67,66,67,71,76
Armenia,12,25,44,44,41,47,29,30,43,48,60,60,51
Australia,,,,22,29,23,19,25,9,32,39,42,49
Austria,,,,,,62,52,44,55,45,49,46,41
Azerbaijan,5,9,7,7,7,6,0,46,29,47,55,50,46
Bahamas,,,,,67,100,,55,49,62,,,52
Bahrain,,,,,15,17,17,12,12,51,74,72,79
Bangladesh,6,14,18,23,23,24,26,30,35,40,54,65,66
Belarus,,,,,,,,,39,42,46,40,40
Belgium,,,,,,,65,62,56,64,62,59,58
Belize,,98,67,,,85,100,130,111,60,101,101,89
Benin,84,82,82,81,86,86,,84,81,82,83,86,
Bermuda,,,,,,,,0,,,,,
Bhutan,38,33,31,30,36,41,43,44,45,45,40,42,45
Bolivia,39,78,73,77,77,75,78,80,75,75,76,71,71
Bosnia and Herzegovina,,,,38,67,71,80,53,51,95,70,62,81
Botswana,70,87,89,90,72,73,66,67,58,58,59,61,57
Brazil,,,,4,4,7,7,9,17,43,51,64,69
British Virgin Islands,,,,,,,,,,,0,,
Brunei Darussalam,,,,,90,90,90,90,90,90,90,90,90
Bulgaria,,,,,,24,11,49,90,96,88,96,81
Burkina Faso,12,21,16,17,16,16,14,13,13,14,16,19,18
Burundi,20,25,30,19,36,,30,25,26,26,25,24,27
Cambodia,40,34,44,48,54,50,48,57,62,62,68,62,61
Cameroon,,5,,11,21,33,39,56,77,78,89,89,91
Canada,45,46,52,49,54,61,58,52,43,58,58,55,62
Cape Verde,,,,,,,42,,,,39,37,44
Central African Republic,,62,,,,,8,47,5,4,35,71,
Chad,36,14,,,35,,,29,7,14,19,,18
Chile,73,77,82,86,87,79,87,96,92,99,95,130,105
China,15,29,32,32,30,31,31,30,43,64,80,80,80
Colombia,,,,,30,88,,9,8,18,26,85,81
Comoros,54,57,,54,,49,53,42,28,38,48,42,
"Congo, Rep.",72,,,55,,90,83,88,57,65,57,52,56
Cook Islands,90,90,90,0,0,0,90,90,0,90,90,0,
Costa Rica,,,,,31,120,88,76,118,150,120,105,120
Croatia,,,,,,,,,0,,,,46
Cuba,82,88,88,92,96,97,87,91,93,90,100,100,109
Cyprus,,,,91,43,,,40,72,52,47,42,42
Czech Republic,52,64,53,64,57,60,62,57,63,60,64,58,67
Cote d'Ivoire,53,53,49,48,44,34,9,34,34,34,34,38,42
"Korea, Dem. Rep.",,,,,1,13,27,40,45,51,49,50,64
"Congo, Dem. Rep.",40,47,43,53,50,47,49,47,53,59,60,59,61
Denmark,,,,,,,,,69,72,64,62,69
Djibouti,,96,100,84,75,63,57,53,49,42,42,42,42
Dominica,,,94,57,,,,39,,,,160,61
Dominican Republic,,,,,9,6,9,40,63,67,73,69,66
Ecuador,,,,,,,5,31,38,42,28,35,46
Egypt,50,1,13,20,38,54,59,65,70,76,75,69,72
El Salvador,,,46,52,56,56,58,58,53,58,69,61,65
Equatorial Guinea,86,76,75,86,,,,,,75,,,
