DOTS population coverage (%),1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 
Afghanistan,,,12 ,11 ,14 ,15 ,12 ,38 ,53 ,68 ,81 ,97 ,97 
Albania,,0 ,0 ,0 ,0 ,0 ,26 ,30 ,30 ,33 ,33 ,50 ,75 
Algeria,,,100 ,0 ,0 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
American Samoa,,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Andorra,,0 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Angola,,0 ,31 ,36 ,36 ,0 ,43 ,43 ,65 ,56 ,60 ,92 ,63 
Anguilla,,,0 ,,,,0 ,0 ,0 ,0 ,,0 ,0 
Antigua and Barbuda,,0 ,,,100 ,100 ,100 ,100 ,100 ,,100 ,0 ,0 
Argentina,,0 ,11 ,29 ,80 ,63 ,92 ,100 ,100 ,100 ,100 ,100 ,100 
Armenia,49 ,60 ,80 ,80 ,80 ,80 ,90 ,100 ,100 ,100 ,100 ,100 ,100 
Australia,,,0 ,37 ,37 ,54 ,54 ,54 ,63 ,63 ,88 ,97 ,100 
Austria,,0 ,0 ,0 ,0 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Azerbaijan,30 ,12 ,12 ,12 ,12 ,12 ,4 ,32 ,48 ,88 ,100 ,100 ,100 
Bahamas,,0 ,0 ,0 ,100 ,100 ,,100 ,100 ,100 ,,,100 
Bahrain,,0 ,0 ,0 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Bangladesh,41 ,65 ,80 ,90 ,90 ,92 ,95 ,95 ,99 ,99 ,99 ,100 ,100 
Barbados,,0 ,0 ,0 ,0 ,0 ,100 ,100 ,,100 ,,100 ,100 
Belarus,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,70 ,70 ,100 ,100 ,100 
Belgium,,0 ,0 ,0 ,0 ,0 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Belize,0 ,100 ,100 ,,,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Benin,97 ,100 ,100 ,100 ,100 ,100 ,,100 ,100 ,100 ,100 ,100 ,
Bermuda,,,,,,0 ,0 ,100 ,,0 ,,0 ,
Bhutan,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,90 ,100 
Bolivia,50 ,100 ,100 ,57 ,100 ,70 ,100 ,86 ,100 ,60 ,47 ,47 ,100 
Bosnia and Herzegovina,,0 ,0 ,27 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Botswana,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Brazil,,0 ,0 ,3 ,7 ,7 ,32 ,25 ,34 ,52 ,68 ,86 ,75 
British Virgin Islands,,,0 ,,,,0 ,0 ,0 ,0 ,100 ,,0 
Brunei Darussalam,,,0 ,,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Bulgaria,,0 ,0 ,0 ,0 ,3 ,56 ,78 ,100 ,100 ,100 ,100 ,100 
Burkina Faso,44 ,80 ,80 ,98 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Burundi,100 ,100 ,100 ,6 ,100 ,,90 ,91 ,100 ,100 ,100 ,100 ,100 
Cambodia,60 ,80 ,88 ,100 ,100 ,99 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Cameroon,,13 ,0 ,31 ,36 ,46 ,64 ,90 ,100 ,100 ,100 ,90 ,100 
Canada,,0 ,,,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Cape Verde,,0 ,0 ,0 ,,,30 ,0 ,0 ,0 ,80 ,80 ,100 
Cayman Islands,,0 ,0 ,0 ,0 ,0 ,100 ,100 ,100 ,100 ,,100 ,100 
Central African Republic,,67 ,0 ,0 ,0 ,,30 ,75 ,68 ,8 ,17 ,70 ,
Chad,70 ,47 ,,,100 ,,,98 ,25 ,80 ,100 ,,33 
Chile,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,95 ,100 ,100 ,100 
China,49 ,60 ,64 ,64 ,64 ,68 ,68 ,78 ,91 ,96 ,100 ,100 ,100 
Colombia,,0 ,0 ,14 ,14 ,14 ,14 ,14 ,19 ,25 ,50 ,60 ,70 
Comoros,100 ,100 ,,100 ,,100 ,,,100 ,100 ,100 ,100 ,
"Congo, Rep.",100 ,0 ,0 ,100 ,0 ,100 ,100 ,20 ,80 ,80 ,60 ,60 ,60 
Cook Islands,,70 ,70 ,70 ,70 ,100 ,100 ,100 ,100 ,98 ,100 ,80 ,
Costa Rica,,0 ,0 ,0 ,13 ,40 ,67 ,84 ,91 ,100 ,100 ,100 ,100 
Croatia,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25 ,25 ,100 
Cuba,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Cyprus,,0 ,0 ,100 ,100 ,0 ,,100 ,100 ,100 ,100 ,100 ,100 
Czech Republic,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Cote d'Ivoire,100 ,100 ,100 ,94 ,10 ,60 ,21 ,74 ,74 ,74 ,74 ,100 ,100 
"Korea, Dem. Rep.",,,0 ,0 ,6 ,33 ,66 ,66 ,80 ,100 ,100 ,100 ,100 
"Congo, Dem. Rep.",47 ,51 ,60 ,60 ,62 ,70 ,70 ,70 ,75 ,75 ,100 ,100 ,100 
Denmark,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,100 ,100 ,100 ,100 
Djibouti,,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Dominica,,0 ,100 ,4 ,,,,100 ,,,,100 ,100 
Dominican Republic,,0 ,0 ,0 ,49 ,7 ,10 ,40 ,71 ,79 ,80 ,80 ,85 
Ecuador,,0 ,0 ,0 ,0 ,0 ,26 ,37 ,50 ,64 ,70 ,80 ,96 
Egypt,54 ,3 ,19 ,27 ,75 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
El Salvador,,0 ,100 ,90 ,90 ,94 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Equatorial Guinea,100 ,96 ,96 ,96 ,,,,,,100 ,,,
Eritrea,,0 ,19 ,60 ,60 ,80 ,40 ,60 ,60 ,84 ,86 ,86 ,93 
Estonia,,0 ,0 ,0 ,0 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Ethiopia,39 ,39 ,48 ,64 ,63 ,85 ,70 ,95 ,95 ,70 ,90 ,100 ,95 
Fiji,40 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Finland,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
France,,0 ,0 ,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
French Polynesia,,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Gabon,,0 ,0 ,0 ,0 ,,,22 ,22 ,24 ,24 ,31 ,31 
Gambia,100 ,100 ,100 ,100 ,0 ,,,100 ,100 ,100 ,100 ,100 ,100 
Georgia,40 ,40 ,0 ,99 ,96 ,96 ,96 ,96 ,96 ,100 ,100 ,100 ,100 
Germany,,0 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Ghana,60 ,19 ,62 ,70 ,70 ,87 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Greece,,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Grenada,,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,,0 ,0 
Guam,,,,,,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Guatemala,70 ,100 ,100 ,100 ,70 ,100 ,84 ,100 ,100 ,100 ,100 ,70 ,70 
Guinea,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,60 
Guinea-Bissau,,0 ,,,,95 ,,20 ,40 ,60 ,85 ,87 ,
Guyana,,0 ,0 ,0 ,,6 ,12 ,25 ,38 ,42 ,50 ,60 ,70 
Haiti,,0 ,4 ,9 ,42 ,68 ,49 ,45 ,55 ,55 ,55 ,91 ,70 
Honduras,,0 ,0 ,2 ,33 ,60 ,90 ,95 ,100 ,100 ,100 ,100 ,100 
Hungary,,0 ,0 ,0 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Iceland,,0 ,0 ,0 ,0 ,0 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
India,2 ,2 ,2 ,9 ,14 ,30 ,45 ,52 ,67 ,84 ,91 ,100 ,100 
Indonesia,6 ,14 ,28 ,80 ,90 ,98 ,98 ,98 ,98 ,98 ,98 ,98 ,100 
Iran,0 ,8 ,28 ,69 ,94 ,96 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Iraq,,0 ,0 ,10 ,37 ,87 ,87 ,87 ,87 ,87 ,87 ,87 ,87 
Ireland,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Israel,,0 ,0 ,0 ,0 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Italy,,21 ,21 ,21 ,21 ,21 ,21 ,21 ,21 ,21 ,65 ,65 ,65 
Jamaica,,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Japan,,0 ,0 ,0 ,0 ,36 ,46 ,62 ,64 ,71 ,83 ,99 ,99 
Jordan,100 ,0 ,0 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Kazakhstan,,0 ,0 ,4 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Kenya,15 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Kiribati,,0 ,58 ,100 ,93 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Kuwait,,0 ,0 ,0 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Kyrgyzstan,,5 ,5 ,100 ,100 ,85 ,85 ,98 ,100 ,100 ,100 ,100 ,100 
Laos,,42 ,65 ,67 ,69 ,69 ,73 ,79 ,90 ,98 ,100 ,100 ,100 
Latvia,,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Lebanon,10 ,0 ,0 ,0 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Lesotho,100 ,100 ,100 ,100 ,,100 ,,100 ,100 ,100 ,100 ,100 ,100 
Liberia,,35 ,,40 ,,,,,,68 ,40 ,100 ,
Libyan Arab Jamahiriya,,0 ,,0 ,100 ,100 ,,,100 ,100 ,100 ,100 ,100 
Lithuania,,0 ,0 ,0 ,3 ,20 ,51 ,66 ,98 ,98 ,96 ,96 ,100 
Luxembourg,,0 ,0 ,0 ,0 ,0 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Madagascar,69 ,100 ,,94 ,,,100 ,100 ,100 ,100 ,100 ,100 ,100 
Malawi,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Malaysia,100 ,100 ,0 ,0 ,0 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Maldives,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Mali,57 ,100 ,66 ,82 ,86 ,95 ,,68 ,100 ,68 ,100 ,100 ,100 
Malta,,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Mauritania,,,0 ,,0 ,0 ,,,,76 ,82 ,82 ,82 
Mauritius,100 ,,,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Mexico,,0 ,8 ,36 ,54 ,82 ,70 ,70 ,90 ,92 ,100 ,100 ,96 
"Micronesia, Fed. Sts.",100 ,100 ,0 ,0 ,,100 ,70 ,90 ,90 ,90 ,100 ,98 ,89 
Monaco,,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,,,
Mongolia,4 ,52 ,52 ,97 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Montserrat,,,,0 ,0 ,0 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Morocco,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Mozambique,97 ,100 ,84 ,95 ,,100 ,100 ,100 ,100 ,100 ,100 ,100 ,100 
Myanmar,,59 ,60 ,60 ,64 ,77 ,84 ,88 ,95 ,95 ,95 ,95 ,95 
