"TB mortality, all forms in HIV+ (per 100 000 population per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1
Angola,3.3,4.1,5,6.1,7.2,8.5,10.2,8.5,11,11.5,18,12.4,10.9,9.2,12.3,13.2,7.4,11.3
Argentina,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.5,0.5,0.4,0.5,0.5,0.5
Armenia,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.4,0.5
Bahamas,5.5,6,6.2,6.1,5.9,5.6,5.4,5,5.2,3.6,3.4,3.3,4.2,4.3,4.1,4.1,4.1,4.2
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.3,0.3,0.3
Barbados,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1
Belarus,0,0,0,0,0.1,0.1,0.2,0.3,0.5,0.5,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.4
Belgium,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Belize,0,0.2,0.6,1.4,2.1,2.4,0.8,1.3,2.2,2.4,1.2,0.8,0.8,1.5,1.5,1.3,1.8,2.5
Benin,0.6,0.9,1.3,1.8,2.5,3.1,3.8,4.5,5,5.1,5.3,5.5,6,6.2,5.9,5.9,5.7,5.7
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.4,0.8,1.1,1.2
Bolivia,0.3,0.4,0.5,0.6,0.8,0.9,1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.3,1.2,1.3,1.3
Botswana,15,20.9,26.7,32.2,36.9,40.5,41.8,43.4,48.8,54.9,61.8,79.7,94.3,120.6,127.1,130.2,151.9,156.5
Brazil,1,1.2,1.1,1.1,1.1,1.9,1.9,1.9,1.6,1.8,1.7,1.6,1.6,1.5,1.2,1.2,1.1,1.3
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1
Burkina Faso,13.8,15.2,15.8,16.4,17.1,18,19.1,21.6,23.9,26.5,29.4,31.6,33.3,33.8,33,31.3,29.3,27.8
Burundi,11.7,16.9,25.8,32.1,34.5,35.8,37.1,36,44.1,39.8,41.4,44.9,46.3,45.6,43.4,41.1,37.8,34.4
Cambodia,11.5,15.1,19,22.9,26.1,27.8,30,30.2,30.2,29.5,28.6,27,24.1,21.4,18.6,15.8,14.2,12.8
Cameroon,4.3,6.9,10.1,14.2,18.4,22.5,25.9,29.9,32.2,34,35.8,37.7,37,34,33.2,28.5,25.7,23.9
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
