"TB mortality, all forms in HIV+ (per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,1,1,2,2,5,8,8,10,13,15,17,19,20,21
Angola,350,446,563,703,866,"1,053","1,287","1,099","1,456","1,565","2,504","1,782","1,612","1,402","1,927","2,117","1,217","1,926"
Argentina,100,118,135,152,166,177,187,197,202,191,177,220,183,188,172,204,210,196
Armenia,0,0,0,0,1,1,2,3,4,8,12,15,16,16,14,11,12,12
Australia,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4
Austria,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,2,3,11,18,27,37,39
Bahamas,14,16,16,16,16,16,15,14,15,11,10,10,13,14,13,13,13,14
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,315,317,316,411,422,414,421
Barbados,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Belarus,1,1,2,4,9,15,25,35,51,55,57,64,50,36,37,38,38,38
Belgium,3,4,4,5,5,5,5,5,5,6,5,6,6,6,6,6,6,5
Belize,0,0,1,3,4,5,2,3,5,6,3,2,2,4,4,4,5,7
Benin,31,48,73,106,147,191,246,298,339,361,385,410,465,495,481,497,499,519
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,8
Bolivia,21,27,36,45,56,67,73,83,91,99,102,104,110,113,113,115,118,122
Botswana,205,295,386,480,564,634,669,710,815,933,"1,069","1,397","1,675","2,165","2,307","2,391","2,822","2,945"
Brazil,"1,550","1,780","1,736","1,789","1,819","3,035","3,074","3,094","2,658","3,022","2,989","2,906","2,855","2,725","2,193","2,241","2,078","2,473"
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,5,7,9
Burkina Faso,"1,228","1,384","1,485","1,592","1,704","1,850","2,023","2,345","2,674","3,053","3,490","3,872","4,223","4,422","4,464","4,358","4,202","4,105"
Burundi,667,987,"1,533","1,942","2,126","2,236","2,341","2,295","2,840","2,600","2,763","3,070","3,266","3,328","3,286","3,234","3,093","2,923"
Cambodia,"1,119","1,515","1,976","2,460","2,890","3,166","3,510","3,615","3,708","3,696","3,649","3,513","3,198","2,880","2,547","2,210","2,020","1,843"
Cameroon,523,865,"1,314","1,887","2,522","3,161","3,740","4,420","4,866","5,265","5,671","6,118","6,147","5,787","5,785","5,066","4,675","4,434"
Canada,8,8,8,8,7,7,7,7,7,7,7,7,7,8,8,8,9,11
Central African Republic,394,554,722,910,"1,102","1,298","1,053","1,745","1,997","2,270","2,567","2,681","2,673","3,256","3,364","3,031","2,700","2,681"
Chad,231,332,448,592,759,952,"1,262","1,722","2,091","2,125","2,523","2,935","3,534","4,242","4,194","4,074","4,098","4,178"
Chile,3,5,6,7,8,10,11,12,13,13,13,13,19,18,11,17,11,8
China,491,671,919,"1,229","1,635","2,134","2,736","3,440","4,189","5,048","5,900","6,662","7,257","7,320","7,109","7,046","7,020","6,774"
Colombia,46,63,85,111,140,168,198,225,247,248,216,288,287,292,286,280,235,234
Comoros,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"Congo, Rep.",587,704,782,852,908,959,"1,537","1,699","1,315","1,998",718,918,"1,180","1,653","1,486","1,453","1,598","1,501"
Costa Rica,0,0,0,0,1,1,1,2,2,2,2,2,4,4,2,4,4,3
Cuba,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2
Czech Republic,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cote d'Ivoire,"2,409","3,364","4,332","5,366","6,373","7,359","8,404","9,600","10,860","12,322","14,225","17,227","16,634","16,939","16,667","16,310","15,171","14,088"
"Korea, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,75,68,66,71,69,49
"Congo, Dem. Rep.","1,469","1,687","1,866","2,067","2,270","2,537","2,662","3,034","3,150","3,621","4,164","4,689","5,235","5,509","5,755","5,891","5,996","6,000"
Denmark,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
Djibouti,33,52,79,116,161,213,148,163,228,205,257,247,404,428,472,489,526,543
Dominican Republic,271,332,390,441,482,510,508,542,543,526,517,505,407,359,338,306,305,299
Ecuador,162,191,222,255,288,320,355,375,417,443,466,478,460,457,455,480,467,454
Egypt,12,15,18,21,25,29,37,39,43,46,48,51,54,57,59,60,64,66
El Salvador,16,23,32,43,55,68,99,94,104,108,114,115,112,113,111,102,101,99
Equatorial Guinea,14,19,24,30,37,45,56,64,72,83,96,168,186,199,159,160,158,200
Eritrea,20,34,54,83,113,138,160,172,159,80,84,87,97,97,112,123,146,144
Estonia,0,0,0,0,0,0,0,0,1,3,5,10,18,23,23,21,22,18
Ethiopia,"2,600","4,295","6,278","8,504","10,687","12,769","13,355","13,740","14,949","17,140","18,191","20,598","21,756","23,218","23,899","23,989","23,923","23,275"
