"TB incidence, all forms in HIV+ (per year)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Algeria,0,1,2,3,6,11,20,36,63,101,151,205,257,303,341,373,401,429
American Samoa,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Andorra,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Angola,595,772,992,"1,262","1,585","1,963","2,399","2,890","3,434","4,030","4,668","5,318","5,985","6,653","7,304","7,931","8,523","9,089"
Anguilla,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Antigua and Barbuda,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Argentina,438,525,614,700,779,847,901,942,970,987,995,995,990,981,973,959,942,923
Armenia,0,0,0,1,2,4,7,12,19,29,39,47,53,56,59,61,62,63
Australia,11,13,14,17,19,22,24,25,26,27,29,30,30,32,34,37,39,41
Austria,7,7,8,9,10,11,13,14,16,17,19,20,23,24,26,28,30,32
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,7,13,40,94,150,207,219
Bahamas,37,41,43,43,43,42,41,40,40,40,40,40,40,41,41,42,42,43
Bahrain,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,650,662,682,900,959,977,995
Barbados,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Belarus,3,4,9,16,34,61,99,140,186,218,228,212,198,202,207,209,209,209
Belgium,28,31,35,39,44,46,46,46,45,47,50,53,51,49,48,50,48,46
Belize,0,1,3,8,12,14,16,17,17,18,19,20,20,21,22,22,23,24
Benin,69,108,168,252,358,477,594,701,794,873,943,"1,004","1,060","1,110","1,156","1,200","1,245","1,296"
Bermuda,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Bhutan,0,0,0,0,0,0,0,0,0,0,0,1,2,4,9,16,23,28
Bolivia,65,88,117,150,187,226,266,303,335,362,383,399,411,420,426,430,433,434
Bosnia and Herzegovina,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Botswana,950,"1,442","2,002","2,646","3,322","4,009","4,632","5,318","6,026","6,779","7,592","8,377","9,083","9,578","9,763","9,727","9,566","9,414"
Brazil,"10,124","11,607","12,744","13,558","14,089","14,396","14,583","14,678","14,682","14,606","14,503","14,348","14,160","13,953","13,719","13,487","13,224","13,019"
British Virgin Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,1,2,3,5,8,13,20,31,42,54
Burkina Faso,"2,160","2,486","2,724","2,982","3,263","3,621","4,039","4,644","5,355","6,126","6,926","7,661","8,292","8,682","8,767","8,637","8,380","8,193"
Burundi,"1,338","2,028","3,225","4,188","4,700","5,074","5,332","5,648","5,969","6,319","6,715","7,074","7,352","7,446","7,293","6,985","6,573","6,187"
Cambodia,"2,763","3,764","4,936","6,178","7,299","8,138","8,828","9,283","9,578","9,667","9,545","9,229","8,734","8,087","7,346","6,623","6,045","5,560"
Cameroon,905,"1,525","2,366","3,470","4,738","6,070","7,265","8,488","9,683","10,913","12,230","13,514","14,689","15,544","15,906","15,878","15,621","15,349"
Canada,84,84,83,78,76,73,72,72,72,71,71,73,77,78,82,86,90,95
Cape Verde,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Cayman Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Central African Republic,664,952,"1,265","1,627","2,011","2,420","2,809","3,253","3,725","4,232","4,786","5,330","5,830","6,201","6,377","6,412","6,363","6,318"
Chad,452,663,916,"1,240","1,630","2,096","2,601","3,211","3,899","4,677","5,552","6,459","7,347","8,079","8,534","8,755","8,807","8,837"
Chile,26,35,46,59,72,85,97,106,113,116,117,116,114,111,108,104,100,96
China,"1,109","1,542","2,152","2,936","3,982","5,290","6,965","8,905","11,069","13,382","15,664","17,852","19,805","21,454","22,804","23,864","24,667","24,705"
Colombia,136,189,258,339,431,526,619,702,771,827,868,898,919,932,940,943,944,945
Comoros,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3
"Congo, Rep.","1,438","1,773","2,031","2,280","2,507","2,734","2,926","3,169","3,433","3,726","4,054","4,373","4,656","4,837","4,871","4,805","4,705","4,596"
Cook Islands,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Costa Rica,1,1,1,2,2,3,5,7,9,12,15,18,20,22,24,25,26,27
Croatia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Cuba,0,0,0,0,0,0,0,4,5,6,8,9,10,11,12,13,14,14
Cyprus,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Czech Republic,2,3,4,5,6,7,7,8,8,8,7,7,6,6,6,5,5,5
Cote d'Ivoire,"4,888","6,991","9,222","11,711","14,268","16,912","19,319","21,992","24,729","27,549","30,475","33,100","35,207","36,278","36,010","34,839","33,118","31,423"
"Korea, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,157,160,166,172,173,174
"Congo, Dem. Rep.","3,801","4,338","4,768","5,249","5,728","6,242","6,730","7,370","8,107","8,993","10,046","11,175","12,309","13,254","13,835","14,138","14,272","14,431"
Denmark,12,11,11,11,11,10,10,10,10,10,10,11,11,12,12,13,13,14
Djibouti,75,121,189,282,403,548,710,878,"1,038","1,184","1,310","1,417","1,511","1,593","1,668","1,741","1,817","1,895"
Dominica,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Dominican Republic,640,790,937,"1,070","1,178","1,258","1,311","1,337","1,341","1,329","1,305","1,271","1,229","1,185","1,141","1,098","1,057","1,027"
Ecuador,361,429,504,583,664,746,826,902,971,"1,033","1,085","1,128","1,162","1,186","1,203","1,213","1,218","1,222"
Egypt,55,67,81,95,111,129,147,160,177,195,213,232,246,259,269,278,288,295
El Salvador,55,79,111,150,195,241,284,320,347,366,377,382,382,379,374,369,363,357
Equatorial Guinea,33,47,62,80,101,125,150,178,209,242,278,314,346,371,382,384,379,373
Eritrea,37,63,105,162,225,282,327,363,393,421,450,481,516,555,597,642,689,739
Estonia,0,0,0,0,0,0,0,1,4,11,27,54,80,94,96,92,88,84
Ethiopia,"5,646","9,328","13,634","18,471","23,212","27,733","31,549","35,608","39,723","44,070","48,837","53,526","57,834","60,919","62,188","62,163","61,424","61,094"
Fiji,0,0,0,0,0,0,1,1,1,2,2,3,3,3,4,4,4,4
Finland,0,0,0,0,0,0,0,1,2,5,6,7,7,6,6,5,5,5
France,236,274,314,346,382,407,433,454,464,461,461,462,474,469,472,477,480,484
French Polynesia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Gabon,111,145,189,246,317,372,481,578,742,850,"1,106","1,250","1,380","1,422","1,533","1,726","1,990","2,257"
Gambia,5,9,17,30,51,83,126,178,232,281,322,355,383,408,432,454,480,506
Georgia,0,0,0,0,0,0,0,0,0,0,6,11,19,31,49,73,101,128
Germany,136,147,162,175,182,184,188,190,190,187,173,159,147,145,139,131,123,114
Ghana,145,381,936,"2,007","3,493","4,936","6,010","6,659","7,010","7,189","7,284","7,338","7,368","7,384","7,387","7,384","7,387","7,409"
Greece,31,34,37,40,44,47,51,54,57,58,59,60,63,63,65,66,67,69
Grenada,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Guam,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,
Guatemala,27,44,73,116,179,263,365,476,579,665,727,770,796,810,817,817,817,816
Guinea,190,260,353,472,620,800,"1,013","1,260","1,542","1,856","2,204","2,580","2,978","3,395","3,827","4,273","4,744","5,200"
Guinea-Bissau,32,47,69,99,138,186,242,302,364,425,481,533,579,620,657,690,722,755
