One-year-olds immunized with three doses of diphtheria tetanus toxoid and pertussis (DTP3) (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,4,3,5,5,16,15,11,25,35,33,25,23,21,18,12,20,31,28,27,27,24,33,36,41,50,58,58,63,64,63,66,66
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,94,94,95,95,95,96,96,96,96,94,94,78,94,96,99,97,98,99,96,97,97,97,98,97,97,98,97,98,99,98,99,99
Algeria,,,,,,69,73,79,85,87,89,89,88,88,87,88,88,89,85,83,86,89,86,87,86,88,95,95,93,95,95,95
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,90,89,90,98,96,97,99,99,98,93,96,99,99,99,99
Angola,,,,6,8,8,10,10,12,18,24,26,21,30,27,24,28,41,47,21,31,42,47,46,47,47,44,83,81,73,91,86
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,54,79,79,99,94,99,96,97,98,99,99,94,99,99,99,99,99,99,99,99,95,97,98,99,97,99,99,99,99,99,98,99
Argentina,44,49,58,61,62,66,67,75,80,80,87,80,81,81,82,85,83,88,84,86,83,83,92,93,91,94,94,96,92,87,94,93
Armenia,,,,,,,,,,,,,85,85,86,98,86,88,82,91,93,94,94,94,91,90,87,88,89,93,94,95
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,33,40,48,55,62,68,75,81,88,93,95,93,91,90,88,86,86,77,82,88,90,92,92,93,92,92,92,92,92,92,92,92
Austria,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,82,74,81,84,83,84,83,86,83,85,83,83,83,83
Azerbaijan,,,,,,,,,,,,,58,66,69,74,74,70,73,75,75,75,75,75,75,72,74,74,74,73,72,74
Bahamas,36,55,69,65,69,86,85,85,85,86,86,92,92,91,91,87,85,86,89,82,99,99,94,92,93,93,95,95,93,96,99,98
Bahrain,72,75,79,83,86,90,92,95,96,96,94,99,94,94,96,95,96,98,98,97,97,99,98,97,98,98,98,97,98,98,99,99
Bangladesh,,1,1,1,1,2,4,9,16,49,69,74,66,74,84,69,77,78,74,77,83,85,83,87,96,96,93,95,95,96,95,96
Barbados,60,58,62,69,83,83,79,79,76,78,91,82,90,86,90,93,85,96,93,87,93,84,87,89,93,92,84,93,85,93,86,91
Belarus,,,,,,,,,,,,,90,91,92,96,98,98,99,99,99,99,99,50,99,99,99,95,97,96,98,98
Belgium,95,95,95,95,95,95,95,95,80,94,93,92,95,97,96,94,95,87,79,87,95,95,95,95,95,97,99,99,99,99,99,98
Belize,47,44,61,59,53,58,82,85,61,79,91,82,74,85,88,83,85,86,87,87,91,96,89,96,97,96,98,96,94,97,96,95
Benin,,,,,,17,17,25,30,48,74,69,73,75,81,67,66,66,70,74,78,76,75,73,72,70,74,82,78,83,83,85
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,6,13,15,16,28,41,53,63,70,76,96,91,86,79,86,87,87,87,86,90,92,88,86,95,89,95,95,95,96,93,91,95
Bolivia,11,13,12,10,6,33,42,35,28,52,41,43,45,52,58,64,61,58,61,77,75,71,77,88,84,85,83,82,83,85,80,82
Bosnia and Herzegovina,,,,,,,,,,,,,58,38,82,55,67,79,89,90,85,91,80,87,84,93,87,95,91,90,89,88
