One-year-olds immunized with three doses of Hib (Hib3) vaccine (%),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,63,66,66
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,98,99,99
Algeria,,,,,,,,,,,,,,,,,,93,95,95,95
American Samoa,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,55,80,90,92,92,91,95,97,93,95,98,97,98,99
Angola,,,,,,,,,,,,,,,,,83,81,73,91,86
Anguilla,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,97,97,97,97,99,99,99,97,94,98,99
Argentina,,,,,,,,49,86,83,83,92,93,91,94,94,96,92,87,94,93
Armenia,,,,,,,,,,,,,,,,,,,,48,95
Aruba,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,77,82,87,90,95,95,95,95,94,95,94,94,92,92,92
Austria,,,,,,,,,74,72,74,82,84,83,86,83,85,83,83,83,83
Azerbaijan,,,,,,,,,,,,,,,,,,,,,38
Bahamas,,,,,,,,,78,90,99,94,93,93,93,95,95,94,96,98,98
Bahrain,,,,,,,,39,96,97,99,98,97,98,98,97,97,97,97,99,99
Bangladesh,,,,,,,,,,,,,,,,,,,96,95,96
Barbados,,,,,,,,,,,18,66,88,93,92,84,93,85,93,86,91
Belarus,,,,,,,,,,,,,,,,,,6,19,0,21
Belgium,,,20,16,13,10,6,33,59,86,86,86,90,95,95,98,98,98,98,98,98
Belize,,,,,,,,,,,96,89,96,97,96,98,96,94,97,96,95
Benin,,,,,,,,,,,,,,,35,74,82,78,83,83,85
Bermuda,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,77,77,77,80,84,85,83,82,83,85,80,82
Bosnia and Herzegovina,,,,,,,,,,,,,,49,50,82,83,83,80,83,85
Botswana,,,,,,,,,,,,,,,,,,,,,96
Brazil,,,,,,,,,,90,93,93,98,96,96,97,98,99,98,96,97
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,94,92,92,94,97,99,98,99,95,96
Bulgaria,,,,,,,,,,,,,,,,,,,,91,95
