GDP per capita,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,634.4000136,636.4623568,638.5314043,640.607178,642.6896998,644.7789915,646.8750752,648.977973,651.087707,653.2042994,655.3277726,657.4581489,659.5954507,661.7397006,663.8909212,666.049135,668.2143649,670.3866336,672.5659641,674.7523793,676.9459022,679.1465559,681.3543636,683.5693486,685.7915342,688.0209437,690.2576008,692.501529,694.7527518,697.011293,699.2771764,701.5504259,703.8310653,706.1191189,708.4146105,710.7175644,713.028005,715.3459564,717.6714432,720.0044898,722.3451207,724.6933608,727.0492346,729.412767,731.783983,734.1629074,736.5495654,738.943982,741.3461825,743.7561923,746.1740367,748.5997411,751.0333311,753.4748324,755.9242706,758.3816717,760.8470613,763.3204656,765.8019106,768.2914224,770.7890273,773.2947515,775.8086215,778.3306636,780.8609046,783.399371,785.9460897,788.5010873,791.0643909,793.6360274,796.2160239,798.8044076,801.4012058,804.0064458,806.620155,809.2423611,811.8730915,814.5123741,817.1602366,819.816707,822.4818131,825.1555831,827.8380452,830.5292275,833.2291585,835.9378666,838.6553803,841.3817283,844.1169392,846.8610419,849.6140653,852.3760383,855.1469902,857.92695,861.8977091,865.8868461,869.8944461,873.9205946,877.9653774,882.0288807,886.1111912,890.2123959,894.3325823,898.4718383,902.630252,906.8079122,911.004908,915.2213288,919.4572645,923.7128055,927.9880424,932.2830666,936.5979694,940.9328431,945.2877799,949.6628727,954.0582148,958.4739,962.9100224,967.3666766,971.8439576,976.3419609,980.8607823,985.4005183,989.9612657,994.5431216,999.1461839,1003.770551,1008.41632,1013.083592,1017.772465,1030.450161,1047.508637,1092.410151,1095.774297,1097.192553,1124.947227,1103.157107,1141.978848,1150.699212,1167.188221,1152.217583,1146.495265,1141.58192,1137.311715,1135.905146,1120.306849,1123.778293,1135.71608,1125.691539,1119.906184,1039.780886,994.4720758,1079.818009,1109.509798,1137.547062,1164.089498,1056.469927,1111.541965,1087.327241,1089.15162,1205.305056,1314.364729,1361.564785,1336.619708,1292.744819,1385.42645,1145.54812,1034.829439,1009.873573,953.5146868,948.0595413,872.659964,751.0515319,672.5617679,808.8680781,830.4196796,853.8450877,877.9757655,901.7501247,892.2387735,799.6817856,976.6691586,1055.14511,1081.472262,1174.582145,1193.282161,1321.945588,1323.495832,1552.033398,1632.338112,1695.153436,1885.356711,1906.651322
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,860.5879664,861.4817538,862.3764694,863.2721143,864.1686893,865.0661955,865.9646339,866.8640053,867.7643108,868.6655514,869.5677279,870.4708415,871.3748929,872.2798834,873.1858137,874.0926849,875.0004979,875.9092538,876.8189535,877.729598,878.6411883,880.5112205,882.3852327,884.2632334,886.1452311,888.0312343,889.9212515,891.8152913,893.7133623,895.6154729,897.5216318,899.4318477,901.3461291,903.2644847,905.1869233,907.1134533,909.0440837,910.9788231,912.9176802,914.8606638,916.8077827,918.7590457,920.7144617,922.6740394,924.6377877,926.6057155,928.5778317,930.5541451,932.5346649,934.5193998,936.5083588,938.501551,940.4989854,942.5006709,944.5066167,946.5168318,948.5313253,950.5501062,952.5731838,954.6005672,956.6322654,958.6682878,960.7086435,962.7533417,964.8023917,966.8558028,968.9135842,970.9757451,973.0422951,975.1132433,977.1885992,991.5949321,1006.213652,1021.047891,1036.100825,1051.37568,1066.875725,1082.604283,1098.56472,1114.760457,1131.194961,1147.871753,1164.794405,1181.966542,1199.391841,1217.074035,1235.01691,1253.224312,1271.700138,1290.448346,1309.472952,1327.425874,1345.624931,1364.073498,1382.774995,1401.73289,1420.950699,1440.431985,1460.180359,1480.199485,1500.493074,1520.170261,1540.105491,1560.302147,1580.76366,1601.4935,1622.495188,1643.772288,1665.328412,1687.167219,1709.292416,1731.186005,1753.360019,1775.818051,1790.676574,1805.65942,1820.767629,1836.002251,1851.364344,1866.854973,1882.475215,1898.226153,1914.108882,1930.124503,1946.27413,1962.558883,1978.979893,1995.5383,2012.235253,2029.071912,2036.611755,2044.179616,2051.775598,2059.399806,2067.052345,2074.73332,2082.442836,2090.181001,2097.94792,2105.7437,2113.568448,2121.422273,2129.305281,2137.217583,2145.159285,2153.130498,2161.131332,2169.161895,2177.2223,2185.312656,2193.433076,2288.105114,2291.774382,2384.442129,2454.429748,2586.752263,2612.763778,2780.213118,2905.4695,3025.0742,3178.229916,3204.631978,3310.701943,3423.627146,3540.88499,3670.067931,3807.668716,3950.984897,4093.575333,4232.601928,4388.74856,4564.174585,4742.879349,4979.115617,4997.677376,5015.090736,5035.164724,5057.19173,5080.468007,5105.237002,5141.289734,5168.872993,5197.293982,5227.633451,5257.394504,5284.909279,5318.490361,5351.961161,5385.848186,5426.464786,5474.941477,3889.965658,3574.867908,3888.645755,4178.035474,4702.960855,5109.568026,4570.583488,5131.295018,5622.988551,6005.083412,6407.074312,6590.533753,6949.816248,7322.045206,7685.262481,8090.42328,8528.395747,9111.710122,9377.045354,9656.957169,9897.179958,10122.60617,10296.34371
Algeria,1360,1361.635788,1363.271576,1364.907363,1366.543151,1368.178939,1369.814727,1371.450514,1373.086302,1374.72209,1376.357878,1377.993665,1379.629453,1381.265241,1382.901029,1384.536816,1386.172604,1387.808392,1389.44418,1391.079967,1392.715755,1418.230692,1443.745628,1469.260565,1494.775501,1520.290437,1545.805374,1571.32031,1596.835247,1622.350183,1647.865119,1673.380056,1698.894992,1724.409929,1749.924865,1775.439802,1800.954738,1826.469674,1851.984611,1877.499547,1903.014484,1928.52942,1954.044356,1979.559293,2005.074229,2030.589166,2056.104102,2081.619039,2107.133975,2132.648911,2158.163848,2183.678784,2209.193721,2234.708657,2260.223593,2285.73853,2311.253466,2336.768403,2362.283339,2387.798276,2413.313212,2438.828148,2464.343085,2489.858021,2515.372958,2540.887894,2566.40283,2591.917767,2617.432703,2642.94764,2668.462576,2693.977513,2719.492449,2745.007385,2770.522322,2796.037258,2821.552195,2847.067131,2872.582067,2898.097004,2923.61194,2949.126877,2974.641813,3000.15675,3025.671686,3051.186622,3076.701559,3102.216495,3127.731432,3153.246368,3178.761305,3204.276241,3229.791177,3255.306114,3280.82105,3306.335987,3331.850923,3357.365859,3382.880796,3408.395732,3433.910669,3459.425605,3484.940542,3510.455478,3535.970414,3561.485351,3587.000287,3612.515224,3638.03016,3663.545096,3689.060033,3714.574969,3740.089906,3765.604842,3783.22175,3800.838658,3818.455567,3836.072475,3853.689383,3871.306291,3888.923199,3906.540107,3924.157016,3941.773924,3959.390832,3977.00774,3994.624648,4012.241556,4029.858465,4047.475373,4065.092281,4082.709189,4100.326097,4117.943005,4135.559914,4153.176822,4170.79373,4188.410638,4206.027546,4223.644454,4241.261363,4258.878271,4276.495179,4294.112087,4311.728995,4329.345903,4346.962811,4364.57972,4382.196628,4399.813536,4417.430444,4359.816883,4453.425936,4430.389245,4651.293266,4677.944515,5026.996627,5480.79793,5563.721284,6452.656239,6758.835354,5824.46269,4638.561079,5721.930603,5845.327692,6051.822328,5584.045363,5904.527986,6400.608418,6815.127357,7280.342536,6472.539085,7606.011041,7627.722709,7857.496094,8163.135164,8442.429729,8929.401491,9770.893479,10332.55684,10201.92333,10191.31167,10506.19576,10721.61215,10969.66345,11049.11881,10736.83655,10388.30226,9894.922552,10117.97855,10112.79638,9748.48761,9692.76153,9279.459073,9005.585945,9168.36559,9374.860054,9321.734892,9646.161427,9809.74442,9885.491284,10202.9068,10634.4256,11251.4123,11574.63194,12077.22937,12088.08762,12289.02726,12314.34698,12285.12888,12494.06704,12605.77155,12751.71608,12956.59857
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,1260,1262.15,1264.3,1266.45,1268.6,1270.75,1272.9,1275.05,1277.2,1279.35,1281.5,1283.65,1285.8,1287.95,1290.1,1292.25,1294.4,1296.55,1298.7,1300.85,1303,1330.45681,1357.913619,1385.370429,1412.827238,1440.284048,1467.740858,1495.197667,1522.654477,1550.111287,1577.568096,1605.024906,1632.481715,1659.938525,1687.395335,1714.852144,1742.308954,1769.765764,1797.222573,1824.679383,1852.136192,1879.593002,1907.049812,1934.506621,1961.963431,1989.420241,2016.87705,2044.33386,2071.790669,2099.247479,2126.704289,2154.161098,2181.617908,2209.074717,2236.531527,2263.988337,2291.445146,2318.901956,2346.358766,2373.815575,2401.272385,2428.729194,2456.186004,2483.642814,2511.099623,2538.556433,2566.013243,2593.470052,2620.926862,2648.383671,2675.840481,2703.297291,2730.7541,2758.21091,2785.667719,2813.124529,2840.581339,2868.038148,2895.494958,2922.951768,2950.408577,2977.865387,3005.322196,3032.779006,3060.235816,3087.692625,3115.149435,3142.606245,3170.063054,3197.519864,3224.976673,3252.433483,3279.890293,3307.347102,3334.803912,3362.260722,3389.717531,3417.174341,3444.63115,3472.08796,3499.54477,3527.001579,3554.458389,3581.915198,3609.372008,3636.828818,3664.285627,3691.742437,3719.199247,3746.656056,3774.112866,3801.569675,3829.026485,3856.483295,3944.145908,4031.808522,4119.471136,4207.133749,4294.796363,4382.458977,4470.12159,4557.784204,4645.446818,4733.109431,4820.772045,4908.434659,4996.097272,5083.759886,5171.4225,5259.085113,5346.747727,5434.410341,5522.072954,5609.735568,5697.398181,5785.060795,5872.723409,5960.386022,6048.048636,6135.71125,6223.373863,6311.036477,6398.699091,6486.361704,6574.024318,6661.686932,6749.349545,6837.012159,6924.674773,7012.337386,7100,8418.163934,9736.327868,11054.4918,12372.65574,13690.81967,15008.9836,16327.14754,17645.31147,18963.47541,20281.63934,21599.80328,22917.96721,24236.13114,25554.29508,26872.45901,28190.62295,29508.78688,30826.95081,32145.11475,33463.27868,33264.07744,34193.12022,35108.14331,35468.85932,34276.81397,34211.52205,34121.86918,33618.7385,32596.26337,32166.97667,30891.71229,29989.29397,29213.05085,28451.84444,27876.61023,27596.6658,27959.57416,28234.34519,28458.45837,28417.37321,28028.69909,27218.16966,26010.54999,25906.77683,26142.96277,27179.76801,29729.44858,30819.17556,31939.79854,31662.4372,31793.82402,31865.97,34500.26,36329.5,39786.55,42738.4,43441.87,41425.99,41734.59,38981.93,41958.04,41925.91,43734.64
Angola,650.0000266,653.5398497,657.0796729,660.619496,664.1593192,667.6991424,671.2389655,674.7787887,678.3186118,681.858435,685.3982581,688.9380813,692.4779044,696.0177276,699.5575507,703.0973739,706.637197,710.1770202,713.7168433,717.2566665,720.7964897,724.3363128,727.876136,731.4159591,734.9557823,738.4956054,742.0354286,745.5752517,749.1150749,752.654898,756.1947212,759.7345443,763.2743675,766.8141907,770.3540138,773.893837,777.4336601,780.9734833,784.5133064,788.0531296,791.5929527,795.1327759,798.672599,802.2124222,805.7522453,809.2920685,812.8318917,816.3717148,819.911538,823.4513611,826.9911843,830.5310074,834.0708306,837.6106537,841.1504769,844.6903,848.2301232,851.7699463,855.3097695,858.8495926,862.3894158,865.929239,869.4690621,873.0088853,876.5487084,880.0885316,883.6283547,887.1681779,890.708001,894.2478242,897.7876473,901.3274705,904.8672936,908.4071168,911.94694,915.4867631,919.0265863,922.5664094,926.1062326,929.6460557,933.1858789,936.725702,940.2655252,943.8053483,947.3451715,950.8849946,954.4248178,957.964641,961.5044641,965.0442873,968.5841104,972.1239336,975.6637567,979.2035799,982.743403,986.2832262,989.8230493,993.3628725,996.9026956,1000.442519,1003.982342,1007.522165,1011.061988,1014.601811,1018.141635,1021.681458,1025.221281,1028.761104,1032.300927,1035.84075,1039.380573,1042.920397,1046.46022,1050.000043,1105.087687,1160.175332,1215.262976,1270.35062,1325.438265,1380.525909,1435.613553,1490.701198,1545.788842,1600.876486,1655.964131,1711.051775,1766.139419,1821.227063,1876.314708,1931.402352,1986.489996,2041.577641,2096.665285,2151.752929,2206.840574,2261.928218,2317.015862,2372.103507,2427.191151,2482.278795,2537.36644,2592.454084,2647.541728,2702.629373,2757.717017,2812.804661,2867.892306,2922.97995,2978.067594,3033.155239,3088.242883,3159.759275,3232.955468,3304.76172,3168.867685,3372.050662,3259.058041,3515.174955,3642.335337,3597.656778,3678.875413,4099.104788,3920.451433,4052.979315,4432.13532,4685.329284,4874.429875,5071.532688,4909.776224,4966.243867,5190.090412,5391.38543,5285.165836,5585.229139,5625.132365,5210.626254,4812.946179,4722.834918,4351.181822,4238.115152,4218.141229,3897.358294,3760.144851,3779.693122,3871.976479,3884.201503,3897.09641,4065.147272,4187.951377,4098.416369,3968.670389,3888.203553,3544.938731,2607.337986,2558.734506,2854.513406,3329.794997,3419.698805,3329.632762,3342.531667,3340.654977,3334.947335,3690.689524,3681.574455,3956.009985,4613.317229,5303.703307,6341.613866,7012.631643,6980.112713,7021.577476,7094.084302,7244.828725,7319.345043
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,796.5933723,801.8571226,807.1556548,812.4891989,817.857986,823.2622492,828.7022228,834.1781428,839.6902467,845.2387737,850.8239643,856.4460609,862.1053074,867.8019492,873.5362333,879.3084087,885.1187255,890.967436,896.8547937,902.781054,908.746474,914.7513125,920.7958299,926.8802884,933.004952,939.1700862,945.3759586,951.6228384,957.9109964,964.2407055,970.6122402,977.0258769,983.4818938,989.9805709,996.5221901,1003.107035,1009.735392,1016.407548,1023.123792,1029.884416,1036.689712,1043.539978,1050.435508,1057.376603,1064.363563,1071.396693,1078.476295,1085.602679,1092.776152,1099.997027,1107.265616,1114.582234,1121.9472,1129.360831,1136.823451,1144.335382,1151.896951,1159.508486,1167.170316,1174.882774,1182.646195,1190.460915,1198.327274,1206.245612,1214.216273,1222.239602,1230.315949,1238.445663,1246.629096,1254.866604,1263.158544,1271.505276,1279.907161,1288.364565,1296.877853,1305.447397,1314.073566,1322.756735,1331.497281,1340.295583,1349.152023,1358.066985,1367.040855,1376.074023,1385.166881,1394.319822,1403.533245,1412.807548,1422.143134,1431.540409,1440.999778,1450.521654,1460.106448,1469.754578,1505.776004,1542.680261,1580.488984,1619.22434,1658.909041,1699.566353,1741.220113,1783.894743,1827.615262,1872.407304,1918.29713,1965.311646,2013.478414,2062.825677,2113.382365,2165.17812,2218.243309,2272.609044,2328.3072,2385.370432,2443.832197,2503.726769,2565.089265,2627.955662,2692.362818,2758.348494,2825.951377,2895.211104,2966.16828,3038.864507,3113.342407,3189.645646,3267.81896,3347.908182,3429.960268,3514.023324,3600.146637,3688.380699,3778.777244,3871.389268,3966.271071,4063.478281,4163.06789,4265.098288,4369.629294,4476.722195,4586.439777,4698.84637,4814.007875,4931.991811,5052.867353,5176.705369,5303.578464,5433.561023,5566.729256,5703.161237,5842.936956,6123.371457,6412.30459,6803.051374,6918.883242,6483.802765,5906.36325,6391.367104,6710.139906,7554.492815,8185.316484,8703.470152,8838.109715,9548.132335,10393.03112,11384.10048,12597.12412,14018.14438,15425.39709,16588.69376,17124.49835,17387.93151,17278.07156,17810.18483,18462.05795,17238.12543,17910.11718,18328.49547,18662.71136,18978.09271,18848.52927,18895.86922,19049.16302,19747.45451,20883.52302,21571.41195,24004.48659,25392.81186,25488.83112,22519.10993,20598.58436,19987.92414,20546.34504,20642.51044
