Fixed broadband Internet subscribers (per 100 people),1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,0,0,0,0.0006880265339,0.0007356638622,0.001625928412,0.001581161001,0.00153762619,0.002990580086,0.004362367311,
Albania,,,,0,0,0,0,0.008657457508,,0.3154907538,2.011694862,2.881552831,3.292324493,
Algeria,,,,0,0,0.05640253007,0.1111246656,0.4104784631,0.5091046783,0.8465577724,1.408735929,2.340475159,2.53749859,
American Samoa,,,,0,0,,,,,,,,,
Andorra,,,,,1.662731921,4.987327396,8.343515911,13.27675637,18.29882064,22.76201007,25.033605,27.41613586,28.87207768,
Angola,,,,0,0,0,0,0,0.0438438538,0.06676037084,0.08838026287,0.1077869903,0.1048108165,
Antigua and Barbuda,,,,0,0,0,0.1207175451,0.9378426045,1.813965533,2.636876709,5.738884221,7.266349286,8.089772727,
Argentina,0,,,0.2519964283,0.3930176693,0.6811591545,1.415931101,2.39579595,4.058320745,6.604337638,8.020496799,8.671587149,9.557443334,
Armenia,,,,0.0001957068442,0.0002613467788,0.0003267382311,0.0326518671,0.06490638803,,0.1268630572,0.3597819743,1.01423705,2.754754204,
Aruba,,,,0,0,1.444129032,7.030066838,12.15295655,13.58471829,15.34756536,17.43267062,17.63403744,17.79351852,
Australia,,,,0.6325658064,1.31339243,2.597585371,5.02797182,9.884872615,18.84249127,,23.95515966,23.19638115,24.14906498,
Austria,0,0.6368610682,2.377812278,3.986425265,5.580331595,7.400180978,10.64615296,14.26864851,17.31844447,19.54031352,20.73905898,22.0674156,23.86174017,
Azerbaijan,,,,0,0.01223698138,,,0.02602525069,0.04661413982,0.1701373918,0.684665769,1.117662726,5.080627347,
Bahamas,,,,1.372320179,2.46565577,3.527067933,4.06781492,4.190281753,5.119636124,6.233636704,7.642487435,9.335969594,7.201749271,
Bahrain,0,0,0,0.1830321707,0.7756163658,1.504564531,2.226390378,2.956925085,4.760601915,7.205641367,7.304066388,6.496616728,5.358557845,
Bangladesh,,,,0,0,0,0,0,,0.03036327459,0.03436938705,0.03740729495,0.04035186829,
Barbados,,,,0,0,10.14109708,10.97622867,11.80837181,14.31406837,17.35267913,18.08215152,21.01008249,20.50729927,
Belarus,,,,0,0.000201511335,0.001245699759,0.007634000021,0.01599903188,0.1173285384,1.750154607,4.976046657,11.48932366,17.55415174,
Belgium,0.1070664651,0.2249076632,1.406804048,4.471957125,7.891560697,11.97872078,15.54479132,19.18749392,23.24227116,25.55415643,27.66066731,29.02864847,30.95762665,
Belize,,,,0,0,0.3434417245,1.000353857,1.721041809,2.40389401,2.401284109,2.498292456,2.5030012,2.584057971,
Benin,,,,0,0.0003026815423,0.0002930923984,0.001094892731,0.002567543085,0.01903017986,0.008751847287,0.01166829025,0.02082129366,0.04032768362,
Bermuda,,,,0,0,,,29.08132767,37.05799373,44.9984375,52.8894081,62.11180124,62.07430341,
Bhutan,,,,0,0,0,0,0,0,0,0.2937138115,0.434377474,1.194903581,
Bolivia,,,,0,0.0385119848,0.06510955022,0.09710654123,0.1418332713,0.1889936884,0.3590321844,0.824601345,0.9836249075,0.9662302347,
Bosnia and Herzegovina,0,0,0.0007309747575,0.001814121872,0.00564106462,0.03965403703,0.1755189538,0.362390806,1.057756688,2.241075365,4.993423709,6.267830919,8.177898936,
Botswana,,,0,0,0,0,0,0.08530271535,0.09469173893,0.1836537763,0.4552844198,0.504648825,0.5968111609,
Brazil,0.0005902849266,0.004071275921,0.05733110399,0.1871355503,0.4077210953,0.5319802053,1.71719585,1.738724011,2.536205774,4.00923571,5.053675688,5.845137982,6.805120392,
Brunei,,,,0.5670738273,0.8071197506,1.100435529,1.759270445,2.237809227,2.420628813,3.077245022,4.390751115,5.111564247,5.438345865,
Bulgaria,,,,0,0,0,0.08547567644,2.137869998,4.996376162,8.212733447,10.73833902,12.63267569,14.44499602,
Burkina Faso,,,,0,0.0003841592694,0.001082445063,0.001116772649,0.002704518088,0.01172873962,0.0446978503,0.066167124,0.07474125369,0.08618532912,
Burundi,,,,0,0,0,0,0,0,0,0.002014254628,0.001958179886,0.002386065378,
Cambodia,,,,0,0.0003892497926,0.003217095353,0.005911795556,0.00748638937,0.02145623623,0.0618148383,0.1200493914,0.2146244683,0.2522526346,
Cameroon,,,,0,0,0,0,0.001150761819,0.002345613633,0.003487734238,0.004584520378,0.00469360462,0.005102301138,
Canada,0.4628420485,1.908246774,4.585459072,9.124281334,11.20783113,14.24737972,16.92764494,21.67615746,24.69296945,27.55965862,29.53952415,30.46094998,29.70972572,
Cape Verde,,,,0,0,0,0.06062761363,0.1981462645,1.562934511,1.512350344,1.663414524,2.431954697,3.219959677,
Cayman Islands,,,,0,0,,,,,,31.7026856,32.80849309,33.52658723,
Central African Rep.,,,,0,0,0,0,0,0,0,0,,,
Chad,,,,0,0,0,0,0,0,0,0,0.001371480108,0.001336064844,
Channel Islands,,,,,,,,,,,,,,
Chile,0,,0.05109657571,0.4275900078,1.193956586,2.207008575,2.968489932,4.346318911,6.190661217,7.742231316,8.497336176,9.758797273,10.45064045,
China,0,,0.001794645367,0.02644022487,0.2576140269,0.8707707234,1.92424281,2.864878962,3.878888194,5.039438191,6.256647957,7.809791344,9.440110588,
Colombia,0,,0.02231154553,0.03421353655,0.08493082549,0.1544046123,0.2998958706,0.7404248802,1.437360944,2.72159339,3.273134994,4.427949471,5.603315693,
Comoros,,,,0,0,0,0.0001597760579,0.0006221091366,0,0.01208366613,0.01578115271,0.009220787567,0.02040816327,
