Fixed broadband Internet subscribers,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,,,,,,,0,0,0,200,220,500,500,500,1000,1500,
Albania,,,,,,,0,0,0,0,272,,10000,64000,92000,105519,
Algeria,,,,,,,0,0,18000,36000,135000,170000,287039,485000,818000,900000,
American Samoa,,,,,,,0,0,,,,,,,,,
Andorra,,,,,,,,1148,3601,6282,10341,14616,18526,20672,22941,24502,
Angola,,,,,,,0,0,0,0,0,7458,11700,15942,20000,20000,
Antigua and Barbuda,,,,,,,0,0,0,100,787,1541,2266,4986,6380,7119,
Argentina,,,,0,,,94000,148000,258849,542879,926722,1583713,2600000,3185284,3474052,3862354,
Armenia,,,,,,,6,8,10,1000,1990,,3900,11078,31289,85177,
Aruba,,,,,,,0,0,1399,6963,12274,13953,15996,18396,18800,19217,
Australia,,,,,,,122800,258100,516800,1012000,2016000,3900000,,5150000,5092000,5385000,
Austria,,,,0,50900,190500,320600,451000,601000,870000,1174000,1432000,1622000,1729000,1846000,2002000,
Azerbaijan,,,,,,,0,1000,,,2184,3955,14600,60000,100000,460000,
Bahamas,,,,,,,4139,7540,10941,12803,13382,16591,20500,25500,31589,24702,
Bahrain,,,,0,0,0,1176,4980,9737,14956,21432,38628,66705,76865,75983,67625,
Bangladesh,,,,,,,0,0,0,0,0,,43710,50000,55000,60000,
Barbados,,,,,,,0,0,27319,29630,31942,38800,47133,49216,57305,56190,
Belarus,,,,,,,0,20,123,750,1564,11419,169800,477800,1092290,1665889,
Belgium,,,,10924,23000,144215,460011,815418,1242928,1619944,2010584,2451585,2715308,2962450,3134076,3373143,
Belize,,,,,,,0,0,940,2827,5022,7245,7480,8047,8340,8915,
Benin,,,,,,,0,21,21,81,196,1498,710,975,1791,3569,
Bermuda,,,,,,,0,0,,,18487,23643,28799,33955,40000,40100,
Bhutan,,,,,,,0,0,0,0,0,0,0,2060,3100,8675,
Bolivia,,,,,,,0,3330,5740,8723,12973,17589,33977,79314,96134,95937,
Bosnia and Herzegovina,,,,0,0,27,68,213,1500,6637,13702,40000,84691,188460,236152,307489,
Botswana,,,,,,0,0,0,0,0,1600,1800,3540,8900,10000,11978,
Brazil,,,0,1000,7000,100000,331000,731000,966252,3157466,3233800,4767007,7609452,9679974,11295531,13266310,
Brunei,,,,,,,1896,2757,3838,6262,8126,8964,11617,16891,20029,21699,
Bulgaria,,,,,,,0,0,0,6651,165469,384672,629076,818626,958205,1088286,
Burkina Faso,,,,,,,0,50,145,154,384,1715,6732,10266,11947,14193,
Burundi,,,,,,,0,0,0,0,0,0,0,160,160,200,
Cambodia,,,,,,,0,50,419,780,1000,2900,8450,16594,30000,35666,
Cameroon,,,,,,,0,0,0,0,202,421,640,860,900,1000,
Canada,,,,140000,582000,1410932,2836000,3515000,4513000,5416000,7004000,8044000,9075322,9842303,10274384,10138741,
Cape Verde,0,,,,,,0,0,0,283,937,7475,7305,8107,11956,15971,
Cayman Islands,,,,,,,0,0,,,,,,17530,18295,18852,
Central African Rep.,,,,,,,0,0,0,0,0,0,0,0,,,
Chad,,,,,,,0,0,0,0,0,0,0,0,150,150,
Channel Islands,,,,,,,,,,,,,,,,,
Chile,,,,0,,7879,66722,188454,352234,478883,708525,1019520,1287785,1427178,1654676,1788490,
China,,,,0,,22660,336280,3298490,11219010,24939630,37350000,50853000,66414000,82879000,103978000,126337000,
Colombia,,,,0,,8872,13830,34888,64436,127113,318683,628077,1207090,1473100,2021538,2594055,
Comoros,,,,,,,0,0,0,1,4,0,82,110,66,150,
"Congo, Dem. Rep.",,,,,,,0,0,1000,1450,1500,1500,1500,1500,6799,8673,
"Congo, Rep.",,,,,,,0,0,0,0,0,0,0,0,,124,
Costa Rica,,,,,,,0,8989,14878,27931,44914,83206,95000,107410,179781,288236,
Cote d'Ivoire,,,,,,,0,0,413,826,1239,10000,10000,10000,10000,7900,
Croatia,,,,,,,0,0,3400,26200,116200,251800,387050,524683,684960,803823,
Cuba,,,,,,,0,0,0,0,0,0,1946,2246,2883,3706,
Cyprus,,,,,,,2500,5879,10033,17070,31856,63084,97613,147276,176024,194455,
Czech Rep.,,,,0,0,2500,6200,15300,34690,235996,709063,1112500,1496720,1759586,1354986,1521000,
Denmark,,,,0,,67000,238000,451297,718299,1017594,1343855,1735317,1882000,1984869,2040861,2092379,
Djibouti,,,,,,4,5,6,,,42,152,1092,2451,5285,8058,
Dominica,,,,0,,80,175,2238,2651,3253,3400,4100,6500,7300,8300,9391,
