"Mobile cellular subscriptions, total number",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,200000,600000,1200000,2520366,4668096,7898909,10500000,13000000,17558265
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,3300,5600,11008,29791,392650,851000,1100000,1259590,1530244,1909885,2322436,1859632,2463741,2692372,3100000
Algeria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,4781,4781,4781,1348,4691,11700,17400,18000,72000,86000,100000,450244,1446927,4882414,13661355,20997954,27562721,27031472,32729824,32780165,35615926
American Samoa,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,700,900,1200,1250,1300,1400,1500,1800,1992,2156,2036,2100,2250,,,,,,,
Andorra,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,780,784,2825,5488,8618,14117,20600,23543,29429,32790,51893,58366,64560,69004,63503,64202,64549,65495,65044
Angola,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,1824,1994,3298,7052,9820,24000,25806,75000,140000,350000,740000,1611118,3054620,4961536,6773356,8109421,8909200,9491000
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,1300,1400,1500,8500,22000,25000,38205,46100,54000,86000,110177,112381,136592,134925,167970,162773
Argentina,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,12000,25000,46590,112000,241163,405395,667020,2009073,2670862,3848869,6487950,6741791,6566740,7842233,13512383,22156426,31510390,40401771,46508774,52482780,53700000,55000000
Armenia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,5000,7831,8161,17486,25504,71349,114379,203309,318044,1259762,1876411,1442000,2191500,3865354,3210802
Aruba,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,1718,3000,3402,5380,12000,15000,53000,61800,69952,98389,103417,109030,113586,120806,128000,131800,
Australia,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4423,31622,94529,184943,291459,497000,690000,1220000,2242000,3990000,4578000,4918000,6315000,8562000,11132000,12670000,14347000,16480000,18420000,19760000,21260000,22120000,22200000,22500000,24490000
Austria,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,9762,19104,26223,36904,50721,73698,115402,172453,220859,278199,383535,598708,1159700,2292900,4250393,6117000,6541000,6736000,7274000,7992000,8665000,9281000,9912000,10816000,11434000,12241000,13022578
Azerbaijan,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,6000,17000,40000,65000,370000,420400,730000,794200,1057100,1456523,2242000,3323500,4519000,6548000,7757120,9100113,10120105
Bahamas,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1922,2020,2600,2401,,4100,4948,6200,8072,15911,31524,60555,121759,122228,186007,227771,252987,373999,358050,358812,428377,298790
