,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.161307397,0.163505728,0.16085651,0.181177738,0.180439373,0.185002135,0.230870487,0.20890412,0.222810082,0.237359574,0.251356005,0.264567609,0.276590882,0.285350188,0.288309257,0.285954989,0.273582335,0.197404969,0.181224289,0.16819612,0.158855043,0.152770125,0.148898635,0.14619062,0.143423673,0.139844945,0.135424499,0.261323207,1.024019996,2.699739612,5.186017046,10.29362778,..
Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.902199267,0.916775525,0.948954236,0.9640454,0.993683232,1.021974702,1.064199095,1.080041128,1.094706986,1.106840551,1.12514561,1.153918559,1.15555022,1.158426031,1.184283407,1.215999144,1.260208065,1.371333659,1.331051354,1.30216382,1.338112655,2.118808291,2.905171463,3.927130082,4.913469071,5.924483436,19.12751493,34.57461919,43.49950465,48.94544478,59.73413712,..,..
Algeria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.804709944,0.851148482,1.010068993,1.174492408,1.43034775,1.655396609,1.866510694,2.031276334,2.146929835,2.170951191,2.430409846,2.543137707,2.71398369,2.901973862,3.041420618,3.21356479,3.426713585,3.644182523,3.952207565,4.053095198,4.178294149,4.484864475,4.852675933,5.042766199,5.560058323,6.055607848,6.396543231,7.640695632,11.27147096,22.76915521,49.41035015,71.47957504,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.47894737,22.1122807,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,131.9151515,147.9393939,151.0634441,..,..
Angola,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.264221619,0.2719232,0.278843152,0.339109222,0.395158674,0.459516765,0.452901457,0.586969865,0.527534569,0.511330529,0.510472943,0.504566489,0.634777038,0.650019436,0.653635962,0.664499449,0.663073239,0.43596464,0.469259087,0.458379058,0.444371231,0.442288903,0.535266679,0.565131223,0.671674719,0.651155498,1.060200237,1.494182967,2.865877036,5.335799854,10.61109222,14.26812143,..
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.488996018,2.490333574,..,..,..,..,4.906152315,5.671425938,7.168047711,8.417811601,10.33408625,12.05581844,14.65483995,17.35645423,..,25.80665999,..,..,..,..,..,42.01319186,45.27226236,48.37434933,59.88820868,78.53505425,79.54620947,95.78188396,104.0635518,112.2676852,147.4969593,168.8526345,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.337967856,6.341223584,6.297759405,6.336874172,6.492964275,6.688376779,7.709793689,8.153888058,7.725048699,8.707755016,8.945266325,9.295801976,9.502603214,10.02845794,9.607522002,9.326739687,9.553264093,10.87069862,12.06081919,15.19974492,17.56730362,19.64976822,24.75823039,27.05206437,30.33063099,38.98055958,39.90198956,37.92370759,43.27336136,58.04551119,81.54948333,104.6912482,..
Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.724116575,7.284503571,8.508665736,9.024199896,9.525170262,9.688989884,10.80773516,11.27498466,11.73106352,12.16681186,12.57807013,12.95487053,13.59635039,14.2731017,14.9614559,15.79826518,16.28782271,16.76152985,17.30412083,17.82942558,18.06024088,18.24412132,18.22458556,18.09704214,17.81804598,17.8738806,18.17271189,20.13650445,22.32203731,25.84450849,30.23692854,..,..
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,108.4262626,137.769697,146.0458624,..,..
Australia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.47325992,26.36642201,27.52959414,29.01480011,30.65638694,32.28057446,33.96088966,35.29168533,36.38276401,37.63892177,39.26154969,40.58749938,41.93781319,43.08664908,44.69092564,46.71424135,48.23818561,50.03715347,52.24429728,56.39876785,61.65338645,71.86936814,75.21736782,77.27005505,84.93606679,97.17537723,109.1639623,117.3892747,124.6704077,133.3647515,139.9030855,143.4679478,..
Austria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.917946,21.49099576,23.11152269,24.95697074,26.92715232,29.00834106,30.70720423,32.19794032,33.73818856,34.96878972,36.25613501,37.5088037,38.72915621,40.00293614,41.32315172,42.75592598,44.35986413,46.7579456,47.93644544,50.070957,52.56380966,56.50128324,64.34607149,78.93430359,102.3394482,126.2425715,131.0205087,131.3640999,137.3648033,144.5068321,150.4742934,154.8020143,..
