Internet users (per 100 people),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,0,,,,,,,,,,,0.004188345712,0.004092113722,0.0798750778,0.09716351637,1.130397829,1.947423469,1.751202161,1.688485448,3.246305573,3.654114396,4.580669921
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,
Albania,0,,,,,0.01116869549,0.03219682823,0.04859391876,0.06502737002,0.0814370446,0.1140973466,0.3257983771,0.3900812734,0.9719004152,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,49
Algeria,0,,,,0.000360673568,0.001768954015,0.001738533226,0.01026846315,0.02023855454,0.199523843,0.4917056791,0.6461140167,1.59164126,2.195359731,4.634475088,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14
American Samoa,0,,,,,,,,,,,,,,,,,,,,,
Andorra,0,,,,,,1.526601023,3.050175385,6.886209218,7.635686143,10.53883561,,11.26046872,13.54641288,26.83795439,37.60576622,48.936847,70.87,70.04,78.53,81,81
Angola,0,,,,,,0.0007759285246,0.005673745989,0.01845372408,0.07196408704,0.1050455625,0.1360138674,0.2703767456,0.3706820652,0.464814618,1.143366827,1.907647507,3.2,4.6,6,10,14.776
Anguilla,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,0,,,,,2.200768802,2.858449577,3.480536838,4.0717165,5.300681138,6.482225737,8.899285515,12.5,17.22864878,24.26654372,34.7164029,62.63886919,70.06,75.03,74.2,80,82
Argentina,0,,0.002992874146,0.02952706529,0.04370595114,0.08627708097,0.1419547044,0.2803398818,0.8307666797,3.284481956,7.038683086,9.780807285,10.88212438,11.91369655,16.03668411,17.72058337,20.9272021,25.94663294,28.11262348,34,40,47.704
Armenia,0,,,,0.009117014141,0.05274312331,0.09457290247,0.1116509345,0.1286594776,0.9707377575,1.300470022,1.631094667,1.960405046,4.575217225,4.899008571,5.252983352,5.631787777,6.021253397,6.21,15.3,,
Aruba,0,,,,,,2.768382663,,,4.506179098,15.44282295,17.1,18.8,20.8,23,25.4,28,30.9,34.2,37.7,42,57.06835805
Australia,0.5861593966,1.099529387,1.772249769,1.981363276,2.240454351,2.766742391,3.276794752,16.37656577,30.85256168,40.83096345,46.78382556,52.60563888,,,,63.02693628,66.1479411,69.60650927,71.7210626,74.08290816,75.89293106,78.94807512
Austria,0.1302447951,0.2579017552,0.6376973507,0.7589525089,1.3860681,1.887201228,6.910418483,9.538176519,15.41992017,23.02231748,33.70127638,39.16687163,36.56498507,42.76736164,54.37024785,58.03078406,63.63512805,69.44517156,72.91265428,73.48831743,75.204701,79.74719494
Azerbaijan,0,,,,0.001445119917,0.00207689984,0.006421961315,0.02543036361,0.03778188234,0.09993203097,0.1488980403,0.3085883382,5.065974361,,,8.217982517,12.29912693,14.94616369,17.43121254,27.76553063,46.67798994,50.75274324
Bahamas,0,,,,,0.960030721,1.746950698,1.362953903,2.33559071,3.764557822,8,11.8,18,20,22,25,26,27,31.54,33.88,43,65
Bahrain,0,,,,,0.3462058436,0.8432542192,1.646299202,3.218202151,4.720358118,6.153732546,15.03863425,18.05072089,21.55494499,21.45868051,21.30373351,28.24395243,32.91,51.95,53,55,77
Bangladesh,0,,,,,,,0.0007510458294,0.003684812625,0.03617040747,0.07103942305,0.1298079739,0.1399202885,0.1638776655,0.1990363337,0.2416373256,1,1.8,2.5,3.1,3.7,5
