"Proportion of the population using improved sanitation facilities, urban",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,36,36,36,36,36,38,40,42,44,46,48,50,52,54,56,58,60,60,60,60
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,
Albania,94,94,94,94,94,94,94,94,94,94,95,95,95,95,95,95,95,95,95,95,95
Algeria,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98
American Samoa,,,,,,,,,,,,,,,,,,,,,
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,67,67,67,67,68,69,71,72,73,74,75,76,77,78,80,81,82,83,84,85,85
Anguilla,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Argentina,93,93,93,93,93,93,92,92,92,92,92,92,91,91,91,91,91,91,,,
Armenia,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Aruba,,,,,,,,,,,,,,,,,,,,,
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,,,,,70,70,70,70,70,72,73,75,77,78,80,81,83,84,86,86,86
Bahamas,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bahrain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bangladesh,58,58,58,58,58,58,58,58,58,58,58,57,57,57,57,57,57,57,57,57,57
Barbados,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belarus,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,77,78,78,79,80,81,82,82,83,84,85,86,86,87,88,89,90,90,91,92,93
Benin,14,14,15,15,16,17,17,18,18,19,19,20,20,21,21,22,23,23,24,24,25
Bermuda,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,66,66,66,66,66,66,67,68,69,70,71,71,72,73
Bolivia,28,28,29,29,29,30,30,30,31,31,31,32,32,33,33,33,34,34,34,35,35
Bosnia and Herzegovina,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99
Botswana,61,62,63,64,64,65,66,66,67,68,69,69,70,71,72,72,73,74,75,75,75
Brazil,80,80,80,80,81,81,81,81,82,82,82,82,83,83,83,83,84,84,84,84,85
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,
Bulgaria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Burkina Faso,43,43,44,44,44,45,45,45,46,46,46,47,47,47,48,48,48,49,49,49,50
Burundi,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,49,49,49,49
Cambodia,36,36,36,36,36,39,41,43,46,48,50,53,55,57,60,62,64,66,69,71,73
Cameroon,63,63,63,62,62,62,62,61,61,61,61,60,60,60,60,59,59,59,59,58,58
Canada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cape Verde,,,56,56,56,56,56,57,58,60,61,62,63,64,66,67,68,69,70,72,73
Cayman Islands,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
Central African Republic,21,21,21,22,23,25,26,28,29,30,32,33,35,36,37,39,40,42,43,43,43
Chad,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29,29,30,30,30
Channel Islands,,,,,,,,,,,,,,,,,,,,,
Chile,91,91,92,92,93,93,94,94,95,95,96,96,96,97,97,98,98,98,98,98,98
China,48,49,50,52,53,54,56,57,58,60,61,62,64,65,66,68,69,70,71,73,74
Christmas Island,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,
Colombia,79,79,79,80,80,80,80,80,80,80,81,81,81,81,81,81,81,82,82,82,82
Comoros,34,34,34,34,34,36,37,38,40,41,42,43,45,46,47,49,50,50,50,50,50
"Congo, Dem. Rep.",23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24
"Congo, Rep.",,,,,,,,21,21,21,21,21,21,21,21,20,20,20,20,20,20
Cook Is,,,,,,,,,,,,,,,,,,,,,
Costa Rica,94,94,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Cote d'Ivoire,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,36,36,36,36,36,36
Croatia,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Cuba,86,86,87,87,87,88,88,89,89,90,90,91,91,91,92,92,93,93,94,94,94
Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Czech Republic,100,100,100,100,100,100,100,100,99,99,99,99,99,99,99,99,99,99,99,99,99
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,
Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Djibouti,73,73,73,73,73,72,71,71,70,69,69,68,67,66,66,65,64,64,63,63,63
Dominica,,,,,,80,80,80,80,80,80,80,80,80,80,80,80,80,,,
Dominican Republic,83,83,83,83,84,84,84,84,85,85,85,85,85,86,86,86,86,86,87,87,87
East Germany,,,,,,,,,,,,,,,,,,,,,
Ecuador,86,86,87,88,88,89,90,90,91,91,92,93,93,94,95,95,96,96,96,96,96
Egypt,91,92,92,92,93,93,94,94,94,95,95,95,96,96,96,97,97,97,97,97,97
El Salvador,88,88,88,88,88,88,88,88,89,89,89,89,89,89,89,89,89,89,89,89,89
Equatorial Guinea,,,,,92,92,92,92,92,92,92,92,92,92,92,92,92,,,,
Eritrea,58,58,58,58,57,57,56,56,55,55,54,53,53,52,52,52,52,52,52,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,
Estonia,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
Ethiopia,20,20,20,20,21,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,29
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,
Fiji,90,90,90,90,91,91,91,91,92,92,92,93,93,93,93,94,94,94,94,94,94
Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
French Guiana,,,,,,,,,,,,,,,,,,,,,
French Polynesia,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Gabon,,,,,38,38,38,38,38,38,37,37,36,36,35,34,34,33,33,33,33
Gambia,,,65,65,65,65,65,65,66,66,67,67,67,68,68,69,69,69,70,70,70
Georgia,97,97,97,97,97,97,97,97,97,96,96,96,96,96,96,96,96,96,96,96,96
Germany,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ghana,12,12,13,13,13,14,14,14,15,15,16,16,16,17,17,17,18,18,19,19,19
Gibraltar,,,,,,,,,,,,,,,,,,,,,
Greece,100,100,100,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Greenland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Grenada,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
Guadeloupe,,,,,,,,,,,,,,,,,,,,,
Guam,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Guatemala,81,82,82,82,83,83,83,84,84,84,85,85,85,85,86,86,86,87,87,87,87
Guernsey,,,,,,,,,,,,,,,,,,,,,
Guinea,19,20,20,21,22,22,23,24,24,25,26,27,27,28,29,29,30,31,32,32,32
Guinea-Bissau,,,,,35,35,35,35,35,36,36,37,38,39,39,40,41,42,42,43,44
Guyana,,,,,86,86,86,86,86,86,86,86,87,87,87,87,87,87,87,87,88
Haiti,44,44,44,43,42,40,39,38,37,35,34,33,32,30,29,28,26,25,24,24,24
Holy See,,,,,,,,,,,,,,,,,,,,,
Honduras,71,72,73,73,74,75,75,76,77,78,78,79,80,80,81,82,83,83,84,85,85
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,
Hungary,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Iceland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
India,51,51,52,52,52,53,53,54,54,54,55,55,55,56,56,56,57,57,57,58,58
Indonesia,56,57,58,59,60,60,61,62,63,64,64,65,66,67,68,69,69,70,71,72,73
Iran,83,83,83,83,84,86,87,88,89,90,92,93,94,95,97,98,99,100,100,100,100
Iraq,,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
Ireland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Isle of Man,,,,,,,,,,,,,,,,,,,,,
Israel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Italy,,,,,,,,,,,,,,,,,,,,,
Jamaica,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
Japan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Jersey,,,,,,,,,,,,,,,,,,,,,
Jordan,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Kazakhstan,96,96,96,96,96,96,96,96,96,96,97,97,97,97,97,97,97,97,97,97,97
Kenya,27,28,28,28,28,28,29,29,29,29,30,30,30,30,30,31,31,31,31,31,32
Kiribati,36,37,38,39,40,41,42,43,45,46,47,48,49,49,49,49,49,,,,
North Korea,,,57,57,57,57,57,59,61,63,65,67,69,71,73,75,78,80,82,84,86
South Korea,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,
Kuwait,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Kyrgyz Republic,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
Lao,,,,,58,58,58,58,58,61,64,66,69,71,74,76,79,82,84,87,89
Latvia,,,,,,,,82,82,82,82,82,82,82,82,82,82,82,82,82,
Lebanon,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Lesotho,,,,,38,38,38,38,38,37,37,36,36,36,35,35,34,34,33,33,32
Liberia,,,,,22,22,22,22,22,22,23,24,24,25,26,26,27,28,28,29,29
Libya,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
Liechtenstein,,,,,,,,,,,,,,,,,,,,,
Lithuania,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Luxembourg,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Macao, China",,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
Madagascar,15,16,16,16,16,17,17,17,18,18,18,18,19,19,19,20,20,20,20,21,21
Malawi,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49
Malaysia,88,89,89,90,91,91,92,92,93,93,94,94,95,95,96,96,96,96,96,96,96
Maldives,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Mali,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,35,35,35,35,35
Malta,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Marshall Islands,77,77,78,78,78,79,79,79,80,80,80,81,81,81,82,82,82,83,83,83,83
Martinique,,,,,,,,,,,,,,,,,,,,,
Mauritania,29,29,29,29,30,31,33,34,36,37,38,40,41,43,44,45,47,48,50,51,51
Mauritius,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
Mayotte,,,,,,,,,,,,,,,,,,,,,
Mexico,76,76,77,77,78,79,79,80,80,81,81,82,82,83,84,84,85,85,86,86,87
"Micronesia, Fed. Sts.",55,55,55,55,56,56,57,58,58,59,59,60,61,61,61,61,61,,,,
Moldova,,,86,86,86,86,86,87,87,87,87,87,87,88,88,88,88,88,88,89,89
Monaco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Mongolia,,,66,66,66,66,66,66,66,66,65,65,65,65,65,65,64,64,64,64,64
Montenegro,,,,,,,,,92,92,92,92,92,92,92,92,92,92,92,92,92
Montserrat,,,,,,,,,,,,,,,,,,,,,
Morocco,81,81,81,81,81,81,82,82,82,82,82,82,83,83,83,83,83,83,83,83,83
Mozambique,36,36,36,36,36,36,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38
Myanmar,,77,77,77,77,77,77,78,78,78,79,79,80,80,81,81,82,82,82,83,83
Namibia,62,62,62,62,61,61,61,60,60,60,60,59,59,59,58,58,58,58,57,57,57
Nauru,,,,,,,,,,,,,,,,,,,,,
Nepal,37,38,38,39,39,40,40,41,41,42,42,43,43,44,44,45,45,46,46,47,48
Netherlands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
