"Proportion of the population using improved drinking water sources, rural",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,,,,,
Afghanistan,1,1,1,1,1,4,8,11,15,18,22,25,28,32,35,39,42,42,42,42
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,
Albania,96,96,96,96,96,96,96,96,96,96,96,95,95,95,95,94,94,94,94,94
Algeria,88,88,88,87,86,86,85,85,84,84,83,83,82,82,81,81,80,79,79,79
American Samoa,,,,,,,,,,,,,,,,,,,,
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,40,40,40,40,40,40,40,40,40,40,39,39,39,39,39,39,39,38,38,38
Anguilla,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,89,89,89,89,89,89,89,89,89,89,89,89,89,,,,,,
Argentina,73,73,74,75,75,76,76,77,78,78,79,79,80,80,80,80,80,,,
Armenia,,75,75,75,75,75,76,78,80,81,83,84,86,88,89,91,92,94,96,97
Aruba,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,49,49,49,51,52,54,55,56,58,59,61,62,64,65,66,68,69,71,71,71
Bahamas,,86,86,86,86,86,86,86,86,86,86,86,86,86,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,
Bangladesh,75,75,75,75,75,76,76,76,77,77,77,78,78,78,79,79,79,79,80,80
Barbados,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belarus,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,91,93,95,97,99
