"Proportion of the population using improved drinking water sources, urban",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Abkhazia,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,6,6,6,6,6,12,18,24,30,36,42,48,54,60,66,72,78,78,78,78
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,
Albania,100,100,100,100,100,100,100,100,100,100,100,100,99,99,98,98,98,97,97,96,96
Algeria,100,100,100,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,85,85
American Samoa,,,,,,,,,,,,,,,,,,,,,
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,46,46,46,46,47,47,48,49,50,51,52,53,54,54,55,56,57,58,59,60,60
Anguilla,,,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,
Antigua and Barbuda,,,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Argentina,97,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Armenia,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99
Aruba,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
Bahamas,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Bahrain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bangladesh,87,87,87,87,87,87,87,86,86,86,86,86,86,86,86,85,85,85,85,85,85
Barbados,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belarus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belize,89,89,90,90,91,91,92,92,92,93,93,94,94,95,95,95,96,96,97,97,98
Benin,72,73,73,74,75,75,76,76,77,78,78,79,79,80,80,81,82,82,83,83,84
Bermuda,,,,,,,,,,,,,,,,,,,,,
Bhutan,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,100
Bolivia,92,92,92,93,93,93,93,93,94,94,94,94,94,95,95,95,95,95,96,96,96
Bosnia and Herzegovina,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,100,100,100,100,100,100
Botswana,100,100,100,100,100,100,100,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Brazil,96,96,96,96,97,97,97,97,97,98,98,98,98,98,98,99,99,99,99,99,100
British Virgin Islands,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Brunei,,,,,,,,,,,,,,,,,,,,,
Bulgaria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Burkina Faso,75,75,76,77,78,79,80,81,82,84,85,86,87,88,89,90,91,92,93,94,95
Burundi,97,97,96,95,94,93,92,92,91,90,89,88,87,87,86,85,84,83,83,83,83
Cambodia,48,48,48,48,48,50,53,55,58,60,63,65,67,70,72,75,77,80,82,84,87
Cameroon,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,95
Canada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cape Verde,,,82,82,82,82,82,83,83,84,84,85,85,86,87,87,88,88,89,89,90
Cayman Islands,,,,93,93,93,93,93,93,93,93,94,94,94,94,95,95,95,95,96,96
Central African Republic,78,78,78,79,80,81,81,82,83,84,85,86,87,88,89,89,90,91,92,92,92
Chad,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Channel Islands,,,,,,,,,,,,,,,,,,,,,
Chile,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
China,97,97,97,97,97,97,97,97,97,97,98,98,98,98,98,98,98,98,98,98,98
Christmas Island,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,
Colombia,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99
Comoros,98,97,97,96,96,96,95,95,94,94,93,93,92,92,92,91,91,91,91,91,91
"Congo, Dem. Rep.",90,90,90,90,89,88,88,87,86,86,85,84,83,83,82,81,81,80,79,79,79
"Congo, Rep.",95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Cook Is,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98
Costa Rica,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,100,100,100,100,100,100
Cote d'Ivoire,90,90,90,90,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
Croatia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cuba,93,93,93,94,94,94,94,94,94,94,95,95,95,95,95,95,95,96,96,96,96
Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Czech Republic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,
Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Djibouti,80,80,80,80,80,82,83,84,86,87,88,90,91,92,94,95,97,98,99,99,99
Dominica,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
Dominican Republic,98,97,96,96,95,95,94,94,93,92,92,91,91,90,89,89,88,88,87,87,87
East Germany,,,,,,,,,,,,,,,,,,,,,
Ecuador,81,82,83,84,85,86,86,87,88,89,90,91,92,93,94,95,96,96,96,96,96
Egypt,96,97,97,97,97,97,98,98,98,98,98,98,99,99,99,99,99,99,100,100,100
El Salvador,90,90,91,91,91,91,91,92,92,92,92,93,93,93,93,94,94,94,94,94,94
Equatorial Guinea,,,,,66,66,66,66,66,66,66,66,66,66,66,66,66,,,,
Eritrea,62,62,62,62,63,64,65,66,67,69,70,71,72,73,74,74,74,74,74,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,
Estonia,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Ethiopia,79,79,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,95,96,97,97
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,
Fiji,94,94,94,95,95,96,96,96,97,97,98,98,98,99,99,100,100,100,100,100,100
Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
French Guiana,,,88,88,88,88,88,88,88,88,88,88,88,88,88,,,,,,
French Polynesia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Gabon,,,,,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Gambia,86,87,87,87,88,88,88,89,89,89,90,90,90,91,91,91,92,92,92,92,92
Georgia,94,94,94,94,94,94,95,95,96,96,97,97,98,98,99,99,100,100,100,100,100
Germany,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ghana,84,84,84,85,85,85,86,86,87,87,87,88,88,88,89,89,89,90,90,91,91
Gibraltar,,,,,,,,,,,,,,,,,,,,,
Greece,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Greenland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Grenada,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
Guadeloupe,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Guam,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Guatemala,91,92,92,92,93,93,94,94,94,95,95,95,96,96,97,97,97,98,98,98,98
Guernsey,,,,,,,,,,,,,,,,,,,,,
Guinea,87,87,87,87,87,88,88,88,88,88,88,89,89,89,89,89,89,89,90,90,90
Guinea-Bissau,45,47,49,52,54,56,59,61,63,66,68,70,73,75,77,80,82,84,87,89,91
Guyana,,,,,93,93,93,93,93,93,94,94,94,95,95,96,96,96,97,97,98
Haiti,84,84,84,84,84,84,84,84,84,84,84,85,85,85,85,85,85,85,85,85,85
Holy See,,,,,,,,,,,,,,,,,,,,,
Honduras,96,96,96,96,96,96,96,96,95,95,95,95,95,95,95,95,95,95,95,95,95
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,
Hungary,98,98,98,99,99,99,99,99,99,99,100,100,100,100,100,100,100,100,100,100,100
Iceland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
India,88,89,89,90,90,90,91,91,92,92,93,93,93,94,94,95,95,96,96,96,97
Indonesia,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,92,92,92
Iran,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,97,97,97,97,97,97
Iraq,97,97,97,97,97,97,96,96,96,95,95,94,94,93,93,93,92,92,91,91,91
Ireland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Isle of Man,,,,,,,,,,,,,,,,,,,,,
Israel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Italy,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Jamaica,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Japan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Jersey,,,,,,,,,,,,,,,,,,,,,
Jordan,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Kazakhstan,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Kenya,92,92,91,91,90,89,89,88,88,87,87,86,86,85,85,84,84,83,83,82,82
Kiribati,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,,,,
North Korea,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,99,99,99,99,99,99
South Korea,97,97,97,97,97,97,97,97,98,98,98,98,98,99,99,99,99,100,100,100,100
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,
Kuwait,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Kyrgyz Republic,98,98,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99
Lao,,,,,75,75,75,75,75,75,75,75,75,75,76,76,76,76,76,76,77
Latvia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Lebanon,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Lesotho,95,95,95,95,95,95,95,94,94,94,94,93,93,93,93,92,92,92,92,91,91
Liberia,,,,,71,71,71,71,71,72,74,75,77,78,79,81,82,84,85,87,88
Libya,54,54,54,54,54,54,54,54,54,54,54,54,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,
Lithuania,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Luxembourg,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Macao, China",,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Madagascar,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,74
