Life expectancy with projections. Yellow is IHME,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,28.211,28.20075333,28.19050667,28.18026,28.17001333,28.15976667,28.14952,28.13927333,28.12902667,28.11878,28.10853333,28.09828667,28.08804,28.07779333,28.06754667,28.0573,28.04705333,28.03680667,28.02656,28.01631333,28.00606667,27.99582,27.98557333,27.97532667,27.96508,27.95483333,27.94458667,27.93434,27.92409333,27.91384667,27.9036,27.89335333,27.88310667,27.87286,27.86261333,27.85236667,27.84212,27.83187333,27.82162667,27.81138,27.80113333,27.79088667,27.78064,27.77039333,27.76014667,27.7499,27.73965333,27.72940667,27.71916,27.70891333,27.69866667,27.68842,27.67817333,27.66792667,27.65768,27.64743333,27.63718667,27.62694,27.61669333,27.60644667,27.5962,27.58595333,27.57570667,27.56546,27.55521333,27.54496667,27.53472,27.52447333,27.51422667,27.50398,27.49373333,27.48348667,27.47324,27.46299333,27.45274667,27.4425,27.43225333,27.42200667,27.41176,27.40151333,27.39126667,27.38102,27.37077333,27.36052667,27.35028,27.34003333,27.32978667,27.31954,27.30929333,27.29904667,27.2888,27.27855333,27.26830667,27.25806,27.24781333,27.23756667,27.22732,27.21707333,27.20682667,27.19658,27.18633333,27.17608667,27.16584,27.15559333,27.14534667,27.1351,27.12485333,27.11460667,27.10436,27.09411333,27.08386667,27.07362,27.06337333,27.05312667,27.04288,27.03263333,27.02238667,27.01214,7.04506271,26.99164667,26.9814,26.97115333,26.96090667,26.95066,26.94041333,26.93016667,26.91992,26.90967333,26.89942667,26.88918,26.87893333,26.86868667,26.85844,26.84819333,26.83794667,26.8277,26.81745333,26.80720667,26.79696,26.78671333,26.77646667,26.76622,26.75597333,26.74572667,26.73548,26.72523333,26.71498667,26.70474,26.69449333,26.68424667,26.674,26.932,27.448,27.964,28.48,28.995,29.511,30.027,30.543,31.059,31.575,32.091,32.608,33.124,33.639,34.152,34.662,35.17,35.674,36.172,36.663,37.143,37.614,38.075,38.529,38.977,39.417,39.855,40.298,40.756,41.242,50.3,50.2,50.4,50.5,50.1,50.4,50.6,50.7,50,50.8,51,51.1,51.6,52.1,52.5,52.9,53.2,53.6,54,54.5,54.8,55.2,55.5,56.2
Albania,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,19.42793192,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,36.29480952,37.18961905,38.08442857,38.9792381,39.87404762,40.76885714,41.66366667,42.55847619,43.45328571,43,42,41.5,40,37,34,47,50,51.50657143,52.40138095,53.29619048,54.191,54.399,54.876,55.471,56.184,57.012,57.947,58.976,60.073,61.196,62.293,63.313,64.202,64.926,65.475,65.863,66.122,66.316,66.5,66.702,66.948,67.251,67.595,67.966,68.356,68.748,69.121,69.459,69.753,70.001,70.218,73.5,73.4,73.4,73.4,73.6,73.8,73.9,73.9,73.8,74,74.2,74.4,74.5,74.4,74.4,74.4,74.5,74.7,74.9,75,75.2,75.5,75.7,75.8
Algeria,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,20,15,22,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,21,11,15,22,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.8224,28.86266667,28.90293333,28.9432,29.8596,24.1164,26.6992,28.025,27.93,27.835,29.2584,30.7878,30.508,31.79,29.664,29.1606,28.6572,28.28783692,28.28783692,22.05666781,28.28783692,27.5,27.5,27.216,29.624,30.968,31.64,30.968,26.488,29.792,29.96,31.136,29.176,30.397,31.521,30.935,32.596,33.696,31.919,31.297,33.36,33.72,32.09424196,31.45652951,27.18079998,32.09424196,30,32,35,37.8,39.9445,42.089,42.283,42.678,43.081,43.493,43.914,44.345,44.783,45.229,45.681,46.136,46.594,47.051,47.505,47.953,48.389,48.806,49.205,49.592,49.976,50.366,50.767,51.195,51.67,52.213,52.861,53.656,54.605,55.697,56.907,58.198,70.5,70.8,71.1,71.3,71.5,71.7,72.1,72.4,72.9,73,73.2,73.4,73.6,73.7,74.2,74.5,74.8,75,75.3,75.6,75.9,76.1,76.2,76.3
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.7,80.8,81,81.2,81.4,81.6,81.8,82.1,82.3,82.5,82.7,82.9,83,83.1,83,83.1,83.2,83.4,83.5,83.6,83.7,83.8,83.8,83.9
Angola,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,10.43427281,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,27.2029,27.4258,27.6487,27.8716,28.0945,28.3174,28.5403,28.7632,28.9861,29.209,29.407,29.804,30.201,30.599,30.997,31.396,31.796,32.196,32.597,32.998,33.399,33.801,34.203,34.604,35.007,35.41,35.816,36.222,36.627,37.032,37.439,37.846,38.247,38.635,38.998,39.324,39.605,39.84,40.029,40.182,50.3,50.7,50.7,49.6,50.5,50.9,51,51.2,51.6,51.9,52.6,53,53.8,54.5,55.2,56,56.9,57.6,58.3,58.9,59.4,59.7,60.1,60.4
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,33.536,21.7501213,33.536,33.536,33.536,34.36358621,35.19117241,36.01875862,36.84634483,37.67393103,38.50151724,39.32910345,40.15668966,40.98427586,41.81186207,42.63944828,43.46703448,44.29462069,45.1222069,45.9497931,46.77737931,47.60496552,48.43255172,49.26013793,50.08772414,50.91531034,51.74289655,52.57048276,53.39806897,54.22565517,55.05324138,55.88082759,56.70841379,57.536,57.786,58.284,58.779,59.271,59.759,60.243,60.722,61.196,61.661,62.114,62.555,62.979,63.386,63.775,64.149,64.511,64.865,65.213,65.558,65.898,66.232,66.558,66.875,67.181,67.479,67.768,68.051,68.328,68.602,68.873,72.4,72.3,72.1,72.1,72.2,72.2,72.6,72.9,73.2,73.6,73.9,74.1,74.2,74.3,74.3,74.3,74.4,74.6,74.8,75.1,75.2,75.2,75.2,75.2
Argentina,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.18,33.16,33.14,33.12,33.1,33,32.9,32.8,32.7,32.6,32.88,33.16,33.44,33.72,34,33.86,33.72,33.58,33.44,33.3,34,34.7,35.4,36.1,36.8,37.38,37.96,38.54,39.12,39.7,40.46,41.22,41.98,42.74,43.5,44.04,44.58,45.12,45.66,46.2,47,47.8,41.76362058,49.4,50.2,50.68,51.16,51.64,52.12,52.6,52.94,53.28,53.62,53.96,54.3,54.3,54.3,54.3,54.3,54.3,55.26,56.22,57.18,58.14,59.1,59.68,60.26,60.84,61.42,62,61.8836,61.7672,61.6508,61.5344,61.418,61.728,62.32,62.855,63.331,63.749,64.11,64.414,64.665,64.866,65.022,65.142,65.234,65.311,65.388,65.481,65.603,65.759,65.953,66.184,66.449,66.74,67.044,67.349,67.652,67.95,68.248,68.549,68.856,69.164,69.464,72.6,72.7,72.8,73.1,73.4,73.5,73.5,73.6,73.7,74,74.3,74.4,74.3,74.5,75,75.4,75.5,75.4,75.5,75.6,75.8,75.9,75.9,76
