Total 10-14 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,11.67014358,11.90503238,12.32577491,11.76969469,11.90978968,12.08073835,12.26070123,12.35662572,12.39367199,12.53041363,12.66981546,12.91573148,13.08215414,12.89239305,12.4343169,12.4041006,12.36944461,12.18868459,11.78264708,11.2123747,10.62120454
Albania,12.02635914,11.08695652,10.4283054,11.3964687,12.76894294,12.78633903,11.14852226,10.71670047,10.24316109,10.05426109,10.59322034,10.1318752,8.993373304,6.689168457,6.588799042,6.917868708,7.023705004,6.631455399,5.884092253,5.402985075,5.389040266
Algeria,11.43477268,11.31356805,11.63070655,12.02717437,12.94006401,13.13522287,12.95587453,12.67140336,12.88663872,13.30927616,12.36886966,10.91866553,8.427680059,8.214970201,8.395067805,8.365010144,7.950454982,7.197059777,6.453647257,6.034606622,5.942470116
Angola,11.26386879,11.14544251,10.94030745,11.80530331,12.11573237,12.40458015,12.37585943,12.22674668,12.50117228,12.63460158,12.91497409,13.02202431,12.626369,12.83540802,12.15262191,12.14694413,11.90530988,11.46878275,10.88785047,10.31433436,9.832962665
Argentina,9.206460265,9.095699831,9.374395668,9.490782173,9.360939843,8.99584807,8.69148256,9.0876009,10.12432299,9.266076153,9.039226833,8.845627534,8.370629027,7.791383646,7.662964969,7.431946473,7.10219457,6.737324904,6.380137194,6.054819589,5.96953398
Armenia,14.12721893,7.2296865,8.511777302,11.29251701,13.38363781,12.87584011,9.909619109,9.137207909,8.972911964,9.838609559,10.59473513,8.820646847,6.211582012,6.52866242,7.052896725,7.225887527,6.719242902,5.970149254,5.578711125,5.553751218,5.701027511
Aruba,10.81081081,11.62790698,12,13.46153846,12.06896552,11.86440678,10,6.153846154,7.936507937,7.5,6.741573034,8.080808081,7.407407407,6.363636364,5.357142857,5.309734513,5.309734513,6.25,5.454545455,5.454545455,5.660377358
Australia,7.141988076,8.043478261,9.535856768,9.389915821,9.491631964,9.277745156,8.654827516,8.531105626,7.254856073,7.147982558,6.969222744,6.870004413,6.387429687,6.055914359,6.082365364,5.98712707,5.897715756,5.822899382,5.705914668,5.600342441,5.566385853
Austria,7.237600923,7.980409104,7.158074137,6.684087471,7.686127477,8.564264978,8.163265306,6.626984127,5.747426039,6.074354127,5.895578316,5.940233236,5.222990699,4.937396645,4.696100246,4.627906977,4.712830014,4.75749508,4.72541507,4.655232762,4.66236054
Azerbaijan,13.98963731,7.187969925,7.648870637,10.29733275,13.66976025,14.41378098,12.09023044,10.1814365,9.846068506,10.45869202,11.56546373,10.48272598,7.702642185,7.012518566,7.920691408,8.056076612,7.419604804,6.458393045,5.846182953,5.766512767,5.937411364
Bahamas,11.39240506,11.36363636,11.11111111,10.56338028,12.28070175,12.6984127,12.85714286,12.01716738,10.27667984,10.3202847,9.210526316,9.567901235,8.985507246,7.629427793,7.291666667,6.965174129,6.730769231,6.496519722,6.136363636,6.013363029,5.701754386
Bahrain,11.30434783,11.11111111,11.46496815,12.56544503,13.3640553,13.09090909,10.37463977,9.200968523,9.146341463,9.169550173,8.588957055,9.203296703,8.529048208,8.059023837,7.255520505,6.758080313,6.267281106,5.856643357,5.759599332,5.640612409,5.485893417
Bangladesh,11.20082578,10.95743363,10.94610071,12.15125057,12.20619272,12.3317478,12.42878478,12.72732569,13.10104469,12.97175335,12.04756797,11.08970508,10.48636748,9.737013321,8.60150149,8.15334441,7.794700194,7.372898714,6.886847653,6.416532704,6.124182566
