Total above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,4.503620076,4.384868795,4.254212607,4.146249529,4.071289805,4.006903279,3.979350398,3.937200033,3.895381191,3.843176288,3.783415299,3.73801265,3.805467784,3.778653818,3.814672595,3.92492606,4.124464451,4.414213342,4.799743158,5.305331748,5.949659846
Albania,10.13179572,8.623188406,7.510862818,6.795077582,6.641721235,6.87213661,7.669285447,7.437457742,7.811550152,9.415895308,10.9517601,12.31907366,13.66361628,15.25007671,17.64001198,19.78216073,21.53936201,22.68192488,23.77291543,26,29.06448683
Algeria,6.808316198,6.423718345,5.85239374,5.091000587,6.27000291,6.080659258,5.901116427,5.480381952,5.454473538,5.826788368,6.261473905,6.453183977,6.891781247,7.9603035,9.202333194,11.0678389,13.26938985,15.68911469,18.46752155,21.62605965,24.30808926
Angola,4.944524843,4.700949018,4.571770813,4.540501271,4.504356403,4.506752789,4.456327986,4.350621517,4.220200694,4.075935232,3.9781482,3.929474064,3.943765796,4.140156754,4.399102224,4.734137541,5.11260891,5.527773619,6.102253986,6.84827078,7.79349832
Argentina,7.043321089,8.047006745,9.031135177,9.991945588,10.97317114,11.73689067,12.13681892,12.71007013,13.24778434,13.53675371,13.72533095,14.10498051,14.73220872,15.54751216,16.43418202,17.3332171,18.2951347,19.64381637,21.69206176,23.33412897,24.94209101
Armenia,12.20414201,10.23672425,8.618843683,8.20861678,8.339952343,8.348072161,7.682375726,8.058717795,10.01693002,12.50775916,15.14462138,14.37438746,14.49369136,16.17834395,19.11209068,21.70907948,22.39747634,22.70562083,23.75761462,26.30724261,29.73152138
Aruba,0,2.325581395,4,3.846153846,6.896551724,6.779661017,10,9.230769231,9.523809524,10,11.23595506,11.11111111,13.88888889,16.36363636,21.42857143,24.77876106,28.31858407,29.46428571,30,30,28.30188679
Australia,12.45893661,12.44565217,12.25065681,12.21036188,12.24169089,12.79359953,13.6354358,14.82184672,15.52773227,16.01258487,16.66145018,17.56975433,19.52024546,21.37927984,23.32840549,25.19127232,26.54556794,27.79453915,28.36476836,28.98266391,29.52725754
Austria,15.44117647,16.69547681,18.1792359,19.44711869,20.08569898,20.28239641,19.10946197,19.8015873,20.17463834,19.7731569,20.60954284,21.95092323,23.07417124,24.41530829,26.63075302,29.69767442,32.46873553,33.90438708,34.50597933,35.34010034,35.80739871
Azerbaijan,11.0880829,10.01503759,8.829568789,8.198513336,8.081979892,7.874846194,7.124310289,7.152496626,7.349882125,8.081716562,8.929671142,8.920965452,8.68786386,10.00424358,12.65887138,15.87520979,17.95815575,19.34651763,20.47110018,22.41590502,25.21508934
Bahamas,6.329113924,6.818181818,5.555555556,5.633802817,5.263157895,5.82010582,5.714285714,6.008583691,5.928853755,7.117437722,7.894736842,8.950617284,9.855072464,11.71662125,14.0625,16.66666667,18.99038462,21.34570766,22.95454545,24.94432071,26.31578947
Bahrain,4.347826087,4.444444444,4.458598726,3.141361257,3.225806452,4,3.458213256,3.631961259,3.658536585,3.806228374,4.447852761,3.846153846,3.708281829,4.653802497,6.624605678,9.696376102,13.5483871,17.22027972,20.20033389,22.32070911,24.29467085
Bangladesh,5.383644913,5.443623302,5.3640696,5.286220705,5.172164561,4.946361704,4.74915648,4.774203571,4.893973986,5.034898428,5.299537534,5.657506335,6.177967803,7.117990161,8.231248888,9.594281378,11.26885319,13.37344175,15.94377212,18.70039027,21.20542035
Barbados,8.530805687,9.292035398,9.913793103,11.01694915,11.76470588,13.82113821,14.11290323,13.33333333,13.51351351,13.12741313,13.43873518,13.88888889,15.625,18.21705426,22.22222222,25.95419847,29.61538462,32.28346457,33.73015873,34.69387755,35.71428571
Belarus,12.56456612,12.20043573,11.73812141,12.338794,13.18438226,14.22165279,13.73848224,14.58,16.52046784,17.7753969,19.02536052,18.09756594,18.29649708,19.59170586,22.04784899,24.36158192,25.63353965,27.38830367,29.35398564,32.12925259,35.03298516
