"0-4 years, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,1433000,1492000,1662000,1871000,2128000,2423000,2560000,2293000,2377000,3463000,3928000,4554000,5166000,5972000,6735000,7338000,7766000,8023000,8190000,8325000,8432000
Albania,173000,219000,280000,316000,322000,336000,344000,361000,389000,331000,290000,222000,223000,237000,243000,228000,202000,184000,181000,182000,177000
Algeria,1390000,1627000,1960000,2326000,2674000,3005000,3359000,3841000,3837000,3637000,3019000,3156000,3436000,3608000,3573000,3343000,3081000,2950000,2958000,3037000,3030000
Angola,703000,833000,945000,1057000,1167000,1296000,1530000,1839000,2114000,2470000,2665000,3065000,3243000,3607000,3879000,4065000,4169000,4240000,4312000,4376000,4404000
Argentina,1947000,2139000,2266000,2348000,2456000,2768000,3297000,3225000,3342000,3452000,3430000,3321000,3401000,3414000,3360000,3264000,3155000,3045000,3042000,3020000,2972000
Armenia,150000,235000,317000,346000,292000,301000,331000,378000,389000,289000,197000,209000,227000,233000,216000,191000,176000,173000,174000,171000,161000
Aruba,7000,8000,8000,8000,7000,6000,5000,7000,6000,7000,7000,6000,6000,6000,6000,7000,6000,6000,6000,6000,6000
Australia,885000,985000,1092000,1184000,1208000,1254000,1132000,1196000,1260000,1299000,1275000,1285000,1356000,1394000,1429000,1459000,1473000,1486000,1514000,1552000,1586000
Austria,516000,485000,566000,640000,610000,501000,431000,450000,438000,459000,413000,398000,386000,384000,392000,396000,393000,384000,382000,388000,400000
Azerbaijan,300000,485000,724000,836000,753000,699000,706000,808000,942000,899000,699000,669000,786000,823000,772000,682000,622000,617000,632000,624000,590000
Bahamas,12000,14000,19000,26000,27000,27000,26000,29000,28000,31000,31000,28000,28000,28000,28000,28000,27000,27000,26000,26000,26000
Bahrain,20000,24000,28000,40000,38000,41000,44000,49000,58000,67000,62000,68000,70000,70000,68000,68000,70000,71000,71000,70000,70000
Bangladesh,6742000,8342000,9416000,10758000,12346000,14284000,16273000,17627000,17778000,17611000,17708000,17446000,16282000,16183000,16087000,15700000,15034000,14281000,13808000,13607000,13315000
Barbados,26000,31000,32000,33000,26000,22000,21000,21000,20000,18000,15000,14000,14000,14000,14000,13000,12000,12000,12000,12000,11000
Belarus,659000,812000,970000,913000,748000,747000,745000,813000,807000,611000,473000,457000,479000,462000,426000,384000,346000,330000,330000,328000,315000
Belgium,693000,694000,750000,779000,718000,653000,600000,592000,587000,600000,570000,565000,605000,604000,612000,608000,600000,595000,599000,606000,610000
Belize,11000,16000,18000,19000,22000,24000,24000,29000,32000,35000,36000,36000,36000,37000,37000,36000,35000,33000,32000,33000,32000
Benin,281000,305000,350000,410000,477000,550000,646000,755000,875000,1024000,1169000,1332000,1528000,1691000,1802000,1886000,1957000,2024000,2076000,2103000,2110000
Bhutan,30000,33000,39000,45000,52000,62000,73000,82000,92000,81000,72000,73000,69000,73000,74000,70000,64000,62000,63000,63000,62000
Bolivia,458000,512000,575000,638000,717000,817000,865000,940000,1038000,1157000,1190000,1239000,1243000,1237000,1216000,1186000,1147000,1100000,1052000,1007000,967000
Bosnia and Herzegovina,385000,445000,455000,464000,387000,368000,334000,355000,341000,205000,217000,182000,170000,166000,159000,148000,137000,127000,121000,118000,116000
Botswana,62000,87000,100000,113000,130000,153000,185000,211000,220000,221000,220000,214000,226000,234000,234000,230000,223000,220000,220000,218000,212000
Brazil,8984000,10868000,12544000,14437000,14732000,15425000,17037000,18509000,17689000,16747000,17433000,17310000,15228000,13810000,13071000,12299000,11655000,11297000,10882000,10806000,10476000
Brunei,7000,13000,16000,19000,21000,25000,29000,31000,34000,37000,38000,36000,37000,37000,38000,39000,40000,41000,41000,41000,42000
Bulgaria,733000,697000,659000,642000,646000,672000,677000,588000,557000,419000,335000,333000,358000,350000,321000,288000,263000,259000,264000,264000,251000
Burkina Faso,659000,692000,783000,879000,991000,1108000,1283000,1471000,1676000,1914000,2174000,2515000,3187000,3428000,3602000,3759000,3946000,4132000,4248000,4275000,4256000
Burundi,402000,490000,523000,563000,612000,646000,731000,904000,1076000,1089000,1058000,1085000,1211000,1320000,1350000,1309000,1260000,1247000,1272000,1290000,1271000
Cambodia,725000,809000,920000,1050000,1194000,1098000,969000,1670000,1795000,1933000,1742000,1573000,1670000,1808000,1884000,1836000,1737000,1683000,1687000,1695000,1657000
Cameroon,708000,799000,886000,1027000,1194000,1403000,1651000,1929000,2179000,2389000,2505000,2823000,3118000,3236000,3251000,3257000,3299000,3356000,3380000,3352000,3295000
Canada,1636000,1944000,2236000,2265000,1852000,1769000,1792000,1847000,1931000,1984000,1759000,1708000,1796000,1900000,2014000,2095000,2116000,2121000,2166000,2232000,2317000
Cape Verde,15000,25000,38000,40000,42000,45000,49000,57000,64000,65000,63000,62000,58000,59000,60000,58000,55000,52000,49000,47000,44000
Central African Rep.,190000,211000,239000,269000,302000,338000,382000,447000,500000,544000,608000,645000,662000,685000,699000,706000,712000,707000,700000,692000,683000
Chad,365000,443000,494000,553000,626000,738000,850000,973000,1137000,1322000,1560000,1855000,2063000,2269000,2466000,2647000,2780000,2865000,2925000,2979000,3023000
Channel Islands,9000,8000,8000,8000,9000,7000,7000,7000,8000,8000,8000,8000,7000,7000,7000,7000,7000,7000,7000,6000,6000
Chile,867000,1002000,1216000,1352000,1291000,1263000,1178000,1323000,1459000,1488000,1328000,1237000,1248000,1260000,1248000,1235000,1202000,1168000,1146000,1135000,1123000
China,74576000,98675000,91730000,110285000,130117000,124171000,98041000,104146000,125165000,107503000,95371000,87458000,87873000,91733000,89708000,81884000,75702000,73474000,73722000,73024000,70047000
Colombia,2152000,2587000,2947000,3385000,3679000,3589000,3906000,4096000,4262000,4442000,4442000,4445000,4502000,4447000,4396000,4314000,4206000,4082000,3940000,3837000,3780000
Comoros,22000,31000,35000,39000,43000,50000,63000,76000,72000,74000,80000,90000,101000,102000,99000,97000,99000,103000,104000,101000,98000
"Congo, Dem. Rep.",2170000,2401000,2743000,3157000,3699000,4330000,5095000,6063000,7303000,8963000,9905000,11302000,12155000,13241000,14152000,14670000,14859000,14867000,14809000,14641000,14289000
"Congo, Rep.",129000,147000,170000,200000,237000,278000,326000,368000,407000,450000,473000,531000,559000,576000,596000,599000,598000,598000,595000,590000,580000
Costa Rica,155000,207000,249000,293000,285000,279000,318000,367000,411000,404000,397000,393000,370000,388000,379000,376000,368000,362000,358000,355000,352000
Cote d'Ivoire,431000,516000,638000,803000,1009000,1297000,1655000,1945000,2183000,2444000,2701000,3004000,3218000,3410000,3531000,3622000,3703000,3765000,3797000,3794000,3763000
Croatia,389000,388000,352000,345000,296000,308000,316000,320000,290000,264000,234000,208000,210000,213000,207000,199000,189000,183000,182000,185000,185000
Cuba,776000,892000,890000,1231000,1223000,1135000,803000,786000,876000,770000,714000,669000,580000,556000,537000,508000,473000,438000,411000,387000,366000
Cyprus,67000,65000,75000,70000,59000,47000,57000,62000,62000,61000,53000,48000,50000,54000,57000,59000,58000,57000,58000,61000,64000
Czech Rep.,888000,846000,721000,691000,690000,847000,878000,695000,647000,593000,443000,468000,548000,564000,536000,500000,471000,473000,505000,535000,539000
Denmark,416000,375000,368000,392000,388000,362000,314000,265000,291000,339000,337000,325000,315000,297000,298000,310000,316000,312000,302000,293000,290000
