Female 40-59 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,14.34384537,14.06360424,13.83851468,13.5838716,13.36025281,13.14722396,12.95468098,12.73249915,12.65279154,12.19288175,11.86218046,11.70744095,11.71106995,11.9285498,12.233569,12.69702277,13.36279203,14.28309296,15.41428381,16.5937405,17.69941226
Albania,14.45182724,15.05847953,14.26783479,13.80798274,14.28571429,14.64646465,15.86687307,16.46894627,15.97005614,17.74919614,20.02592353,22.40611076,24.14436839,24.48609432,23.77869335,24.37897169,25.77319588,27.69495413,28.73629544,26.79091439,24.52718676
Algeria,14.43563433,13.70378107,13.27120224,12.5421443,12.42527754,12.91276491,13.08151942,12.34983618,12.2917497,13.03012994,14.37078206,16.79572271,19.18253335,21.26080271,23.69571698,26.17882353,27.95078643,28.67026368,27.37602433,25.59585066,24.56621742
Angola,15.23899669,15.02815071,14.68285043,14.21952958,13.81090674,13.35448515,12.8256513,12.26514672,11.66143042,11.55478698,11.72328086,11.98813056,12.38836968,12.59205382,12.97875764,13.59683794,14.59589085,15.90037183,17.12351029,18.54002904,19.67014536
Argentina,19.65165165,20.66000215,21.29783694,21.88540074,22.27492095,22.00244387,21.21658598,20.5345502,20.12708018,20.17628115,20.54539656,21.00116532,21.19032678,21.66851237,23.04112746,24.03644608,25.04669794,25.72573788,25.43870073,25.19541124,25.00383259
Armenia,16.71348315,17.91411043,15.92554292,14.47484554,16.39471639,17.76088459,20.9697733,19.58944282,18.31140351,19.7640118,21.7791411,26.66666667,27.77440873,26.40382318,24.80757845,24.95554238,27.92632204,29.69406119,28.0584297,25.44780729,22.83364959
Aruba,16.66666667,14.28571429,16.66666667,15.38461538,13.79310345,17.24137931,19.35483871,21.21212121,24.24242424,25.64102564,28.26086957,32.69230769,33.92857143,33.33333333,30.35714286,26.31578947,22.03389831,23.21428571,24.56140351,24.13793103,25
Australia,22.92587138,22.61328641,22.38835333,22.63424873,22.22046246,20.96964338,20.45948885,20.3006569,21.65188987,23.69605798,25.89794017,27.34093345,27.30214497,27.18472234,26.16225305,25.29004189,24.81780121,24.33445819,24.21727101,23.82978723,23.57869954
Austria,28.89426957,29.37062937,26.66843924,25.88569951,24.10736895,22.39179385,23.43043697,23.01687232,23.21741306,23.95909423,25.53242982,27.22760577,29.16375495,29.93291696,28.91954023,27.37877402,25.81527936,25.32482334,25.00571429,24.11021814,23.19778189
Azerbaijan,18.86422977,19.93146773,17.33990148,15.12463033,15.25169046,16.15780446,18.94969946,17.44084137,15.9967409,15.73259613,17.59481517,22.66543694,26.21657168,26.89741451,26.11656319,25.68646543,27.07815784,28.63336475,28.18741833,26.46457132,24.95330594
Bahamas,16.66666667,17.0212766,14.28571429,15.27777778,14.11764706,13.68421053,14.1509434,15.12605042,16.27906977,17.48251748,19.35483871,21.81818182,24.29378531,26.06382979,25.6281407,25.83732057,26.04651163,26.4573991,26.95652174,26.27118644,25.94142259
Bahrain,12.96296296,12.90322581,12.32876712,11.34020619,11.76470588,11.38211382,12.4137931,11.30952381,11.76470588,13.2231405,15.4676259,16.77419355,17.6300578,21.63588391,24.93946731,27.13004484,27.19665272,27.55905512,27.34082397,27.14285714,26.63230241
Bangladesh,15.26917934,14.61895295,13.97136693,13.61765418,13.22831313,12.8058385,12.44358331,12.36596574,12.48897357,13.33132329,14.44035007,15.8317799,17.74489181,19.88211002,22.37747018,24.82833506,26.66977168,27.74527173,28.12974504,27.93099049,27.25192689
Barbados,20.1754386,20.83333333,19.23076923,18.25396825,18.8976378,17.96875,16.15384615,16.03053435,17.91044776,20.30075188,24.80620155,28.78787879,30.82706767,31.81818182,29.10447761,27.6119403,27.06766917,25.95419847,25.58139535,23.62204724,22.13114754
Belarus,22.27619709,23.86574074,22.23953695,21.92307692,23.49089421,24.51369591,27.34299517,24.92036725,22.85819116,23.18281938,24.65394688,27.99618321,29.01968427,29.39768648,28.87525562,29.58131706,31.49435274,31.15713643,29.24373683,26.33895818,23.76313766
