Female above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,4.679552391,4.593639576,4.468911917,4.384419652,4.301264045,4.257641921,4.218843172,4.176530267,4.096465147,4.052812859,3.970900273,3.919410819,3.974925203,3.960036331,3.995810422,4.106369251,4.324700299,4.635032478,5.030589174,5.554542692,6.2188637
Albania,10.29900332,8.771929825,8.010012516,7.335490831,7.000946074,7.323232323,8.591331269,8.304256804,8.92077355,10.22508039,11.73039533,13.17632081,14.62352209,16.32406288,18.9523249,21.49046794,23.71134021,25.40137615,27.06289671,29.64472918,32.56501182
Algeria,7.089552239,6.768330896,6.113699907,5.175320297,6.660973527,6.505667817,6.274007682,5.91554423,5.930649661,6.297301157,6.821490009,7.055063913,7.576103067,8.605058056,9.818145682,11.71764706,14.01144711,16.59124532,19.52352792,22.83785453,25.65571786
Angola,5.442498817,5.110437419,4.972592013,4.989308624,4.96934495,4.903374676,4.834669339,4.728731265,4.58325633,4.43326521,4.322010494,4.24925816,4.267912773,4.500409128,4.771483746,5.138339921,5.541512736,5.967066045,6.543878657,7.299854804,8.292955647
Argentina,7.147147147,8.083413952,9.151414309,10.29954124,11.56598436,12.6470139,13.35157511,14.15906128,14.92284418,15.42460026,15.75590049,16.19293712,16.81710672,17.64488741,18.54281156,19.48068614,20.49313021,21.91586704,24.04040404,25.76317325,27.45669171
Armenia,13.06179775,10.67484663,9.203722854,9.179170344,9.634809635,9.813407049,9.256926952,9.736070381,11.51315789,13.86430678,16.62576687,16.14678899,16.43420255,18.57825568,22.14328005,25.37048014,26.5597148,27.29454109,28.78880097,31.62445954,34.78810879
Aruba,0,0,0,3.846153846,6.896551724,6.896551724,9.677419355,12.12121212,12.12121212,10.25641026,10.86956522,11.53846154,16.07142857,19.29824561,23.21428571,28.07017544,33.89830508,32.14285714,33.33333333,34.48275862,32.14285714
Australia,13.32842415,13.72635284,13.75172142,13.71348609,13.77890402,14.38255231,15.32082654,16.57402729,17.17218852,17.57988361,18.02090881,18.75669882,20.64534024,22.56446361,24.60697772,26.60328714,28.11288572,29.51631046,30.16601136,30.80851064,31.35516931
Austria,16.65321496,18.42388381,20.31374634,21.92914404,23.06913143,23.74280711,22.85283777,24.02417527,24.21816362,23.42342342,23.8625363,24.7931931,25.62310738,26.76382142,28.8045977,31.72461116,34.43557583,35.99270572,36.68571429,37.54305396,38.05452865
Azerbaijan,11.5535248,10.62250143,9.704433498,9.632446134,9.842223892,9.811320755,9.11104081,9.144025708,8.745247148,9.223422971,10.03360538,10.05303205,9.842174485,11.25938282,14.11976767,17.70204479,20.44716224,22.24316682,23.70729886,25.70206435,28.44602167
Bahamas,7.142857143,6.382978723,5.357142857,5.555555556,5.882352941,6.315789474,5.660377358,6.722689076,6.976744186,7.692307692,8.387096774,9.696969697,11.29943503,12.76595745,15.57788945,18.66028708,20.93023256,22.86995516,24.7826087,26.69491525,28.0334728
Bahrain,5.555555556,4.838709677,4.109589041,3.092783505,3.921568627,4.06504065,3.448275862,4.166666667,3.431372549,4.545454545,5.395683453,4.516129032,4.046242775,4.485488127,6.295399516,8.295964126,11.92468619,15.35433071,18.53932584,21.25,23.5395189
Bangladesh,4.982417909,5.138060526,5.134340067,5.053439867,4.946633205,4.798907907,4.645543652,4.682992818,4.803994213,4.998651158,5.291340396,5.817104933,6.438597139,7.435604619,8.615173675,10.06618407,11.86776597,14.14029208,16.91864852,19.88170318,22.58432108
Barbados,11.40350877,11.66666667,12.30769231,12.6984127,14.17322835,15.625,15.38461538,15.26717557,14.92537313,15.03759398,14.72868217,15.90909091,18.04511278,20.45454545,25.37313433,29.10447761,31.57894737,33.58778626,35.65891473,38.58267717,38.52459016
Belarus,14.13370345,13.81944444,13.55743544,14.63675214,15.85839984,17.52679635,17.37198068,18.58722129,20.49165291,21.7143906,23.10138421,22.21374046,22.45176379,23.8133227,26.46216769,29.01325479,30.60382276,32.64295362,34.72254741,37.53974077,40.34862856
