Male 5-9 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,13.38228328,13.98202937,13.47503509,13.73297003,13.99739583,14.28158427,14.48113859,14.60163112,14.81765247,14.98506826,15.17714501,15.2670553,15.02851837,14.44525918,14.31987896,14.14145755,13.77112985,13.15960689,12.39020454,11.62962332,10.95524732
Albania,12.80788177,12.23021583,13.34981459,14.78352693,14.72222222,13.25102881,11.90130624,11.65684348,10.90693539,11.41407736,10.74705111,9.604153147,7.225063939,7.10723192,7.43902439,7.5030012,7.01018574,6.25,5.703883495,5.698529412,5.838509317
Algeria,12.5,13.11142683,14.13063477,15.39489063,16.63195478,16.21313758,15.24525903,15.07108152,15.18102568,13.60639641,11.96725572,9.237819585,8.976008053,9.09185478,8.954787104,8.414239482,7.56433008,6.762330297,6.311207835,6.19037871,6.255034638
Angola,13.13976378,13.00044984,14.04151404,14.48684698,14.87935657,14.97310221,14.85122898,15.2405835,15.38461538,15.52282292,15.62944018,14.90478516,15.08809397,14.15076693,13.99834437,13.5610766,12.92281006,12.16651474,11.43542806,10.82210869,10.28068826
Argentina,9.821024014,10.20576983,10.28090961,10.16209476,9.861505089,9.628482972,10.03524926,11.20145142,10.23410115,9.933813624,9.664607237,9.112924454,8.457836158,8.278637474,7.985280589,7.593193229,7.165673832,6.771009112,6.412377958,6.302674973,6.185359572
Armenia,7.943925234,10.0536193,13.79310345,15.60747664,14.95934959,11.31254532,10.27170311,10.17780503,10.87209302,11.38743455,9.751037344,7.272727273,7.702984039,8.265027322,8.35016835,7.635632954,6.715916723,6.20782726,6.105834464,6.177076184,6.136680614
Aruba,18.75,15.78947368,17.39130435,14.81481481,14.81481481,10,6.451612903,6.666666667,9.375,7.5,9.090909091,8.163265306,6,5.769230769,5.660377358,5.882352941,5.660377358,5.882352941,5.660377358,5.660377358,6
Australia,8.687258687,10.34778875,10.0442563,10.16190148,10.02807236,9.284983185,9.08967021,7.672796449,7.594788121,7.356857523,7.297581493,6.780497434,6.395511921,6.403984702,6.282366924,6.167615948,6.066306137,5.926094544,5.800840274,5.756118567,5.748092138
Austria,8.853681267,8.054522924,7.474069555,8.526903852,9.326130225,8.740575258,7.146860987,6.161137441,6.454248366,6.192840345,6.248386264,5.498625344,5.157663163,4.898648649,4.797136038,4.868825337,4.892966361,4.844778928,4.742803209,4.744958482,4.867573372
Azerbaijan,8.14380044,9.390862944,13.09715513,16.47058824,16.71309192,13.87387387,11.47431621,11.01199631,11.92972513,12.61829653,11.49861006,8.744231236,8.165599268,9.047721874,9.023332645,8.174714486,7.033398821,6.315381635,6.156501726,6.263127745,6.161500191
