Male above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,4.381809569,4.22967346,4.090635653,3.923705722,3.857421875,3.78722174,3.730827691,3.701380176,3.692920625,3.647610922,3.618081007,3.576492831,3.641066454,3.615545152,3.650739421,3.751289103,3.937879193,4.208471732,4.584251529,5.072525476,5.697461398
Albania,9.688013136,8.057553957,7.045735476,6.441393875,6.203703704,6.33744856,6.676342525,6.745252128,6.757557795,8.560558022,10.41939712,11.61583387,12.72378517,14.02743142,16.15853659,18.06722689,19.29298981,19.83173077,20.3276699,22.18137255,25.34161491
Algeria,6.563620072,6.109194236,5.611775529,4.975788946,5.846474264,5.657511707,5.540841191,5.056685262,4.987041546,5.3724225,5.717255717,5.86710082,6.218891561,7.333818787,8.603618983,10.42995839,12.53771074,14.8049493,17.40604336,20.42169908,22.96600612
Angola,4.478346457,4.273504274,4.151404151,4.112634309,4.08847185,4.094441124,4.062095731,3.940779447,3.846153846,3.706701198,3.637396988,3.576660156,3.609183129,3.778526001,4.014900662,4.318249039,4.67676296,5.080522637,5.6423708,6.368374877,7.29116601
Argentina,6.943815134,7.992968669,8.895471049,9.672247952,10.3871183,10.82817337,10.89849651,11.20145142,11.5235353,11.57968723,11.62842012,11.93471966,12.55389552,13.37134097,14.24563017,15.11529746,16.01916602,17.2840027,19.24127089,20.79312732,22.30270836
Armenia,11.68224299,9.785522788,7.786429366,7.102803738,6.991869919,6.744017404,5.964214712,6.315144083,8.430232558,10.9947644,13.41632089,12.44755245,12.14434421,13.38797814,15.75757576,17.68251842,17.66286098,17.47638327,18.11397558,20.45298559,24.05857741
Aruba,0,0,0,3.703703704,3.703703704,6.666666667,9.677419355,10,9.375,7.5,11.36363636,12.24489796,12,15.38461538,20.75471698,21.56862745,26.41509434,25.49019608,28.30188679,28.30188679,24
Australia,11.58301158,11.20652641,10.7562055,10.71305546,10.72988147,11.18584588,11.93785773,13.05009512,13.87486794,14.42521083,15.27865405,16.37386498,18.38242169,20.17255181,22.03073266,23.75915378,24.97060898,26.06419303,26.53497457,27.12983564,27.68325982
Austria,14.01056229,14.7149938,15.64978646,16.61276095,16.71879443,16.41999441,14.882287,15.05436298,15.74074074,15.83485759,17.17015234,18.97025744,20.41065754,21.95945946,24.36754177,27.60576696,30.41637262,31.72624647,32.27937706,33.07236062,33.4526366
Azerbaijan,10.5649303,9.327411168,7.890499195,6.742081448,6.287306009,5.837837838,5.070046698,5.13688096,5.86568433,6.887486856,7.834217842,7.675491863,7.433668801,8.702224142,11.15011357,13.96513725,15.38310413,16.35025184,17.14614499,19.01852205,21.90968236
Bahamas,5.555555556,4.87804878,3.846153846,2.898550725,4.761904762,4.347826087,5.769230769,5.172413793,4.838709677,5.755395683,7.284768212,8.125,8.982035928,10.73446328,12.97297297,15.38461538,17.32673267,19.23076923,21.02803738,22.68518519,23.39449541
Bahrain,3.225806452,4.225352113,3.614457831,3.157894737,4.201680672,3.401360544,3.482587065,2.880658436,3.484320557,3.28358209,4,3.349282297,3.448275862,4.581673307,7.050092764,10.55363322,14.61412151,18.83830455,21.65413534,23.23529412,24.78386167
Bangladesh,5.72978978,5.711407316,5.571847507,5.499344201,5.376284519,5.083752503,4.852678859,4.857462587,4.982272812,5.071539443,5.306271303,5.499341783,5.923038986,6.808323167,7.85337519,9.128913481,10.67721061,12.61456803,14.97624802,17.52043398,19.8189923
Barbados,5.154639175,6.862745098,6.730769231,7.407407407,9.009009009,12.93103448,11.86440678,9.917355372,10.31746032,10.56910569,11.38211382,10.74380165,13.49206349,15.625,19.68503937,25,27.55905512,28.45528455,30.89430894,32.23140496,33.33333333
Belarus,10.59854015,10.19236291,9.496753247,9.607543323,9.975903614,10.35359371,9.589652096,9.952809953,12.04242928,13.3139776,14.38283408,13.34935547,13.493489,14.65775524,16.9587873,18.99536698,19.86872002,21.30503145,23.11256473,25.87968218,28.83362937
Belgium,14.6519285,14.96786042,15.70155902,16.23194654,16.52173913,16.54465593,15.47916667,16.38760988,17.48453608,18.47120843,19.16984159,19.3877551,20.95419847,22.66241081,24.74131559,26.89642597,28.45528455,29.36422414,29.64221825,29.73021261,29.71622345
Belize,6.060606061,5.128205128,6.52173913,5.454545455,5,6.060606061,5.555555556,4.938271605,5.376344086,5.454545455,4.761904762,4.929577465,5.696202532,6.32183908,6.417112299,9.31372549,10.18518519,12.71929825,14.28571429,16.73469388,18.7250996
Benin,10.47120419,8.935742972,8.216619981,7.463952502,6.985573273,6.363027461,5.691056911,5.074626866,4.504887378,4.176904177,4.063816978,4.145601618,4.149645238,4.384172395,4.75417816,5.295637199,5.916324435,6.590224693,7.347972973,8.139873725,9.070417456
Bhutan,3.448275862,3.96039604,3.539823009,3.875968992,4.635761589,3.825136612,4.545454545,4.489795918,5.357142857,5.836575875,6.666666667,6.451612903,7.219251337,7.579462103,8.604651163,9.576837416,11.15879828,12.83643892,15.58704453,19.76284585,22.37354086
Bolivia,5.247597931,5.090421969,5.180722892,5.189189189,5.242905243,5.204778157,5.149564559,5.261371351,5.540417802,5.730427764,5.896568391,6.097027972,6.534772182,7.016248154,7.743933918,8.564027845,9.628378378,11.00176263,12.42561632,14.07927333,16.05652759
Bosnia and Herzegovina,5.13618677,4.825174825,5.222437137,5.988023952,7.097882084,7.170016295,6.704781705,6.977886978,8.728296574,11.57178218,15.12085441,16.05277625,17.35765616,19.84392419,22.46745897,24.87016734,26.63910219,28.1097561,29.94314593,32.3878628,35.25773196
Botswana,5.050505051,4.444444444,4.365079365,4.240282686,3.614457831,3.544303797,3.326403326,3.345070423,3.313253012,3.529411765,3.981264637,4.585152838,4.95951417,5.843543827,6.4,6.64983165,6.763285024,7.370054306,8.783783784,10.70648216,12.68603827
Brazil,4.392156863,4.581736909,4.86183884,5.016515767,5.333667209,5.698243273,5.916867192,5.938228266,6.326541598,6.761867908,7.420227904,8.067117019,9.180119962,10.75367001,12.65669662,14.93300457,17.01068354,19.05327769,21.49389532,24.26454055,26.51643991
Brunei,4.166666667,6.060606061,4.87804878,5.454545455,4.545454545,5.882352941,4.807692308,4.237288136,3.703703704,3.921568627,4.046242775,5.208333333,6.25,9.130434783,10.97560976,12.30769231,14.02877698,15.51724138,16.77631579,18.0952381,19.32515337
Bulgaria,9.299116998,9.601497727,10.34131431,12,13.73704053,15.13898461,14.49275362,16.15367333,17.62134806,19.39423547,19.77965667,20.09059419,21.23136389,22.32372252,23.3866193,24.54573452,25.9807074,27.96096904,30.52039381,32.50183419,34.22973492
Burkina Faso,4.205607477,4.825143869,5.128205128,5.204317656,5.079928952,4.973992198,4.743665292,4.35011864,3.846153846,3.419316137,3.081717452,2.948044367,2.727942984,2.627154266,2.845936331,3.21053054,3.722455965,4.288636073,4.943911183,5.65748427,6.399296566
Burundi,4.842820731,4.506604507,4.468085106,4.595469256,4.671791839,4.821327283,4.62543992,4.268808115,3.900325027,3.597601599,3.565743394,3.525818989,3.685092127,4.21257291,4.80220429,5.346426623,5.883353171,6.582319026,7.749356743,9.589434396,11.57909178
Cambodia,4.141739531,4.051260852,4.119161456,4.134114583,4.173862982,4.197183099,4.8,4.009433962,3.596966414,3.343687192,3.398058252,3.968018952,4.597233523,5.303030303,6.03359616,6.859512921,7.781672509,8.658420552,9.334666424,12.08235191,14.82543431
Cameroon,5.207857469,5.195344971,5.269100489,5.339153794,5.362962963,5.32162232,5.244444444,5.175388154,5.098684211,5.035765379,5.048076923,5.036537381,5.01002004,5.088714762,5.220455663,5.462628089,5.865123091,6.508760545,7.413258796,8.61644228,9.91677093
Canada,11.48105626,10.99410806,10.34596739,10.40824576,10.52969208,11.20131272,11.80999181,12.81951372,13.67608506,14.29556582,14.96249507,16.175,18.37245323,20.70235061,23.38047938,25.86972231,27.15767532,28.06916427,28.95363496,29.76591675,30.46784666
Cape Verde,4.47761194,5.128205128,5.434782609,6.481481481,6.299212598,6.25,8.270676692,6.081081081,5.454545455,5.291005291,4.830917874,4.347826087,4.06504065,4.166666667,4.982206406,6.779661017,8.974358974,10.2484472,12.68882175,15.13353116,18.23529412
Central African Rep.,7.339449541,6.686046512,6.49526387,6.288532676,6.013363029,6.060606061,6.003584229,5.827505828,5.767894371,5.616605617,5.495103373,5.412115194,5.289330922,5.282707388,5.431067224,5.671010919,6.019736842,6.493506494,7.305669199,8.333333333,9.5566764
Chad,6.583333333,5.918057663,5.761316872,5.719557196,5.580110497,5.525672372,5.242290749,5.048543689,4.807692308,4.593138645,4.416706673,4.202694551,4.038461538,4.088194763,4.083007681,4.175068201,4.289176942,4.57726499,5.055698372,5.708245243,6.495566289
Channel Islands,14.58333333,16,16.66666667,16.36363636,16.94915254,16.12903226,16.39344262,16.92307692,16.41791045,17.39130435,17.39130435,18.57142857,20.54794521,22.97297297,24.65753425,28.76712329,30.55555556,31.94444444,31.50684932,30.98591549,32.3943662
Chile,6.372386326,6.772076372,6.800740937,6.785212915,6.898011003,6.928766057,7.160986222,7.34605087,7.779653215,8.239752948,8.968139504,10.2691306,11.72861357,13.51168303,15.92045208,18.62961793,20.68398891,22.2895215,23.24583292,24.54590571,26.18953212
China,6.425200633,6.786804855,5.724973324,5.785580996,5.7224528,5.968518922,6.54705965,7.308550925,7.845889347,8.619036968,9.427137241,10.24530304,11.59248936,13.85268782,15.57691091,18.16688751,21.61432323,24.29167422,25.10249708,26.08428656,28.38550692
Colombia,4.620793571,4.488017429,4.591644712,4.76138946,4.95953322,5.193499749,5.310329375,5.539906103,5.700236751,5.891816921,6.185987261,6.727007024,7.755442416,9.2272203,10.89988313,12.82155982,14.77086451,16.23457216,17.86902322,19.46844292,21.00640796
Comoros,5.128205128,4.597701149,4.210526316,3.80952381,3.418803419,5.147058824,4.242424242,4.166666667,4.147465438,4.048582996,4.01459854,4.193548387,4.335260116,4.699738903,5.250596659,5.960264901,6.967213115,8.380952381,9.54954955,11.28205128,12.58169935
"Congo, Dem. Rep.",4.802804557,4.215274537,3.961878829,3.860774531,3.841059603,3.866725121,3.890728477,3.885069399,3.861130916,3.832799747,3.789205541,3.778036105,3.771564545,3.776041667,3.840404737,4.007065251,4.30061623,4.728469184,5.303516377,6.088426452,7.113704221
"Congo, Rep.",5.303030303,5.20361991,5.389221557,5.41958042,5.597579425,5.577172503,5.327413984,5.318138651,5.336617406,5.346820809,5.419695968,5.281690141,5.221097496,5.153664303,5.191489362,5.494505495,6.019700839,6.964834414,8.196721311,9.634146341,11.1822947
Costa Rica,7.099391481,6.956521739,6.794682422,6.71641791,6.608884074,6.826923077,7.083333333,6.768558952,6.832694764,6.896551724,7.207207207,7.723761926,8.82852292,10.50537207,12.8147313,15.26334647,17.37186103,18.93510815,20.7846952,22.86168521,25.09410289
Cote d'Ivoire,3.546099291,3.661016949,3.76497433,3.876326719,4.00148203,4.018637158,4.130534003,4.343045629,4.597525584,4.976150574,5.484378512,6.004877058,6.305813742,6.487367563,6.602526439,6.705811703,6.909824047,7.402816901,8.265327474,9.303577546,10.50228311
Croatia,10.12520414,9.355179704,10.0879462,11.27971674,12.85998014,12.9970902,12.03397829,12.11840888,13.54071363,16.4,18.24884793,18.35590845,19.99059266,22.15370019,24.09003831,25.77669903,26.97628458,28.08875441,29.49047864,30.98369279,31.68635875
