Median age,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,18.597,18.462,18.311,18.193,17.994,17.648,17.357,17.091,16.845,16.579,16.413,16.49,16.868,17.326,17.81,18.319,18.936,19.775,20.918,22.196,23.522
AFRICA,19.173,18.862,18.434,18.02,17.69,17.524,17.505,17.443,17.541,17.959,18.497,19.058,19.676,20.401,21.233,22.245,23.381,24.593,25.851,27.153,28.492
Albania,20.64,20.202,19.677,18.955,18.844,19.49,21.349,22.505,23.815,25.798,26.93,28.532,29.968,31.796,33.636,35.737,37.988,40.292,42.258,43.702,44.268
Algeria,19.927,19.307,18.17,16.742,15.808,16.165,16.91,17.318,18.183,19.549,21.787,24.015,26.247,28.311,30.333,32.3,34.187,35.547,36.877,38.145,39.416
Angola,19.401,18.882,18.244,17.481,16.987,16.828,16.652,16.449,16.198,16.096,16.374,16.718,17.385,17.989,18.658,19.51,20.435,21.623,22.891,24.197,25.561
Argentina,25.657,26.471,27.07,27.398,27.593,27.663,27.377,27.463,27.574,27.697,28.142,29.12,30.439,31.615,32.837,34.147,35.551,36.931,38.163,39.271,40.386
Armenia,22.423,22.737,22.459,20.759,20.409,21.872,23.458,25.227,27.005,29.216,30.325,31.142,32.011,33.234,34.935,37.211,39.485,41.288,42.025,42.297,42.99
Aruba,18.476,18.104,18.193,18.824,20.226,23.181,25.746,28.06,31.523,32.477,34.417,36.417,38.7,40.642,41.742,42.112,42.322,42.972,43.853,44.475,44.413
ASIA,22.257,21.489,20.992,20.096,19.703,20.235,21.117,22.071,22.976,24.279,25.824,27.417,29.011,30.407,31.899,33.517,35.24,36.801,38.141,39.276,40.246
Australia,30.379,30.158,29.608,28.295,27.608,28.019,29.38,30.802,32.163,33.731,35.403,36.553,37.776,38.842,39.6,40.432,41.213,41.925,42.44,42.728,42.937
Australia/New Zealand,30.195,29.888,29.2,27.836,27.246,27.702,29.114,30.525,31.971,33.535,35.229,36.392,37.586,38.604,39.365,40.218,41.055,41.831,42.389,42.715,42.961
Austria,35.696,35.201,35.524,34.972,33.892,33.818,34.671,35.178,35.652,36.431,38.219,39.953,41.768,43.495,44.785,45.604,46.579,47.46,48.196,48.655,48.543
Azerbaijan,22.83,23.211,22.609,19.574,18.235,19.131,21.099,22.821,23.174,24.132,25.555,27.08,28.42,29.936,32.029,34.235,36.398,37.966,38.787,39.405,40.588
Bahamas,20.722,20.301,19.34,18.56,18.696,19.264,19.654,21.344,23.127,24.716,26.35,28.054,29.695,31.609,33.386,35.03,36.846,38.496,39.996,41.01,41.852
Bahrain,18.892,18.681,18.504,14.679,16.936,17.744,22.327,25.92,25.935,26.631,27.246,27.617,28.082,30,31.876,33.75,35.573,37.158,38.566,39.817,40.796
Bangladesh,20.499,19.739,19.007,18.186,17.662,17.433,17.285,17.45,18.14,19.268,20.775,22.544,24.504,26.502,28.447,30.372,32.343,34.295,36.167,37.769,39.152
Barbados,24.558,24.271,22.32,20.646,21.213,23.694,24.494,26.321,28.35,30.704,33.269,35.53,37.771,39.992,41.715,43.497,45.284,46.885,48.059,48.657,48.614
Belarus,27.218,27.729,28.196,28.809,30.094,30.468,31.274,31.936,33.011,34.641,36.256,37.339,38.223,39.362,40.769,42.607,44.628,46.659,48.16,48.799,48.548
Belgium,35.526,34.713,35.246,34.752,34.58,34.037,34.21,34.9,36.301,37.599,39.083,40.232,41.301,42.38,43.175,43.742,44.231,44.628,44.925,44.879,44.684
Belize,20.79,18.597,17.605,16.454,16.329,16.15,16.551,17.215,17.912,18.479,19.233,20.623,22.267,23.992,25.899,27.878,29.914,31.984,33.929,35.713,37.415
Benin,24.173,22.637,21.392,20.473,19.321,18.326,17.67,17.327,17.162,17.491,17.525,17.979,18.359,18.785,19.43,20.33,21.558,22.885,24.266,25.719,27.215
Bhutan,17.994,19.007,19.201,19.193,19.284,19.585,19.519,18.95,18.676,18.011,19.232,21.901,24.232,26.449,28.516,30.609,32.525,34.336,36.053,37.486,38.787
Bolivia,19.212,19.014,18.723,18.481,18.416,18.353,18.593,18.872,19.205,19.589,20.088,20.828,21.888,23.221,24.762,26.447,28.231,30.102,32.044,33.975,35.891
Bosnia and Herzegovina,20.039,20.85,21.651,21.497,22.571,23.989,25.942,27.954,29.7,32.234,35.098,37.332,39.291,41.049,42.767,44.53,46.495,48.466,50.378,51.389,52.196
Botswana,19.175,18.563,17.233,15.868,15.917,16.221,16.517,16.585,17.289,18.574,19.945,21.322,22.779,23.987,25.061,25.98,26.791,27.689,28.747,29.92,31.211
Brazil,19.214,18.904,18.55,18.157,18.579,19.406,20.309,21.316,22.533,23.944,25.307,26.979,29.009,31.325,33.603,35.832,37.936,39.907,41.936,43.807,45.565
Brunei,22.368,21.154,19.417,17.642,18.402,19.76,20.357,21.443,23.365,24.155,25.111,26.432,27.785,29.205,30.704,32.226,33.657,34.967,36.023,36.97,37.745
