0-14 yrs sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,106.643,107.023,107.203,107.181,107.075,107.01,106.987,106.952,106.953,106.756,106.648,106.663,106.711,106.728,106.771,106.848,106.9,106.887,106.86,106.833,106.795
AFRICA,99.986,100.351,100.747,100.882,101.067,101.14,101.318,101.487,101.653,101.779,101.901,102.013,102.071,102.091,102.08,102.083,102.106,102.147,102.194,102.237,102.272
Albania,103.018,102.641,102.838,103.6,104.515,105.045,107.525,107.696,107.979,105.08,106.07,106.836,106.759,106.953,107.061,107.133,107.171,107.166,107.156,107.142,107.128
Algeria,99.981,101.482,103.971,104.308,103.945,103.862,103.848,104.1,104.368,104.504,104.556,104.599,104.594,104.522,104.454,104.496,104.617,104.785,104.912,104.971,104.976
Angola,99.075,98.506,98.293,98.245,98.607,98.934,99.245,99.426,99.395,99.338,99.282,99.307,99.255,99.242,99.329,99.476,99.623,99.778,99.936,100.089,100.232
Argentina,103.285,103.248,103.187,102.896,102.891,102.875,102.928,103.095,103.16,103.231,103.318,103.385,103.483,103.569,103.637,103.679,103.711,103.727,103.737,103.735,103.73
Armenia,93.92,98.307,103.308,105.889,105.931,104.862,104.278,104.724,102.918,102.351,106.801,112.112,116.103,116.157,115.331,114.238,113.092,111.924,110.749,109.535,108.309
Aruba,97.527,98.609,100.79,103.36,104.142,103.979,104.51,104.775,107.515,102.414,101.349,101.75,102.263,102.482,103.768,104.521,104.688,104.787,104.823,104.821,104.83
ASIA,106.903,105.968,105.814,105.781,105.969,106.089,106.031,106.019,106.554,107.544,108.66,109.626,109.954,109.861,109.423,108.94,108.502,108.157,107.874,107.628,107.385
Australia,104.217,104.507,104.95,104.979,105.155,105.036,104.644,104.921,105.265,105.268,105.18,105.469,105.471,105.454,105.458,105.485,105.507,105.525,105.535,105.539,105.542
