50+ yrs sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,102.931,101.809,100.971,100.398,100.151,100.254,100.697,101.332,101.985,102.332,102.624,102.749,102.729,102.625,102.504,102.361,102.281,102.31,102.42,102.515,102.63
AFRICA,85.827,86.384,87.331,88.757,88.913,89.63,90.103,89.987,89.469,89.643,89.575,89.216,88.631,88.334,88.655,89.631,90.845,91.882,92.654,93.057,93.248
Albania,95.92,94.858,94.191,93.595,94.242,93.699,89.798,93.557,94.42,95.094,94.657,92.916,91.352,89.355,86.082,82.791,79.845,78.677,79.78,81.404,82.779
Algeria,101.142,102.038,101.302,101.997,86.127,86.682,91.25,91.077,89.651,89.129,88.188,90.632,92.691,94.363,95.288,95.619,95.636,95.448,95.045,94.509,93.688
Angola,84.138,83.95,84.11,84.476,84.915,85.338,85.764,86.097,86.262,86.36,86.418,86.257,86.205,86.232,86.416,86.914,87.716,88.439,88.951,89.281,89.402
Argentina,111.171,108.21,103.603,98.038,93.017,89.402,85.642,82.677,80.705,79.832,79.881,80.084,80.626,81.195,81.7,82.277,83.046,83.4,83.649,83.823,83.823
Armenia,88.747,82.616,77.701,72.034,67.721,66.913,73.987,78.706,79.281,76.997,74.465,71.929,70.459,68.454,66.129,64.287,62.959,64.132,66.73,69.188,71.197
Aruba,73.439,79.765,87.657,88.634,88.154,85.975,85.283,84.85,85.52,87.239,85.999,85.298,84.054,83.194,82.087,80.453,78.612,77.565,77.639,78.384,80.036
ASIA,97.378,97.408,92.189,93.848,94.495,95.606,96.676,97.471,97.419,96.803,96.265,96.024,95.66,95.275,94.889,94.388,93.735,93.263,93.271,93.523,93.778
Australia,91.898,91.317,90.559,89.473,87.749,87.339,87.39,87.544,88.352,89.126,90.767,91.61,92.034,92.11,91.941,91.675,91.351,91.139,91.108,91.303,91.596
Australia/New Zealand,92.385,91.56,90.729,89.328,87.615,87.169,87.393,87.519,88.105,88.838,90.407,91.389,91.923,92.005,91.73,91.354,91.027,90.873,90.906,91.181,91.532
Austria,76.128,75.699,73.659,70.847,67.517,64.893,65.877,67.821,70.709,74.192,77.414,80.369,83.296,86.197,88.014,88.66,88.917,89.116,89.168,89.198,89.074
Azerbaijan,86.237,76.911,70.486,64.686,60.532,59.462,66.824,73.011,77.579,79.214,79.42,80.143,81.894,81.858,79.06,77.822,76.785,77.722,79.64,81.014,82.117
Bahamas,73.398,72.108,74.953,78.875,83.899,81.897,84.045,83.068,82.434,83.723,84.159,84.418,84.365,85.455,85.668,85.577,84.906,84.392,83.66,83.234,82.683
Bahrain,102.497,102.354,102.491,111.297,128.276,127.97,135.762,131.363,126.444,118.873,134.999,141.331,158.862,163.813,164.91,163.251,153.612,144.559,137.344,129.777,123.084
Bangladesh,129.01,126.8,125.03,121.499,118.584,116.373,114.971,111.574,109.447,103.895,100.869,99.534,98.453,97.535,96.589,95.733,95.193,94.817,94.226,93.546,92.804
Barbados,49.998,58.067,62.728,66.807,69.702,78.933,71.695,70.714,69.818,69.413,71.967,75.322,78.865,82.384,84.52,85.919,86.375,86.444,86.318,86.165,86.052
Belarus,66.069,63.405,61.462,57.476,54.693,53.858,57.362,60.345,63.566,63.774,63.83,63.927,64.798,65.371,64.927,65.176,65.919,67.263,68.939,69.846,70.233
Belgium,86.068,85.365,84.502,82.942,80.699,80.141,79.517,78.094,79.353,80.454,82.441,84.068,85.656,86.695,87.423,87.76,87.552,87.059,86.507,86.067,85.756
Belize,94.611,95.499,96.925,94.757,92.652,90.672,100.665,99.507,98.946,97.412,96.206,94.843,95.688,95.03,95.189,95.553,95.397,95.719,95.72,95.535,95.355
Benin,80.509,80.328,80.391,80.074,78.835,77.124,75.184,73.286,72.39,74.105,74.279,79.463,84.271,88.424,91.993,94.555,96.061,96.632,96.526,96.132,95.735
Bhutan,100.284,100.902,100.848,100.642,100.472,103.644,105.6,105.498,105.999,106.203,107.376,108.474,110.768,111.277,114.073,113.762,116.619,120.008,114.571,109.504,105.001
Bolivia,91.373,90.808,90.195,89.73,89.326,89.309,89.245,88.763,88.344,87.893,87.46,87.008,86.971,87.051,87.284,87.67,88.093,88.647,89.243,89.856,90.171
Bosnia and Herzegovina,79.731,84.046,85.613,81.412,76.97,73.06,75.618,78.747,81.575,80.403,83.238,83.752,83.816,82.91,80.98,79.463,79.411,80.148,81.102,82.124,83.481
Botswana,67.155,67.926,66.956,67.215,68.407,70.059,70.631,70.509,72.275,75.553,78.736,79.584,79.051,79.197,82.75,90.591,100.467,108.071,111.518,111.34,108.988
Brazil,84.939,87.379,89.271,90.927,92.13,93.447,94.152,91.379,89.348,87.759,86.576,85.726,85.128,84.682,84.229,83.711,83.51,83.728,83.728,83.598,83.639
Brunei,95.591,99.907,100,103.355,102.703,105.345,126.263,120.796,107.974,117.693,129.188,135.275,135.349,129.981,118.757,110.737,103.846,98.441,95.282,92.954,91.53
Bulgaria,88.074,89.434,91.486,92.879,92.41,92.09,90.931,90.407,87.045,84.518,82.385,80.634,79,78.181,78.091,78.623,79.574,80.32,81.206,81.713,81.777
Burkina Faso,131.648,124.278,117.9,111.407,105.322,99.069,92.302,85.865,81.154,77.799,75.35,75.088,76.068,78.651,81.683,84.396,86.675,88.192,88.957,89.337,89.629
Burundi,81.363,79.668,78.287,77.302,75.828,72.731,71.452,71.513,71.581,70.262,68.283,72.481,76.94,80.122,82.873,84.929,86.858,88.53,89.491,89.728,89.591
Cambodia,88.316,88.19,88.291,88.627,89.001,89.083,72.054,64.697,61.461,62.492,64.982,68.308,70.864,72.794,75.151,78.369,80.772,84.93,87.942,89.859,90.545
Cameroon,85.682,85.856,86.203,86.669,87.21,87.714,88.149,88.439,88.801,89.067,89.219,89.13,88.773,89.188,91.006,93.777,95.926,97.155,97.766,97.847,97.578
Canada,106.375,103.426,100.406,96.626,91.707,88.356,86.237,85.107,85.31,85.789,87.044,88.31,89.618,91.362,92.6,93.694,94.856,95.76,96.589,97.518,98.43
Cape Verde,47.33,56.112,64.723,70.395,74.642,76.344,76.518,72.469,66.398,61.597,59.189,56.203,56.756,65.37,71.563,74.994,76.803,79.63,81.578,82.639,83.241
Caribbean,101.958,103,102.133,100.569,98.955,96.926,95.209,95.611,93.729,93.031,91.486,90.675,89.392,88.405,87.779,87.227,86.78,86.795,87.034,87.173,87.182
Central African Rep.,88.623,88.155,87.827,87.864,88.21,87.743,87.413,87.4,86.888,86.76,86.169,84.585,83.25,82.916,84.127,86.525,89.109,91.382,93.02,93.989,94.445
Central America,94.543,94.116,92.961,91.836,90.652,89.294,87.947,87.111,87.795,88.753,90.019,90.582,90.226,89.439,88.506,88.153,87.642,87.035,86.439,86.196,86.123
Chad,87.472,86.525,85.257,84.994,85.325,85.032,84.957,85.13,86.184,87.398,88.141,87.465,86.705,86.23,86.464,87.477,88.895,90.264,91.334,92.031,92.386
Channel Islands,76.569,77.403,78.217,78.044,77.875,77.708,77.902,79.644,81.808,83.459,87.521,88.62,89.337,88.8,87.889,86.688,85.36,84.98,84.769,85.264,85.72
Chile,90.09,88.411,86.666,84.916,83.37,82.119,81.219,80.455,80.744,81.942,83.328,84.876,86.282,87.237,87.535,87.448,87.019,86.694,86.478,86.284,85.953
China,92.293,92.112,80.704,85.084,87.479,91.156,95.409,98.838,100.603,101.324,101.244,100.403,99.657,98.597,97.727,96.671,95.362,94.35,94.403,94.964,95.799
"Hong Kong, China",53.311,59.706,68.491,72.597,75.947,85.548,91.771,94.012,97.834,98.157,96.975,94.724,91.79,87.219,82.457,78.487,75.694,74.426,74.084,74.434,74.87
"Macao, China",71.346,72.713,72.549,81.227,91.808,85.465,77.599,78.266,82.365,89.189,99.062,104.142,101.788,94.036,87.302,85.264,83.166,81.077,79.206,77.538,76.675
Colombia,83.692,86.181,87.601,88.509,88.885,88.574,87.851,86.122,84.976,84.338,84.473,84.679,84.697,84.679,84.527,84.185,84.064,84.151,84.406,84.7,84.952
Comoros,89.859,88.517,88.024,87.459,87.145,86.656,86.486,86.515,87.358,88.06,89.316,90.45,91.3,91.848,92.031,91.844,91.715,91.597,91.02,90.368,89.797
"Congo, Rep.",86.44,87.046,87.623,88.096,88.547,88.954,89.373,89.738,90.025,89.834,88.399,87.283,86.426,87.834,90.535,92.812,94.587,95.851,96.46,96.635,96.577
Costa Rica,95.894,98.051,100.968,103.713,105.179,103.692,101.606,98.461,96.25,94.745,94.529,95.063,95.938,96.392,96.304,95.629,95.065,94.567,94.163,93.71,93.157
Cote d'Ivoire,89.532,92.406,95.416,99.489,103.77,108.493,113.141,117.106,119.814,121.692,121.295,117.335,112.589,108.412,105.528,103.439,101.211,99.099,97.47,96.218,95.244
Croatia,78.801,78.166,77.442,75.057,73.477,70.01,71.504,73.275,74.669,75.163,76.179,77.872,79.104,80.092,80.759,81.445,82.281,82.982,83.363,83.798,84.368
Cuba,125.105,123.101,116.871,110.079,105.034,100.739,97.708,99.867,97.722,96.664,94.099,93.901,92.257,91.398,91.357,91.243,91.052,90.991,91.195,91,90.634
Cyprus,95.317,93.698,92.923,90.96,90.278,90.001,87.395,86.938,87.4,88.085,88.342,88.463,87.829,86.742,85.127,83.869,83.923,85.104,86.34,87.396,88.125
Czech Rep.,80.062,80.358,80.21,79.665,77.299,76.049,75.308,75.069,74.813,76.066,78.456,80.379,81.732,82.841,83.892,85.481,86.923,87.843,88.794,89.286,89.182
