Total sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Afghanistan,107.331,107.529,107.69,107.792,107.845,107.875,107.877,107.841,107.808,107.634,107.508,107.464,107.412,107.353,107.3,107.253,107.216,107.176,107.125,107.052,106.945
AFRICA,97.892,98.033,98.231,98.376,98.309,98.611,98.885,99.005,99.015,99.066,99.121,99.301,99.515,99.702,99.845,99.947,99.997,100.01,99.988,99.928,99.824
Albania,101.419,101.216,101.466,101.783,102.079,102.311,106.629,106.454,105.28,101.522,98.835,97.986,97.338,96.897,96.473,96.084,95.698,95.333,95.062,94.969,95.091
Algeria,104.13,102.911,101.342,100.961,95.679,97.343,100.73,101.16,101.505,101.781,101.839,101.917,101.948,101.94,101.875,101.776,101.579,101.279,100.919,100.552,100.183
Angola,96.284,96.108,96.095,96.181,96.328,96.518,96.758,96.959,97.06,97.149,97.176,97.225,97.211,97.2,97.195,97.182,97.155,97.119,97.074,97.017,96.942
Argentina,106.05,103.965,102.446,101.022,99.742,98.674,97.538,96.998,96.671,96.479,96.361,96.246,96.271,96.319,96.337,96.289,96.161,95.968,95.747,95.505,95.232
Armenia,90.276,91.516,93.245,94.644,95.504,95.307,95.102,95.689,94.198,90.221,88.753,87.628,87.298,87.621,88.078,88.421,88.729,89.051,89.447,89.999,90.703
Aruba,93.592,94.758,95.584,95.952,95.992,95.301,95.025,95.896,96.871,97.33,93.819,92.31,92.093,91.898,91.735,91.614,91.496,91.489,91.633,92.055,92.797
ASIA,106.042,105.61,104.675,104.959,104.992,105.188,105.061,105.008,105.017,105.023,104.991,104.956,104.843,104.701,104.495,104.229,103.916,103.585,103.258,102.961,102.697
Australia,101.693,102.498,102.215,101.54,101.565,100.745,99.739,99.637,99.386,98.965,98.422,98.709,98.873,98.974,99.022,99.016,98.947,98.845,98.791,98.818,98.927
Australia/New Zealand,101.573,102.275,101.989,101.367,101.263,100.529,99.593,99.492,99.069,98.711,98.144,98.463,98.673,98.813,98.893,98.919,98.879,98.802,98.766,98.81,98.937
Austria,86.64,86.772,87.189,88.028,89.083,89.561,89.582,90.389,91.801,93.179,93.666,94.553,95.314,95.94,96.411,96.725,96.881,96.908,96.876,96.82,96.792
Azerbaijan,88.969,89.995,91.773,93.35,94.332,95.178,94.893,94.919,95.801,95.58,94.986,94.968,95.777,96.522,97.004,97.224,97.273,97.275,97.32,97.433,97.614
Bahamas,86.638,87.336,91.659,95.641,98.253,96.323,98.72,98.533,98.466,97.619,96.823,96.185,95.683,95.166,94.597,93.973,93.39,92.86,92.334,91.855,91.371
Bahrain,116.115,116.144,116.506,101.088,115.655,121.396,139.31,143.695,138.483,139.541,135.575,135.251,134.363,132.507,130.847,129.233,127.515,125.656,123.671,121.628,119.631
Bangladesh,115.915,114.021,112.354,110.752,109.147,107.518,106.061,104.885,103.997,103.256,102.621,102.438,102.266,102.114,101.913,101.672,101.38,101.035,100.6,100.131,99.638
Barbados,85.088,84.195,81.196,85.166,88.547,91.766,90.913,91.914,92.684,93.187,93.375,93.814,94.372,94.966,95.373,95.562,95.487,95.191,94.868,94.682,94.655
Belarus,79.241,80.625,82.329,83.843,84.911,85.859,86.71,87.372,88.2,88.482,88.071,87.368,86.819,86.528,86.382,86.233,86.037,85.88,85.912,86.18,86.631
Belgium,97.168,96.741,96.274,96.4,95.956,95.613,95.542,94.836,95.427,95.689,95.791,95.832,96.005,96.012,96.036,96.052,95.946,95.733,95.47,95.263,95.187
Belize,95.929,97.18,97.428,98.396,99.251,100.33,102.401,102.374,102.261,102.04,101.802,101.691,101.599,101.502,101.381,101.229,101.035,100.824,100.601,100.364,100.139
Benin,87.234,88.201,89.181,90.313,91.522,92.619,93.785,95.107,96.414,98.883,99.522,101.123,101.994,102.268,102.429,102.499,102.488,102.403,102.261,102.08,101.874
Bhutan,105.238,104.721,104.297,103.845,103.323,106.26,107.492,106.281,105.258,103.523,102.871,110.94,111.423,111.686,110.251,108.938,107.7,106.481,105.248,104.001,102.73
Bolivia,99.461,98.688,98.104,97.66,97.339,97.11,97.29,97.653,98.161,98.678,99.031,99.295,99.496,99.647,99.751,99.808,99.819,99.78,99.686,99.545,99.342
Bosnia and Herzegovina,93.311,94.394,95.322,96.597,95.973,96.699,96.934,97.338,97.688,94.153,93.051,92.731,92.744,92.698,92.671,92.685,92.697,92.691,92.768,93.069,93.629
Botswana,93.829,93.992,91.773,91.199,92.297,93.806,95.447,95.892,96.721,97.47,98.114,99.007,100.083,101.306,102.471,103.476,104.211,104.759,105.092,105.095,104.727
Brazil,98.446,99.213,99.397,99.588,99.69,99.623,99.564,99.188,98.723,98.197,97.736,97.334,96.951,96.558,96.21,95.847,95.458,95.06,94.657,94.277,93.936
Brunei,106.013,106.501,106.566,106.649,106.858,106.68,113.95,112.176,112.176,110.153,108.678,107.503,106.485,105.499,104.51,103.461,102.334,101.185,100.114,99.236,98.6
Bulgaria,99.918,99.441,99.67,99.903,99.963,99.698,99.31,98.757,97.223,95.98,95.079,94.259,93.473,93.036,92.802,92.675,92.586,92.54,92.737,93.069,93.397
Burkina Faso,110.343,107.41,105.033,102.665,100.872,99.342,97.927,97.048,97.218,97.513,97.921,99.347,99.863,100.242,100.503,100.659,100.738,100.764,100.74,100.671,100.563
Burundi,91.883,92.064,92.313,92.542,92.732,91.827,92.757,94.09,95.12,94.909,94.235,95.386,96.277,96.721,96.985,97.094,97.098,97.023,96.885,96.71,96.496
Cambodia,99.991,99.996,100.033,100.111,100.237,100.197,86.225,89.053,90.921,92.719,93.95,94.969,96.028,96.951,97.713,98.297,98.719,99.029,99.262,99.363,99.317
Cameroon,96.13,96.411,96.719,97.083,97.471,97.872,98.261,98.551,98.821,98.982,99.223,99.631,100.029,100.303,100.455,100.536,100.554,100.535,100.473,100.35,100.154
Canada,102.97,102.836,102.751,101.165,100.99,100.149,99.233,98.612,98.325,98.003,98.091,98.119,98.151,98.983,99.739,100.444,100.994,101.408,101.774,102.154,102.571
Cape Verde,83.059,84.726,86.458,88.611,90.823,87.744,84.805,86.617,88.263,89.484,90.362,91.09,91.73,92.373,92.949,93.411,93.719,93.867,93.874,93.758,93.575
Caribbean,100.787,100.462,99.85,99.499,99.862,99.663,99.578,99.307,98.951,98.752,98.403,98.241,98.113,97.947,97.793,97.605,97.418,97.231,97.051,96.88,96.72
Central African Rep.,97.221,96.94,96.762,96.667,96.625,96.559,96.556,96.577,96.45,96.352,96.275,96.356,96.636,96.955,97.253,97.511,97.738,97.932,98.085,98.183,98.198
Central America,99.443,99.625,99.786,99.924,100.031,99.947,99.765,99.112,98.784,98.372,98.051,97.349,96.921,96.811,96.741,96.526,96.285,96.009,95.708,95.398,95.098
Chad,97.453,96.987,96.75,96.658,96.681,96.802,96.999,97.305,97.64,97.975,98.269,98.576,98.863,99.089,99.269,99.432,99.568,99.676,99.742,99.76,99.724
Channel Islands,92.361,92.818,93.306,93.675,94.006,93.628,92.748,93.467,93.718,93.955,95.244,95.745,95.904,95.833,95.617,95.314,94.996,94.737,94.597,94.616,94.832
Chile,98.143,97.991,97.802,97.625,97.427,97.318,97.333,97.402,97.591,97.801,97.858,97.881,97.841,97.736,97.553,97.292,96.952,96.554,96.139,95.756,95.453
China,108.118,106.94,104.382,105.126,105.428,105.941,106.297,106.39,106.572,106.993,107.38,107.731,107.913,107.964,107.839,107.602,107.283,106.958,106.666,106.426,106.262
"Hong Kong, China",105.668,105.598,105.404,103.03,103.479,104.751,108.753,106.628,105.021,98.736,93.481,91.69,89.98,89.371,88.743,88.07,87.321,86.524,85.796,85.306,85.211
"Macao, China",111.377,104.866,98.421,101.889,105.707,104.593,103.654,98.847,94.338,93.378,92.319,91.549,91.102,90.548,89.903,89.087,88.045,86.84,85.656,84.707,84.144
Colombia,99.111,99.152,99.166,99.202,99.235,99.18,99.177,98.858,98.488,97.781,97.411,97.144,96.896,96.676,96.475,96.281,96.093,95.942,95.841,95.743,95.662
Comoros,98.83,99.041,99.186,99.417,99.697,99.713,99.837,100.033,100.178,100.375,100.531,100.652,100.733,100.743,100.684,100.571,100.426,100.263,100.088,99.896,99.693
"Congo, Rep.",96.56,97.115,97.534,97.882,98.193,98.475,98.78,99.026,99.161,99.167,99.21,99.442,99.713,99.932,100.059,100.104,100.139,100.174,100.188,100.185,100.152
Costa Rica,104.196,103.859,103.6,103.373,103.089,102.741,103.968,103.747,103.547,103.475,103.432,103.389,103.141,102.882,102.591,102.256,101.866,101.424,100.954,100.489,100.057
Cote d'Ivoire,102.788,103.186,103.839,105.315,106.473,107.698,108.51,108.655,107.999,107.434,106.129,104.691,103.591,102.735,102.095,101.587,101.169,100.826,100.531,100.248,99.951
Croatia,90.996,91.129,91.378,91.943,93.511,93.601,93.816,93.777,93.722,93.032,92.948,92.846,93.014,93.291,93.585,93.838,94.009,94.112,94.237,94.459,94.8
Cuba,106.786,105.552,104.455,103.651,103.432,102.827,102.448,101.327,101.182,100.86,100.249,100.622,100.496,100.272,100.1,99.75,99.429,99.119,98.816,98.486,98.189
Cyprus,97.306,95.981,96.704,96.392,97.713,98.904,99.509,99.043,99.381,99.595,97.004,94.803,95.009,95.271,95.551,95.806,96.013,96.205,96.444,96.779,97.208
Czech Rep.,94.532,94.56,94.195,94.108,93.929,93.899,94.04,94.2,94.311,94.559,94.78,95.167,96.591,96.887,97.086,97.21,97.288,97.392,97.586,97.805,97.944
"Korea, Dem. Rep.",84.263,85.989,88.635,90.812,92.902,94.214,94.814,95.489,96.083,96.344,96.526,97.114,97.637,98.046,98.334,98.415,98.193,97.681,97.097,96.663,96.465
"Congo, Dem. Rep.",88.119,89.811,91.316,92.639,93.765,94.805,95.715,96.472,97.07,97.482,97.743,98.06,98.28,98.419,98.487,98.496,98.462,98.395,98.296,98.169,98.011
Denmark,98.375,98.525,98.397,98.333,98.532,98.09,97.465,97.069,97.141,97.424,97.721,97.899,98.381,98.659,98.764,98.755,98.712,98.718,98.835,99.068,99.378
Djibouti,98.568,98.277,98.197,98.285,98.438,98.65,98.923,99.2,99.434,99.599,99.69,99.802,99.926,100.054,100.184,100.258,100.317,100.338,100.288,100.168,99.992
Dominican Rep.,103.728,103.927,103.679,103.294,103.019,102.801,102.602,102.375,102.077,101.712,101.411,101.183,100.88,100.51,100.115,99.707,99.292,98.87,98.446,98.032,97.637
Eastern Africa,98.053,97.957,97.926,97.91,97.927,97.941,97.762,97.888,97.8,97.765,97.857,98.188,98.584,99.003,99.319,99.556,99.722,99.833,99.894,99.893,99.826
Eastern Asia,105.876,105.058,103.039,103.725,104.045,104.609,104.925,105.006,105.189,105.544,105.798,106.048,106.2,106.249,106.138,105.922,105.623,105.315,105.037,104.815,104.671
Eastern Europe,80.839,82.968,84.726,86.123,87.061,87.588,88.456,89.18,89.963,89.977,89.528,88.71,88.255,87.989,87.89,87.823,87.769,87.839,88.14,88.67,89.298
Ecuador,98.819,99.431,99.969,100.435,100.783,101.021,101.143,101.151,101.097,100.978,100.816,100.576,100.307,100.022,99.726,99.415,99.084,98.739,98.388,98.047,97.731
Egypt,98.883,99.435,99.92,100.328,100.384,100.509,100.416,100.928,101.266,101.437,101.445,101.275,101.14,100.845,100.521,100.154,99.757,99.386,99.034,98.695,98.394
El Salvador,97.398,97.474,97.599,98.347,98.986,97.871,96.735,95.317,94.735,93.822,92.389,90.526,89.087,88.073,87.436,87.191,87.359,87.487,87.643,87.854,88.14
Equatorial Guinea,96.705,96.262,96.008,95.924,95.974,95.027,94.823,96.417,97.022,97.499,97.853,98.153,98.449,98.657,98.799,98.904,99.001,99.095,99.191,99.283,99.356
Eritrea,98.005,98.322,98.439,98.492,98.816,98.873,97.04,96.375,96.261,95.206,95.808,96.248,96.919,97.491,97.985,98.356,98.619,98.785,98.847,98.802,98.673
Estonia,74.353,76.947,78.173,80.031,84.265,85.663,86.06,87,87.968,86.366,85.681,85.487,85.617,86.078,86.765,87.503,88.188,88.804,89.465,90.329,91.278
Ethiopia,98.157,98.204,98.253,98.28,98.323,98.386,98.436,98.446,98.511,98.622,98.722,98.861,99.032,99.171,99.271,99.341,99.369,99.356,99.306,99.218,99.089
EUROPE,87.415,88.399,89.229,90.285,90.961,91.362,91.799,92.13,92.67,92.805,92.749,92.717,92.857,93.06,93.242,93.391,93.489,93.604,93.804,94.096,94.454
Fiji,109.421,103.636,106.283,104.154,103.519,102.319,102.542,102.671,103.176,103.307,103.154,103.027,103.011,102.983,102.96,102.89,102.849,102.822,102.819,102.824,102.809
Finland,91.543,92.064,92.944,93.308,93.448,93.61,93.604,93.862,94.253,94.871,95.368,95.881,96.181,96.452,96.6,96.555,96.381,96.194,96.147,96.301,96.594
France,92.568,93.349,94.162,94.808,95.356,95.841,95.309,94.936,94.667,94.391,94.318,94.507,94.673,94.957,95.279,95.614,95.853,95.989,96.1,96.286,96.616
French Guiana,107.754,105.397,103.293,111.611,110.479,100.437,108.146,110.148,108.7,107.517,106.613,99.852,99.59,99.372,99.149,98.902,98.659,98.458,98.323,98.283,98.338
