"Murder per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.650731,,3.83731842,3.83731842
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.972975,8.115988691,6.681117058,7.326701331
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.10029,14.41026872,9.806334496,4.389205469
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7674673,,0.7265129089,0.7265129089
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.05726,,48.2061882,48.2061882
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.83324,,7.484961987,7.484961987
Argentina,,,,,,,,,,,,,,,,,4.729413,6.113619,6.924515,7.49921,7.352122,,,,,,,9.417368,5.861383,3.725508,3.678448,4.079281,4.290652,4.341849,5.018478,5.292353,6.014939,5.766683,5.935135,6.260197,5.283456,4.519345,4.81883,4.660749,4.60122,4.334022,4.741041,4.957648,4.904284,5.452861,5.967418,7.111205,7.713972,7.412274,5.883619,5.253773
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.561113,3.25564946,3.210839272,2.352248501
Australia,1.015843,1.333495,1.461196,1.253034,1.300332,1.388074,1.3099,1.348076,1.539439,1.515578,1.51282,1.401972,1.554848,1.384701,1.549353,1.494365,1.397754,1.431604,1.65813,1.328447,1.571366,1.86659,1.774136,1.99311,1.892337,1.702264,2.104446,1.96169,1.859457,1.875632,1.919996,1.902391,1.997273,1.781484,2.006114,1.981491,1.944594,2.100435,1.985405,1.797357,2.144797,1.920333,1.681508,1.832898,1.768907,1.617955,1.743831,1.677544,1.559592,1.553127,1.591825,1.582942,1.471317,1.315963,0.7799816,0.7799816
Austria,,,,,,0.9754345,1.57829,1.195494,0.9651324,1.156825,1.222318,1.08231,0.9955724,0.8496903,1.012552,1.008147,1.101805,0.9906188,0.959576,1.120159,1.489927,1.348261,1.338738,1.504048,1.603793,1.679152,1.289233,1.298394,1.514639,1.316937,1.207952,1.25449,1.530068,1.720306,1.725261,1.439891,1.316409,1.295825,1.180816,1.134826,1.610287,1.231955,1.394669,1.307744,1.096003,1.013593,1.12697,0.8800058,1.090631,0.8085831,0.8752125,0.9441938,0.848053,0.606585,0.7076773,0.8093888
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.095699,3.602492,,,2.856195,3.498039,2.758116,3.877172,2.537684,6.502912,5.311122,50.55832,40.67833,60.61679,9.161791,7.749886,6.293352,5.967566,4.995807,3.25028,,2.998835,,2.936593771,2.694325568
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.282,23.338,18.423,20.97188,16.21,22.38367081,17.137
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1920455,,1.181745,0.6598907,,,,,,,,,0.4836419,0.2851388,0.2713796,1.126918,0.51556,0.8951424,,1.107708812,0.6191663277
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85853,,9.665283203,8.758199518
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.708,9.267,7.627024,8.284,14.4835186,14.4835186
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.726756,5.758856,,,4.554559,3.94634,4.420306,5.150649,6.636862,6.869883,6.362295,8.558018,10.17637,10.3568,11.21371,,11.27892,11.52993,10.50504,10.50552,10.2064,10.36667,8.667797,8.917082787,8.917082787
Belgium,,,,,0.6252683,0.6709469,0.6680127,0.6136711,0.5745561,0.6267717,0.631354,0.6816117,0.5408548,0.638642,0.5830883,0.7340013,0.7378858,0.7811888,0.8244497,0.7808602,1.045349,1.041389,1.170523,1.034372,1.022571,0.8588344,0.9454561,0.8580779,1.050975,1.620817,1.462225,1.314173,1.377631,1.740916,1.670277,1.927574,2.093199,1.529151,1.522966,1.329768,1.337188,1.309811,1.619439,1.849221,1.694499,1.550877,1.898343,1.747339,1.911293,2.372874,,,1.67615,,1.634858,1.352431279
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.151,27.203,18.88,33.612,31.382,15.49296,25.93,28.02595901,28.1117907
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69587,,15.81544971,15.81544971
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.314584,,5.696219921,4.072302119
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.740839,,4.380421162,4.380421162
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0867586,0.1311965,0.2365877,0.0592612,0.0416768,0.0185929,0.085321,,,,,,,,,,,1.887113,,1.773255944,1.825647078
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.339478,,24.19230652,22.86416398
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.83768,14.66647,16.0748,15.57811,16.07343,17.22851,16.99093,20.21264,21.87905,20.66276,18.75016,19.72751,20.44406,22.94776,23.54434,23.929,24.14958,24.27682,25.05934,26.06607,26.53161,26.85295,25.0808,24.40846
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.204042,,0.9150566459,0.9150566459
Bulgaria,,,,,,,,,,,,,,,2.102056,1.954299,2.439304,1.99084,2.18965,2.714065,2.115556,2.745971,2.681252,2.30475,2.440799,2.250695,1.998752,2.324718,2.517551,2.185734,2.426007,3.163773,3.141305,2.712591,2.978453,3.028756,2.771605,2.286045,2.4604,2.48264,3.194783,3.756567,4.426821,4.744432,4.812719,4.455563,4.730007,4.160477,3.549061,2.607907,3.158386,2.840947,2.618082,2.445606,2.527269,2.035024
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.12723,,22.51925087,22.51925087
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.43919,,44.77554703,44.77554703
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.81548,,21.61433411,18.64992695
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.96422,,19.00482559,19.00482559
Canada,0.9494345,1.042575,1.019474,1.122862,1.133821,1.081836,1.154186,1.076718,1.203716,1.049207,1.467203,1.271099,1.485572,1.398499,1.362461,1.401804,1.335481,1.649927,1.762564,1.931012,2.139122,2.307273,2.444624,2.546378,2.516828,2.714096,2.49858,2.614646,2.495906,2.432183,2.040443,2.259448,2.35941,2.315279,2.240156,2.035812,1.971857,2.117702,1.804504,2.046944,2.014686,2.206501,2.023427,1.750105,1.687431,1.600344,1.708232,1.429128,1.529297,1.483391,1.504231,1.507127,1.499563,1.433002,1.604855,1.715653658
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.307624,,12.11614895,12.11614895
Central African Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.60221,,36.04470825,36.04470825
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00304,,23.82643318,23.82643318
Chile,,,,,,4.156727,5.110062,5.719413,5.722294,4.730775,5.913268,6.572079,2.097482,2.031068,2.646292,2.372707,8.107094,2.148309,7.999023,5.936369,4.231345,4.6589,5.541167,6.175467,2.631686,2.383776,1.932559,2.296306,2.635239,2.735291,2.79021,3.280102,3.49208,3.420783,3.52857,3.448721,3.227068,2.899566,3.198202,2.990236,3.204371,3.499067,3.056724,2.671421,2.997749,3.299999,3.070076,2.594185,2.826006,2.966781,5.200924,5.415852,5.345984,5.206778,5.260017,5.721781
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.844517,,2.056675196,1.717357853
Colombia,,,,36.00986,28.88412,39.93181,51.42246,50.82036,64.36021,49.60571,42.03038,44.1777,44.17412,39.79564,34.03672,34.22561,28.61289,29.40331,22.49152,19.59128,,,23.58749,,24.55028,23.76367,25.17898,27.6959,,,,,,,36.87381,46.28547,53.10861,52.27951,60.95803,67.13032,71.68139,90.58113,90.92706,87.38399,79.70075,62.09855,65.02799,58.45924,62.23352,63.80735,69.68295,71.27728,73.76714,,50.46709,41.77329
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.972472,,11.28646374,11.28646374
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.34145,,45.12899399,45.12899399
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.57157,,23.47578049,23.47578049
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9642753,,0.8402708173,0.8402708173
Costa Rica,,,,,,,,,,,,,5.248402,4.72312,4.729482,4.089718,5.485737,4.007665,3.282072,3.912979,5.62072,5.538414,4.338424,4.277816,4.670167,6.482585,6.855075,5.457911,4.564896,4.700697,6.277499,5.962232,5.597947,4.25039,5.210166,5.47455,4.337972,5.237706,4.67652,4.817643,5.018489,4.820554,5.65097,5.833593,5.911006,5.366674,6.116924,6.091542,6.199417,6.468807,6.65291,6.3992,6.059562,7.034359,6.23091,7.078857
