Total number of deaths from interpersonal violence,2002,2004
Afghanistan,916,813
Albania,187,208
Algeria,3745,3102
Andorra,1,1
Angola,5217,6226
Antigua and Barbuda,7,6
Argentina,3329,2596
Armenia,112,100
Australia,284,253
Austria,75,63
Azerbaijan,244,235
Bahamas,66,72
Bahrain,8,8
Bangladesh,10667,11744
Barbados,23,44
Belarus,1293,1007
Belgium,172,164
Belize,30,63
Benin,659,1046
Bhutan,97,27
Bolivia,345,335
Bosnia and Herzegovina,84,73
Botswana,109,390
Brazil,57516,57250
British Virgin Islands,,
Brunei,5,4
Bulgaria,238,235
Burkina Faso,1658,2448
Burundi,1189,2677
Cambodia,2360,2534
Cameroon,1695,2808
Canada,455,446
Cape Verde,10,53
Central African Rep.,898,1202
Central African Republic,,
Chad,970,1860
Chile,861,861
China,38838,27693
Colombia,31500,36619
Comoros,56,72
"Congo, Dem. Rep.",10900,20062
"Congo, Rep.",588,665
Cook Is,0,0
Costa Rica,264,279
Cote d'Ivoire,4483,9578
Croatia,86,85
Cuba,600,680
Cyprus,2,2
Czech Rep.,136,136
Czech Republic,,
Denmark,56,52
Djibouti,24,27
Dominica,4,7
Dominican Rep.,878,1588
Dominican Republic,,
Ecuador,2958,3042
Egypt,813,912
El Salvador,2462,2561
Equatorial Guinea,63,113
Eritrea,305,693
Estonia,207,120
Ethiopia,14162,14894
Fiji,7,6
Finland,165,134
France,409,501
Gabon,122,218
Gambia,139,212
Georgia,197,166
Germany,593,570
Ghana,1885,2555
Greece,130,97
Grenada,4,5
Guatemala,4460,5101
Guinea,1993,1531
Guinea-Bissau,176,253
Guyana,76,168
Haiti,835,482
Honduras,911,1384
Hungary,238,222
Iceland,2,3
India,57440,61229
Indonesia,20503,20100
Iran,2601,1742
Iraq,709,2016
Ireland,38,30
Israel,45,312
Italy,631,559
Jamaica,,899
Japan,785,686
Jordan,157,369
Kazakhstan,3041,2444
Kenya,4702,7221
Kiribati,6,6
"Korea, Dem. Rep.",4399,4508
"Korea, Rep.",876,1047
Kuwait,33,36
Kyrgyz Republic,,
Kyrgyzstan,449,443
Lao,,
Laos,316,299
Latvia,294,236
Lebanon,92,99
Lesotho,135,260
Liberia,1064,562
Libya,138,171
Lithuania,369,313
Luxembourg,8,5
"Macedonia, FYR",62,106
Madagascar,1675,2128
Malawi,1053,2318
Malaysia,2084,2358
Maldives,22,5
Mali,1606,2029
Malta,6,3
Marshall Islands,1,1
Mauritania,359,438
Mauritius,31,33
Mexico,10359,9591
"Micronesia, Fed. Sts.",2,1
Moldova,525,320
Monaco,0,0
Mongolia,91,83
Montenegro,,
Morocco,332,328
Mozambique,1629,4066
Myanmar,8147,7478
Namibia,530,255
Nauru,1,1
Nepal,3653,3617
Netherlands,180,200
New Zealand,47,55
Nicaragua,607,821
Niger,1642,2587
Nigeria,27890,24477
Niue,0,0
Norway,49,38
Oman,58,51
Pakistan,5514,5521
Palau,0,0
Panama,297,388
Papua New Guinea,873,900
Paraguay,968,994
Peru,957,835
Philippines,16570,17486
Poland,690,617
Portugal,139,179
Puerto Rico,,
Qatar,7,8
Romania,809,708
Russia,47461,42918
Rwanda,1653,2405
Saint Kitts and Nevis,5,5
Saint Lucia,11,34
Saint Vincent and the Grenadines,16,19
Samoa,2,2
San Marino,0,0
Sao Tome and Principe,7,8
Saudi Arabia,699,743
Senegal,1081,1632
Serbia,,
Serbia and Montenegro,191,284
Seychelles,3,3
Sierra Leone,2399,1832
Singapore,35,55
Slovak Republic,120,107
Slovenia,15,41
Solomon Islands,10,7
Somalia,3141,265
South Africa,19328,32303
South Korea,,
Spain,420,600
Sri Lanka,1496,1312
St. Lucia,,
St. Vincent and the Grenadines,,
Sudan,9989,10320
Suriname,18,56
Swaziland,64,235
Sweden,92,111
Switzerland,66,68
Syria,468,476
Tajikistan,396,143
Tanzania,8701,9790
Thailand,5844,4409
Timor-Leste,130,119
Togo,502,833
Tonga,1,1
Trinidad and Tobago,114,181
Tunisia,188,164
Turkey,2405,2096
Turkmenistan,488,421
Tuvalu,0,0
Uganda,5201,7057
Ukraine,7557,5653
United Arab Emirates,29,19
United Kingdom,628,1210
United States,15726,17647
Uruguay,189,161
Uzbekistan,951,921
Vanuatu,3,2
Venezuela,8891,10295
West Bank and Gaza,,
Vietnam,3373,3165
Yemen,,
"Yemen, Rep.",414,510
Zambia,391,2582
Zimbabwe,1446,4284
