,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,47000,,,,55000,58000,45000,45000,45000,45000,383000,429000,429000,400000,400000,400000,,120000,130000,27000,27000,51000,51000,53000,,
Albania,40400,,,,,,,65000,65000,65000,86500,67500,67500,67500,67500,67500,40500,27000,22000,21500,22500,11500,14500,14500,,
Algeria,170000,,,,126000,126000,126000,126000,126000,126000,162900,164900,270200,268200,303200,305200,305200,317900,308700,318000,319000,334000,334000,334000,,
Angola,49500,,,,107000,115000,150000,128000,128000,120000,122000,106400,125500,129000,127500,117500,145500,110000,130000,118000,118000,110000,117000,117000,,
Antigua and Barbuda,100,,,,,,,,,,200,200,150,150,200,200,200,200,200,170,170,170,170,0,,
Argentina,108000,,,,95000,85000,70000,65000,65000,69000,98500,103700,104240,104240,101740,102300,101300,101100,102600,102000,102000,107000,107000,107000,,
Armenia,,,,,,,,20000,21000,45000,61000,58400,61000,54400,54400,42300,43000,45600,45600,49000,49000,47000,42000,42000,,
Australia,70400,,,,70000,68000,68000,68000,68000,65000,57100,58800,58400,58400,56200,51600,51700,50900,53600,52000,53000,51000,55000,55000,,
Austria,54700,,,,48000,43000,44000,44000,45000,45000,55800,55800,45500,45500,40500,40500,34600,34600,34600,39000,40000,40000,35000,35000,,
Azerbaijan,,,,,,,,43000,45000,50000,126700,110700,106700,87150,84900,87100,87100,87100,81500,81000,82000,82000,82000,82000,,
Bahamas,500,,,,,,,,,,2100,3200,3160,3160,3200,3200,3200,900,900,860,860,860,860,1000,,
Bahrain,2800,,,,5000,8000,8000,7000,7000,8000,20000,20300,20850,20850,21150,21200,21200,20900,21400,21000,21000,19000,19000,19000,,
Bangladesh,91300,,,,103000,103000,107000,107000,107000,113000,170500,167200,170700,170700,192200,137000,200200,200200,188700,251000,252000,214000,221000,221000,,
Barbados,1000,,,,,,,,,,600,600,600,610,610,600,600,600,600,610,610,610,610,1000,,
Belarus,,,,,,,,102000,115000,65000,106400,93500,89800,91000,103900,91100,192900,189800,182900,182000,183000,183000,183000,183000,,
