Military expenditure (% of GDP),1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,2.007599021,1.994817761,1.630821673,1.614267185,2.195463918,1.912833333,1.759663866,3.342446941,4.436038961
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,
Albania,5.615004704,5.165676373,5.888300832,,4.649458883,3.199297903,2.500385762,2.099713037,1.517095504,1.378706629,1.228881993,1.242064526,1.22789866,1.299607362,1.315793712,1.359223905,1.353507455,1.314877184,1.543749668,1.820144628,1.971507353,2.053258036,1.602358623,1.519248206
Algeria,1.745350428,1.535553959,1.457358755,1.231497962,2.194237699,2.555746147,3.137780742,2.953883203,3.093385205,3.632832286,3.956897932,3.767525072,3.443676527,3.802102917,3.673478205,3.248295252,3.297044049,2.853713829,2.643327068,2.901138139,3.024540433,3.82698824,3.502365342,4.585089377
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,7.05625105,7.565727256,17.52184612,5.707519839,4.706501677,2.453641144,5.993886236,2.642426387,17.33737115,6.392766792,4.524358889,3.837421143,4.800881087,4.134137685,4.83484199,4.714844785,3.362231661,3.752277362,4.391622455,4.248274996,3.61260449
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1.980875547,1.775563838,1.368213355,1.420137276,1.340463622,1.340352364,1.457038777,1.473073803,1.241228368,1.140139547,1.136316645,1.220359449,1.148823706,1.184234797,1.091879972,1.060894065,0.9572351166,0.9277384393,0.8622652573,0.8750014158,0.8490854397,0.9658142639,0.9386164015,0.7351160844
Armenia,,,,,2.095489753,2.121652479,,4.05931198,3.281866893,3.903846066,3.527373827,3.696413306,3.558483186,3.129579561,2.700973532,2.726753396,2.741168589,2.871307166,2.947831514,3.041961863,3.391039294,4.169782067,4.226593624,4.034254065
Aruba,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2.279057989,2.145530929,2.104419796,2.14885408,2.19338077,2.208652171,2.166094873,2.070449745,1.970411865,1.912354302,1.912731822,1.933642228,1.889998644,1.920952887,1.927069884,1.903113541,1.885074156,1.871127005,1.888280876,1.881493139,1.873429251,1.936759555,1.970069514,1.861887546
Austria,1.298809129,1.232371843,1.197336653,1.159306953,1.108381665,1.12258985,1.105737477,1.072117837,1.047296914,1.041661202,1.012446922,1.000670218,1.002525058,0.9332359413,0.906456032,0.9382390772,0.9194409918,0.880757597,0.8126331384,0.9331443188,0.9046989362,0.9078729799,0.9266335121,0.8552697062
