Female agriculture workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,12.5,,11,22.29999924,,,
American Samoa,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,1,,0.6999999881,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,1.100000024,,,,,,
Argentina,,,,,,,,,,,0.200000003,0.1000000015,0.3000000119,0.3000000119,0.200000003,0.400000006,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.3000000119,0.5,1,0.8999999762,0.6000000238,0.3000000119,
Armenia,,,,,,,,,,,,,,,,,,,,,,3.900000095,42.59999847,43.40000153,44.59999847,46.40000153,46.09999847,
Aruba,,,,,,,,,,,,,,,0.1000000015,,,0.3000000119,,,,,,,,,,
Australia,4.099999905,4.5,4.300000191,4.300000191,4,4.400000095,4.300000191,3.799999952,4.199999809,3.700000048,3.799999952,3.700000048,3.599999905,3.799999952,3.599999905,3.599999905,3.5,3.599999905,3.5,3.5,3.5,3.5,3.099999905,2.599999905,2.700000048,2.5,2.400000095,2.400000095
Austria,,,,12.5,10.80000019,10.5,10.19999981,10.10000038,9.300000191,9.199999809,9.399999619,8.5,8,7.800000191,8,8.5,8.399999619,7.5,7.300000191,6.800000191,6.099999905,6.099999905,6,5.800000191,5.199999809,5.599999905,5.699999809,5.900000095
Azerbaijan,,,,,,,,,,,,,,,,,,,,47.59999847,46.09999847,42.79999924,39.40000153,41.79999924,38,37.40000153,36.70000076,42
Bahamas,,,,,,,1.700000048,,,2.200000048,,1.5,1.5,1.399999976,1.600000024,1.100000024,1.200000048,2.200000048,1.299999952,0.8999999762,,1.399999976,1.700000048,0.6000000238,0.400000006,0.3000000119,0.5,0.200000003
Bahrain,,0,0,,,,,,,,,0,,,,,,,,,,0.200000003,,,,,,
Bangladesh,,,,,8.899999619,9.300000191,11.39999962,,,71.5,,84.90000153,,,,,77.5,,,,76.90000153,,,58.59999847,,68.09999847,,
Barbados,,8.899999619,8.5,7.699999809,7.800000191,7.199999809,7.5,6.699999809,6.599999905,6.599999905,5.5,4.400000095,4.199999809,4.5,4.300000191,3.599999905,4.300000191,4.199999809,3.599999905,3.299999952,3.299999952,3.599999905,3.099999905,3.5,2.5,,,
Belgium,2,1.899999976,1.899999976,1.899999976,1.899999976,1.899999976,1.899999976,1.799999952,,,,,,1.700000048,1.600000024,1.5,1.5,1.399999976,1.399999976,1.5,1.100000024,1.100000024,1.200000048,1.200000048,1.299999952,1.5,1.299999952,
Belize,,,,,,,,,,,,,,4.699999809,4.5,6.099999905,5,6.099999905,5.400000095,6.400000095,,,,,,3.299999952,,
Bermuda,,,,,,,,,,,,,,,,,,,,,0.200000003,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,63,,
