Total industry workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,24.29999924,,24,26,,,
American Samoa,,,,,,,,,,,44.40000153,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,20.60000038,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,20.5,,18.89999962,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,14.60000038,,,,,,
Argentina,,,29.29999924,29.20000076,30.89999962,,,,,,31.60000038,32.70000076,32.09999847,29.5,28.5,27,24.89999962,25.39999962,24.79999924,23.60000038,22.70000076,21.89999962,20.20000076,21.70000076,23,23.5,23.70000076,
Armenia,,,,,,,,,,,,,,,,,,,,,,23.10000038,17,16.5,16,15.89999962,15.60000038,
Aruba,,,,,,,,,,,,,,,18.60000038,,,16.29999924,,,,,,,,,,
Australia,31,30.5,29.70000076,28.39999962,28,27.10000038,26.60000038,26,26.10000038,26.29999924,25,23.39999962,23.5,23.60000038,23.60000038,22.89999962,22.39999962,22.10000038,21.79999924,21.29999924,21.79999924,20.89999962,21,21,21.20000076,21.10000038,21.20000076,21.20000076
Austria,,,,38.79999924,38.09999847,38.09999847,37.79999924,37.70000076,37.29999924,37,36.79999924,36.90000153,35.59999847,35.09999847,32.5,32,31,30.10000038,30.39999962,30.60000038,30.60000038,29.89999962,29.60000038,29.60000038,27.79999924,27.60000038,28.20000076,27.29999924
Azerbaijan,,,,29.10000038,29.10000038,29.29999924,29.29999924,29.10000038,29.29999924,29,22.89999962,22.29999924,20.29999924,19.20000076,18.79999924,17.79999924,15.10000038,14,11.10000038,11.19999981,10.89999962,10.80000019,11.5,12.89999962,11.89999962,12.10000038,12.39999962,12.60000038
Bahamas,,,,,,,15.30000019,,,14.19999981,,15.19999981,15.30000019,12.10000038,12.89999962,14.19999981,14.69999981,14.60000038,15.19999981,16.60000038,,17,16.60000038,15.80000019,16.10000038,17.79999924,18.39999962,17.89999962
Bahrain,,34.70000076,34.20000076,,,,,,,,,28.5,,,,,,,,,,28,,,,,,
Bangladesh,,,,,11,11.5,12.5,,,15.39999962,,13,,,,,9.600000381,,,,10.30000019,,,13.69999981,,14.5,,
Barbados,,21.60000038,23.60000038,23.39999962,22.79999924,23.20000076,22.20000076,22.39999962,22.70000076,23.20000076,21.89999962,20.10000038,19.70000076,19.10000038,18.89999962,19.60000038,18.60000038,19.20000076,20.89999962,21.39999962,20.39999962,19.60000038,18.70000076,17.60000038,17.29999924,,,
Belgium,34.29999924,32.79999924,31.79999924,31,30.39999962,29.79999924,29.20000076,28.5,,,,,,27.29999924,26.89999962,26.39999962,25.89999962,25.29999924,25.10000038,26.70000076,26.29999924,26,25.39999962,24.79999924,24.89999962,24.70000076,24.70000076,
Belize,,,,,,,,,,,,,,20.20000076,19.29999924,17.79999924,17,18.20000076,18,17,,,,,,17.89999962,,
Bermuda,,,,,,,,,,,,,,,,,,,,,14.80000019,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,17.20000076,,
Bolivia,20.60000038,19.70000076,17.29999924,17.39999962,16.79999924,16,12.69999981,12.80000019,12.80000019,24.70000076,25.10000038,29.39999962,31.39999962,28.20000076,29.60000038,28.70000076,28.29999924,29.70000076,,28.20000076,28.20000076,16.60000038,18.79999924,,,,,
Botswana,,,,,,10.60000038,,,,,,,,,,,25.60000038,,21.89999962,,20.89999962,25.5,,22.60000038,,15.19999981,,
Brazil,,24.70000076,23.39999962,25.39999962,21.79999924,22.10000038,24.20000076,23.79999924,23.29999924,23.70000076,,,,,,,,,,,21.20000076,,21.39999962,20.89999962,21,21.39999962,21.39999962,
British Virgin Islands,,,,,,,,,,,,21.29999924,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,21.39999962,,,,,,
Bulgaria,39.59999847,40.09999847,40.59999847,41.20000076,41.59999847,41.90000153,42.09999847,42.5,42.29999924,41.90000153,40.5,37.20000076,38.5,36.59999847,34.79999924,33.5,32.59999847,32,30.60000038,28.89999962,28.29999924,,27.79999924,32.79999924,33.09999847,34.20000076,34.5,35.5
Burkina Faso,,,,,,,,,,,,,,,3.299999952,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,4.199999809,,8.399999619,10.5,,,3.5,,,
Cameroon,,,,,,,6.800000191,,,,,,,,,,,,,,,9.100000381,,,,,,
Canada,28.5,28.29999924,26.5,25.5,25.79999924,25.39999962,25.20000076,24.79999924,25,25.10000038,24.39999962,23,22.29999924,21.60000038,21.70000076,22,21.89999962,22.10000038,22.20000076,22.39999962,22.5,22.39999962,22.5,22.20000076,22.29999924,22,22,21.60000038
Cayman Islands,,,,,,,,,,,,18.79999924,,,,,,,,,,,,,,22.20000076,21.29999924,19.5
Chad,,,,,,,,,,,,,,2.099999905,,,,,,,,,,,,,,
Chile,23.70000076,23.70000076,18.20000076,18.10000038,20.20000076,20.20000076,21.20000076,23,24.89999962,26.5,,26.29999924,,27.20000076,,26.10000038,,27.29999924,,23.39999962,,23.89999962,22.10000038,23.39999962,23.60000038,23,23.29999924,23.39999962
China,,,,,,,,22.20000076,22.39999962,21.29999924,19,19.20000076,19.60000038,20.20000076,20.70000076,21,20.79999924,20.39999962,17.89999962,17.5,17.29999924,17.29999924,17.70000076,,,,,
Colombia,34,,,,,29.29999924,29,30,30,29.89999962,30.89999962,30.60000038,30.89999962,,31.39999962,31.5,29.79999924,27.60000038,26.5,24.10000038,25.5,18.39999962,20,18.60000038,19.70000076,18.79999924,19.29999924,19.60000038
Costa Rica,24,22.10000038,20.89999962,21.70000076,20.10000038,20.89999962,22.89999962,24.70000076,24,26.20000076,25.89999962,26.29999924,26.20000076,25.70000076,26.10000038,24.10000038,23.29999924,23.60000038,23,23.20000076,22.29999924,23.29999924,22.5,22.20000076,22,21.5,21.70000076,22.20000076
Croatia,,,,,,,,,,,,,,,,,29.10000038,29.5,29.79999924,30.60000038,28.79999924,30,29.70000076,29.70000076,29.79999924,28.60000038,29.29999924,30.60000038
Cuba,,,,,,,,,,,,29.29999924,28.89999962,27.5,25.60000038,22.89999962,22.89999962,22.89999962,21.29999924,19.10000038,19.10000038,20.20000076,20.20000076,20.20000076,19.39999962,19.10000038,18.10000038,18
Cyprus,33.79999924,33.09999847,32.5,31.79999924,31.60000038,31,30.29999924,29.79999924,29.60000038,29,28.70000076,28.89999962,28.10000038,26.79999924,25.79999924,25.29999924,,,,23.70000076,23.29999924,23.70000076,23.20000076,22.89999962,24,24.10000038,22.60000038,22.5
Czech Rep.,,,,,,,,,,,,,,43.5,42.59999847,42.20000076,42,41.59999847,41.29999924,40.59999847,39.90000153,40.40000153,39.90000153,39.70000076,39.40000153,39.59999847,40.09999847,40.20000076
Denmark,,29.39999962,,28.29999924,26.5,27.79999924,27.79999924,27.89999962,26.79999924,27,27.20000076,27.29999924,27,25.89999962,26.29999924,27.39999962,27,26.79999924,27,26.70000076,26.39999962,25.39999962,24.5,24.10000038,23.70000076,24.10000038,23.60000038,23.29999924
Dominica,,,,,,,,,,32.59999847,,21.60000038,,,,,,18.20000076,,17.60000038,,19.79999924,,,,,,
