Male industry workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,23.60000038,,23.79999924,25.60000038,,,
American Samoa,,,,,,,,,,,43,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,32.70000076,,32.09999847,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,24.39999962,,,,,,
Argentina,,,,,,,,,,,39.40000153,40.20000076,40.20000076,37.79999924,37,34.5,32.59999847,34,34,32.20000076,31.10000038,30,27.89999962,29.20000076,31.29999924,32.70000076,33.09999847,
Armenia,,,,,,,,,,,,,,,,,,,,,,32.59999847,22.10000038,21.89999962,20.70000076,21.10000038,20.79999924,
Aruba,,,,,,,,,,,,,,,28.39999962,,,25.60000038,,,,,,,,,,
Australia,39.29999924,38.59999847,37.90000153,36.29999924,36,34.90000153,34.59999847,34.20000076,34.79999924,35.09999847,34,31.79999924,32.09999847,32.20000076,32.29999924,31.5,31,30.60000038,30.39999962,29.89999962,30.60000038,29.79999924,30,30.10000038,30.70000076,30.60000038,31.10000038,31.20000076
Austria,,,,49.29999924,48.70000076,48.79999924,48.70000076,48.70000076,48.5,48.5,48.59999847,48.29999924,47,47.09999847,43.79999924,43.40000153,42.70000076,41.79999924,42.79999924,43.20000076,43.29999924,42.70000076,43.09999847,43.09999847,39.70000076,39.79999924,40.59999847,39.09999847
Azerbaijan,,,,,,,,,,,,,,,,,,,,14.19999981,13.89999962,14.10000038,15.19999981,18.10000038,15.19999981,15.19999981,19.79999924,21.39999962
Bahamas,,,,,,,22.39999962,,,22.10000038,,24.20000076,24.20000076,18.70000076,19.60000038,22.29999924,22.29999924,22.39999962,24.39999962,26.5,,27.10000038,28.29999924,25.60000038,26.29999924,29.60000038,30.60000038,29.39999962
Bahrain,,38.20000076,37.79999924,,,,,,,,,32.79999924,,,,,,,,,,31.79999924,,,,,,
Bangladesh,,,,,9.300000191,10,9.800000191,,,10.89999962,,15.69999981,,,,,10.80000019,,,,11,,,12.30000019,,15.10000038,,
Barbados,,23.70000076,27.39999962,26.89999962,25.60000038,27.89999962,26.89999962,27.29999924,29,30.70000076,28.79999924,26,25.89999962,24.60000038,25.20000076,25.5,24.89999962,26.60000038,28.79999924,30.39999962,29.29999924,28.29999924,26.60000038,25.5,26.20000076,,,
Belgium,43,41.5,40.40000153,39.59999847,39,38.5,38,37.40000153,,,,,,38.20000076,37.5,37.09999847,36.59999847,36.09999847,36,37.40000153,36.70000076,36.29999924,35.59999847,34.90000153,35.29999924,35.09999847,35.59999847,
Belize,,,,,,,,,,,,,,23.29999924,22.60000038,21.5,19.70000076,19.60000038,21.29999924,19.29999924,,,,,,21.79999924,,
Bermuda,,,,,,,,,,,,,,,,,,,,,25.29999924,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,23.70000076,,
Bolivia,21.20000076,20.20000076,17.70000076,17.89999962,17.29999924,16.29999924,12.89999962,13.10000038,13.10000038,34.20000076,34.59999847,39.70000076,42.09999847,38.20000076,40.20000076,38.59999847,38.70000076,39.59999847,,37.20000076,39.29999924,22.39999962,24.5,,,,,
Botswana,,,,,,17.20000076,,,,,,,,,,,30.39999962,,26.70000076,,26.29999924,31.10000038,,28,,19.20000076,,
Brazil,,30,28.39999962,31.20000076,26.70000076,27,29.20000076,29.5,29,29.10000038,,,,,,,,,,,26.70000076,,27.5,26.60000038,26.79999924,27.29999924,27.5,
