Male service workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,53.79999924,,53.40000153,53.79999924,,,
American Samoa,,,,,,,,,,,51.90000153,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,53.59999847,,64.40000153,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,63.09999847,,,,,,
Argentina,,,,,,,,,,,59.70000076,58.29999924,58.59999847,61.20000076,62,64.30000305,65.90000153,64.19999695,64.5,66.30000305,67.5,68.59999847,70.5,68.30000305,66.90000153,65.59999847,65.5,
Armenia,,,,,,,,,,,,,,,,,,,,,,55.40000153,30.29999924,29.29999924,30.5,32.79999924,32.90000153,
Aruba,,,,,,,,,,,,,,,71.30000305,,,73.5,,,,,,,,,,
Australia,52.70000076,53.59999847,54.20000076,55.5,56.20000076,57.70000076,58.29999924,58.90000153,58.20000076,58.5,59.40000153,61.70000076,61.59999847,61.20000076,61.40000153,62.5,62.79999924,63,63.5,64,63.20000076,64.30000305,64.40000153,64.80000305,64.5,64.5,64.09999847,64.19999695
Austria,,,,42.29999924,42.59999847,42.90000153,43.5,43.29999924,43.70000076,44.09999847,44.29999924,44.70000076,46.29999924,46.20000076,49.40000153,49.90000153,50.79999924,52,51,50.90000153,50.90000153,51.90000153,51.40000153,51.29999924,55.20000076,54.40000153,53.90000153,55.09999847
Azerbaijan,,,,,,,,,,,,,,,,,,,,48.29999924,49.70000076,48.5,43.79999924,46,43.90000153,43.70000076,43.70000076,43.5
Bahamas,,,,,,,69.5,,,70.09999847,,67.09999847,67.09999847,71.80000305,71.09999847,70.19999695,68.90000153,71.30000305,69.30000305,66.19999695,,65.5,65.80000305,68.69999695,65.5,63.5,64.80000305,66.19999695
Bahrain,,57.20000076,57.79999924,,,,,,,,,64,,,,,,,,,,63.40000153,,,,,,
Bangladesh,,,,,25.10000038,26.5,27.60000038,,,23.89999962,,25.29999924,,,,,33.70000076,,,,30.29999924,,,37.90000153,,43,,
Barbados,,66.59999847,63.90000153,64.80000305,64.30000305,62.70000076,64.40000153,63.70000076,62.5,55.40000153,55.79999924,60,56.90000153,60.70000076,59.09999847,59.59999847,57.20000076,57,56.20000076,56,57.40000153,58.20000076,58.79999924,59.5,61.79999924,,,
Belgium,53.29999924,54.70000076,55.79999924,56.59999847,57.20000076,57.79999924,58.40000153,59,,,,,,55.79999924,56.09999847,56.59999847,57,57.59999847,57.70000076,59.70000076,60.5,61.29999924,62.20000076,62.79999924,62,61.90000153,61.29999924,
Belize,,,,,,,,,,,,,,40.79999924,43.29999924,41.90000153,40.29999924,39.70000076,44.09999847,43.5,,,,,,49.70000076,,
Bermuda,,,,,,,,,,,,,,,,,,,,,64.69999695,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,43.70000076,,
Bolivia,26.70000076,27.70000076,29.39999962,28.20000076,28.89999962,29.60000038,33.09999847,32.79999924,32.90000153,62,62.79999924,57.59999847,54.5,58.90000153,57.20000076,58,54.79999924,53.29999924,,57.59999847,54.79999924,34.59999847,33.09999847,,,,,
Botswana,,,,,,27.39999962,,,,,,,,,,,49.70000076,,45.5,,50.59999847,51.40000153,,43.29999924,,45.5,,
Brazil,,36.40000153,37.20000076,38,38.20000076,39.40000153,39.40000153,41.09999847,41.59999847,42.70000076,,,,,,,,,,,48.79999924,,48.59999847,49.09999847,48.29999924,48.70000076,49.59999847,
British Virgin Islands,,,,,,,,,,,,62.09999847,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,69.30000305,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,51,51,50.29999924,50,49.20000076
Cambodia,,,,,,,,,,,,,,,,,,,23.10000038,,20.20000076,20.20000076,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,25.5,,,,,,
Canada,56,55.90000153,58,59.09999847,58.70000076,59.20000076,59.79999924,60,59.79999924,59.70000076,60.5,61.90000153,62.90000153,63.5,63.40000153,63.40000153,63.59999847,63.59999847,63.40000153,63.5,63.29999924,63.90000153,63.90000153,64.09999847,64.09999847,64.19999695,64.5,65
Cayman Islands,,,,,,,,,,,,64,,,,,,,,,,,,,,57.29999924,59.20000076,61.09999847
Chad,,,,,,,,,,,,,,15.80000019,,,,,,,,,,,,,,
Chile,51.09999847,51.5,56.70000076,57.20000076,55.20000076,49.20000076,47.79999924,45.79999924,44.20000076,43.5,,43.79999924,,45.90000153,,47.79999924,,47.20000076,,51.79999924,,52.59999847,56.59999847,52.59999847,52.70000076,53.79999924,53.40000153,53.40000153
Colombia,59.09999847,,,,,64.5,65.30000305,63.59999847,63.90000153,64.19999695,63.40000153,64.09999847,62.70000076,,62.20000076,61.90000153,64.5,66,67.69999695,70.59999847,68.09999847,48.29999924,47.59999847,49.09999847,49.5,47.59999847,49.70000076,50.79999924
Costa Rica,40.09999847,40.79999924,39.70000076,41.70000076,41.20000076,42.5,40.90000153,37.70000076,39,38.70000076,39.20000076,39.29999924,40.5,42.29999924,43.20000076,45.40000153,45.29999924,45.70000076,46.70000076,46.40000153,46.90000153,51,50.90000153,52,52.5,52.29999924,53.59999847,54.20000076
Croatia,,,,,,,,,,,,,,,,,45.29999924,46.40000153,47.40000153,46.09999847,49.90000153,47.29999924,47.09999847,45.20000076,45.5,46.79999924,47.40000153,47.79999924
Cuba,,,,,,,,,,,,,,,,41.79999924,41.90000153,41.90000153,49.20000076,43.90000153,43.79999924,48.79999924,48.70000076,48.59999847,50,51,52.40000153,53.5
Cyprus,45.59999847,47,48,49,49.40000153,50.40000153,51.29999924,52.29999924,52.90000153,54,54.79999924,55,55.59999847,56.29999924,56.90000153,57.59999847,,,,59.20000076,58.5,61.40000153,60.90000153,60.79999924,59.40000153,59,61.40000153,60.09999847
Czech Rep.,,,,,,,,,,,,,,38.59999847,40.29999924,41,41.5,41.5,42.29999924,43.09999847,43.90000153,44.20000076,44.5,44.90000153,45.40000153,45.5,45.29999924,45.29999924
Denmark,,48.20000076,,50.09999847,54.40000153,53,53.70000076,53.79999924,55.29999924,55,54.79999924,54.79999924,55.5,56.70000076,57,56,57.09999847,57.59999847,57,57.90000153,57.90000153,59,60.29999924,60.79999924,61,60.79999924,61.29999924,63
Dominica,,,,,,,,,,29.39999962,,30.70000076,,,,,,40,,42.5,,43.90000153,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,,,45.09999847,45.5,,,51.09999847,,,53.59999847,51.90000153,53.40000153,,
Ecuador,,,,,,,,,,,,,61.59999847,59.5,,,64.30000305,63.59999847,,60.59999847,59.29999924,59.79999924,61.29999924,,61.09999847,61.59999847,61,
Egypt,33.20000076,33.29999924,34.70000076,35.09999847,35.90000153,,,,,40.20000076,40.90000153,43.70000076,40.90000153,42.40000153,42.70000076,43.09999847,,44.90000153,46.20000076,46.79999924,48,48.40000153,49.59999847,49.29999924,48.40000153,47.20000076,45.59999847,
El Salvador,28.10000038,,,,,32.90000153,65,,53.70000076,52.40000153,,52.40000153,29.39999962,,34,35.79999924,34.40000153,37.40000153,38.29999924,40.40000153,41.90000153,41.5,42.70000076,44.90000153,44.90000153,45.40000153,44.79999924,
Equatorial Guinea,,,,23.20000076,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,30.39999962,31.20000076,33.70000076,36,41.20000076,44,46.20000076,46.40000153,46.5,47,49.29999924,48,47.79999924,49.59999847,49.70000076,47.79999924,48.79999924,47.70000076,45.40000153
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,63.70000076,10.5,60.59999847,
