Female salaried employees (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,57.70000076,,65.80000305,49.79999924,,,
American Samoa,,,,,,,,,,,98.5,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,82.90000153,,66.09999847,,,,,,
Antigua and Barbuda,,,,,,,,,,,,82.5,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,70.19999695,71.40000153,72.5,71.30000305,72.09999847,74.90000153,74.30000305,75,75.5,75.90000153,76.40000153,76.09999847,78.09999847,78.59999847,78.59999847,79,80.19999695,
Aruba,,,,,,,,,,,,95.19999695,,,93.90000153,,,,,,,,,,,,,
Australia,86.59999847,87.09999847,87.19999695,87.30000305,87.80000305,87.30000305,86.80000305,87.19999695,87.09999847,87.80000305,87.80000305,87.40000153,87.19999695,86.90000153,87.40000153,87.90000153,88.09999847,87.80000305,88.59999847,88.90000153,89.30000305,89.69999695,89.59999847,90,90.19999695,90.19999695,90.69999695,91
Austria,,,,,,,,,,,,,,,86.30000305,85.80000305,86.19999695,86.80000305,86.90000153,87.40000153,87.80000305,87.90000153,88.30000305,88.69999695,89.69999695,89.09999847,88.69999695,87.69999695
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,52.59999847,33.20000076,33.79999924,33.79999924,32.70000076
Bahamas,,,,,,,,,,,,,,88.5,88.30000305,87.5,85.69999695,89.09999847,89,88.19999695,,89.80000305,89.09999847,89.09999847,87.40000153,,,
Bangladesh,,,,,,,,,,,,,,,,,8.699999809,,,,8.300000191,,,13.30000019,,11.69999981,,
Barbados,,,,,,,,,,,90.69999695,91.19999695,90.59999847,89.80000305,90,90.19999695,89.19999695,91.09999847,90.40000153,90.30000305,91.80000305,90.59999847,90.5,91.09999847,89.5,,,
Belgium,82.5,82.30000305,82.19999695,81.80000305,81.80000305,81.90000153,82,82.09999847,82.5,82.40000153,82.5,82.30000305,82.30000305,81.90000153,82.09999847,82.09999847,82.40000153,82.90000153,83.5,84.09999847,,,,,,87.69999695,88.19999695,
Belize,,,,,,,,,,,,,,76.30000305,75.19999695,74.69999695,75.09999847,70.59999847,72.30000305,71.5,,,,,,73.90000153,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,18,,
Bolivia,,,,,,,,,,45.29999924,48.40000153,46.79999924,45.5,47.29999924,43.79999924,42,39.90000153,39.09999847,,37.29999924,43.40000153,27.89999962,26.5,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,73.09999847,
Botswana,,,,,36.09999847,,,,,,,,,,64.90000153,,,,74.80000305,,67.90000153,81.90000153,,71.90000153,,,,
Brazil,,,,,,,,,,,68,,60,60.40000153,,60.20000076,63.29999924,59.90000153,60.40000153,59.40000153,,64.90000153,64.40000153,64.80000305,65.5,64.80000305,66,
British Virgin Islands,,,,,,,,,,,,91.90000153,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,96.09999847,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,87.30000305,,88.19999695,88.30000305,88.80000305,89.90000153,90.59999847
Burkina Faso,,,,,,0.8999999762,,,,,,,,,1.399999976,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,12.10000038,13.60000038,,,,,,
Cameroon,,,,,,,,,,,,,,,,,5.699999809,,,,,8.699999809,,,,,,
Canada,92.09999847,92.40000153,92,91.80000305,91.59999847,90.90000153,92,90.09999847,90,90.19999695,89.90000153,89.80000305,89.5,88.80000305,88.30000305,88.30000305,87.5,86.69999695,86.69999695,87.09999847,87.69999695,88.80000305,88.59999847,88.69999695,88.80000305,88.59999847,88.69999695,88.59999847
Cape Verde,,,,,,,,,,,,,,,,,,,,,33,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,93.40000153,94.69999695
Chad,,,,,,,,,,,,,,0.8000000119,,,,,,,,,,,,,,
Chile,,,,,,,,,,,77,,77.30000305,,77.09999847,,75.19999695,74.30000305,72.69999695,74.19999695,74.90000153,73.30000305,73.19999695,73.19999695,71.90000153,74.59999847,73.69999695,74.40000153
Colombia,,,,,,,,,,,,70.5,71.69999695,72.80000305,73.90000153,71,71.5,70,67.30000305,65.40000153,65.40000153,52.20000076,52.09999847,51.5,51.09999847,52.09999847,53,56.09999847
Costa Rica,,,,,,,,80.40000153,79,78.59999847,77.69999695,74.90000153,78.59999847,76.09999847,76.19999695,75.69999695,77.69999695,74.30000305,75.80000305,74.69999695,76.59999847,71.30000305,,71.09999847,70.59999847,73.09999847,73.69999695,76.09999847
Croatia,,,,,,,,,,,,,,,,,72.19999695,75,76.80000305,76.69999695,78,79.09999847,78.90000153,77,77.5,75.69999695,78.69999695,79.80000305
Cuba,,,,,,,,,,,,,,,,91.90000153,92.5,92.19999695,91.90000153,91.30000305,91.5,91.40000153,91.69999695,91.30000305,91.59999847,91.80000305,92,93.5
Cyprus,,,,,,,,,,,,,,,,,,,,84.19999695,83.30000305,84,84.09999847,84.30000305,84.19999695,83.90000153,85.09999847,86.80000305
Czech Rep.,,,,,,,,,,,,,,90.19999695,90.69999695,90,90.30000305,90.5,89.69999695,89.40000153,88.90000153,89.09999847,88.80000305,88,88.59999847,89.30000305,88.90000153,89.19999695
Denmark,,,,90.09999847,,,,,,,,,,,,93.80000305,93.90000153,94.5,94.30000305,94.40000153,94.59999847,95.09999847,94.80000305,94.69999695,94.80000305,94.69999695,94.30000305,94.59999847
Djibouti,,,,,,,,,,,,78.69999695,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,70.40000153,,,,,,70.90000153,,66.09999847,,75.59999847,,,,,,
Dominican Rep.,,,,,,,,,,,,68.90000153,63.09999847,66.69999695,69.59999847,69.5,70.30000305,66.59999847,64.40000153,65.09999847,69.69999695,67.69999695,67.30000305,69.40000153,69.90000153,66.5,,
Ecuador,,,,,,,,,46.79999924,46.59999847,44.79999924,43.70000076,42.40000153,41.5,43.70000076,43.59999847,43.70000076,46.09999847,42.90000153,57,57.70000076,54.90000153,55.09999847,,52.29999924,56.90000153,54.5,
Egypt,,,,,,,,,,,,,,49.5,49.29999924,52.90000153,,55.5,60.70000076,64.40000153,57.20000076,64.80000305,67.90000153,56.5,49.29999924,50.79999924,53.70000076,
El Salvador,,,,,,,,,,,,,,49.79999924,50.40000153,41.5,39.70000076,40.70000076,53.5,54.20000076,41.20000076,40,40.79999924,42.29999924,41.29999924,40.5,42.5,
Equatorial Guinea,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,75.59999847,,,,,,,,,,,
Estonia,,,,,,,,,,97.30000305,96.69999695,96.30000305,95.30000305,94,93.69999695,95.19999695,95,94.40000153,93.90000153,93.90000153,93.59999847,94.5,94.59999847,94.09999847,93.80000305,94.90000153,95.30000305,94.59999847
Ethiopia,,,,,,,,,,,,,,,,,,,,6.400000095,,,,,45.90000153,6.199999809,42.70000076,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,56.59999847,,
Finland,84.59999847,85.30000305,85.90000153,86.40000153,86.59999847,87.69999695,88.30000305,88,88.69999695,88.40000153,88.69999695,89.09999847,89.30000305,89.19999695,88.90000153,89.5,89.5,89.80000305,89.90000153,90.5,90.80000305,91.09999847,91.19999695,91.09999847,91.40000153,91.5,91.5,91.80000305
France,85.40000153,85.5,85.69999695,86,86.40000153,86.80000305,87.19999695,87.5,87.80000305,88.40000153,89,89.59999847,90.19999695,90.80000305,91.19999695,91.69999695,92.09999847,92.5,92.69999695,92.90000153,93.09999847,93.30000305,93.19999695,91.90000153,92.40000153,92.5,92.30000305,92.69999695
Gabon,,,,,,,,,,,,,,29.20000076,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,43.5,41.59999847,36.90000153,35,35.90000153,34.40000153,34.59999847,34.5,,
Germany,87.80000305,88.19999695,88.40000153,88.5,86.59999847,88.19999695,88.40000153,88.59999847,87.90000153,88.40000153,90.80000305,92.19999695,92,91.80000305,91.59999847,91.59999847,92,91.90000153,91.59999847,92.19999695,92.09999847,91.59999847,91.69999695,91.59999847,91.09999847,90.59999847,90.80000305,90.80000305
Greece,,43.90000153,46.40000153,44.59999847,45.09999847,46,46.20000076,46.59999847,48.70000076,50.09999847,51.90000153,54.59999847,54.09999847,55,54.79999924,56.20000076,56.29999924,57.59999847,58.70000076,60.70000076,61,63.90000153,64.30000305,64.5,68,68,67.90000153,68.90000153
Grenada,,,,,,,,,,,,83.59999847,,,,,73,,75.19999695,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,67.80000305,,,,42.90000153,,42.40000153,,25.60000038,,,,,
Guyana,,,,,,,,,,,,,52.90000153,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,21.20000076,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,48.90000153,52.70000076,54.90000153,,54.70000076,51.20000076,47.79999924,47.70000076,47.59999847,44.40000153,,48.20000076,47.5,45.29999924,50,52.59999847,,
"Hong Kong, China",,,,,,,,,,,,,,94.69999695,94.69999695,94.80000305,95,95.09999847,95.19999695,94.59999847,95,94.19999695,93.5,93.30000305,93,93.30000305,93.40000153,94
Hungary,,,,,,,,,,,,,88.90000153,90.30000305,90.40000153,90.09999847,90.19999695,90.30000305,91.09999847,88.90000153,89.59999847,89.80000305,90.09999847,90.80000305,89.90000153,90.19999695,90.90000153,90.80000305
Iceland,,,,,,,,,,,,88,88.30000305,89.30000305,89.69999695,89.09999847,88.5,88.59999847,88.80000305,89.19999695,89,90.30000305,91.19999695,91.69999695,91.30000305,92.09999847,92.09999847,91.90000153
Indonesia,,,,,,,,,,,,,,,,,,,,,,,28.79999924,27.60000038,28.5,31.39999962,32,30.70000076
Iran,,,,,,,,,,,,,,,,,53.70000076,,,,,,,,,41.5,,42.20000076
Ireland,,,,,,88.80000305,89.5,89.30000305,89.30000305,89.19999695,89.09999847,89.90000153,89.59999847,89.30000305,90,90.30000305,90.5,90.59999847,90.40000153,90.90000153,91,92,92.30000305,92.19999695,92.09999847,92.59999847,93.30000305,92.90000153
Isle of Man,,,,,,,,,,,,,,,,,,,,,,92.30000305,,,,,,
Israel,,,,,,,,,,,,,,,,89.90000153,89.69999695,90.30000305,90.69999695,90.19999695,90.69999695,91.5,91.40000153,91.19999695,91.59999847,91.80000305,91.40000153,91.80000305
Italy,72.90000153,73.5,74,73.30000305,72.69999695,73.59999847,73.40000153,73.90000153,74.40000153,75.19999695,75.90000153,76.19999695,76.40000153,75.69999695,75.80000305,76.19999695,76.40000153,76.80000305,77,77.40000153,78,78.40000153,78.80000305,78.90000153,77.80000305,79.40000153,79.5,80
Jamaica,,,,,,,,,,,,61.29999924,61.70000076,63.40000153,63.90000153,65.30000305,65,65.40000153,65.5,64.69999695,64.80000305,65.30000305,67.69999695,67.5,65.80000305,66.69999695,66.09999847,
Japan,63.20000076,64.30000305,64.5,65.69999695,66.5,67.19999695,68.09999847,68.40000153,69.30000305,70.69999695,72.30000305,74,75.40000153,77,77.80000305,78.30000305,79.30000305,79.80000305,80,80.40000153,81.40000153,82.5,83.30000305,83.80000305,84.19999695,84.69999695,85.90000153,86.40000153
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,54.09999847,56.29999924,57.70000076,60.20000076,,,
"Korea, Rep.",39.20000076,39,39.90000153,42.59999847,46.09999847,48.20000076,48,50.20000076,51.20000076,55.20000076,56.79999924,57.5,57.5,57.40000153,58.5,59.09999847,59.5,59.79999924,58.09999847,59.59999847,61.5,62.40000153,63.5,65.5,66.59999847,67.09999847,67.69999695,68.80000305
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,44.09999847,46.40000153,48.70000076,49.90000153,51.70000076,
Laos,,,,,,,,,,,,,,,,5.400000095,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,87.40000153,81.69999695,83.90000153,84.80000305,86.59999847,87.19999695,88.19999695,89,88.19999695,90.40000153,90.19999695,91.80000305
Lesotho,,,,,,,,38.20000076,,,,,,,,,,43.70000076,,29.89999962,,,,,,,,
