Total salaried employees (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Algeria,,,,,,,,,,,,,,,,,,,,,,60.90000153,,64.80000305,59.79999924,,,
American Samoa,,,,,,,,,,,97.59999847,,,,,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,77,,64.59999847,,,,,,
Antigua and Barbuda,,,,,,,,,,,,80,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,69,70.30000305,70.19999695,68.80000305,70.19999695,70.59999847,70.69999695,71.69999695,72.09999847,72.40000153,72.30000305,71.80000305,71.59999847,73.59999847,74.09999847,74.5,75.80000305,
Armenia,,,,,,,,,,,,,,,,,,57.40000153,55.09999847,53.79999924,52.79999924,51.90000153,50,48.90000153,47.59999847,48.20000076,48.79999924,49.70000076
Aruba,,,,,,,,,,,,92,,,90.19999695,,,96.80000305,,,,,,,,,,
Australia,83.5,84.09999847,83.90000153,84,83.90000153,84.19999695,84,84.19999695,84.19999695,84.80000305,84.90000153,84.30000305,83.90000153,83.5,84.09999847,84.59999847,84.90000153,84.90000153,85.40000153,85.5,85.90000153,86.19999695,86.09999847,86.59999847,86.80000305,87.09999847,87.5,88
Austria,82.90000153,83.30000305,84,84,84.69999695,85.09999847,85.19999695,85.09999847,85.19999695,85.80000305,85.80000305,86.09999847,86.59999847,86.90000153,86.19999695,85.69999695,86.09999847,86.5,86.40000153,86.69999695,87,86.90000153,87,87.40000153,87.19999695,86.69999695,86.5,85.69999695
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,54.70000076,33.20000076,33.79999924,41,41.79999924
Bahamas,,,,,,,,,,,,,,85.30000305,84.90000153,85.19999695,81.80000305,84.69999695,84.90000153,83.19999695,,85.09999847,84,85.19999695,84.40000153,,,
Bangladesh,,,,,,,,,,,,,,,,,12.39999962,,,,12.60000038,,,13.69999981,,13.89999962,,
Barbados,,,,,,,,,,,87.5,87.40000153,87,85.80000305,86.59999847,86.80000305,86.19999695,87.09999847,86.59999847,85.5,87,85.59999847,85.59999847,85.30000305,84.40000153,,,
