Total above 15 employment to population (%),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,56.70000076,56.5,56.59999847,56.20000076,56.20000076,56.09999847,56.20000076,56.20000076,56.09999847,56.09999847,56.5,56.40000153,54.40000153,56,54,56,55.70000076
Albania,52.70000076,52.29999924,52.40000153,52.70000076,52.79999924,52.59999847,52.40000153,52.09999847,52.09999847,51.90000153,51.79999924,51.79999924,51.79999924,51.70000076,51.5,51.40000153,51.40000153
Algeria,39.40000153,38.90000153,39.40000153,39.40000153,38.09999847,38.90000153,39.70000076,39.5,39.40000153,38.59999847,40.40000153,41.5,42.79999924,46.40000153,48,50,50.5
Angola,75.80000305,75.80000305,75.5,75.90000153,75.80000305,75.90000153,75.69999695,75.59999847,75.59999847,75.5,75.5,75.59999847,75.5,75.5,75.59999847,75.5,75.69999695
Argentina,53.59999847,53.79999924,53.70000076,53.79999924,53.5,54.40000153,54.90000153,55,54.90000153,55.5,55.59999847,55.40000153,57.29999924,57.70000076,58.09999847,58.40000153,58.40000153
Armenia,39.29999924,38.20000076,37.40000153,37.40000153,37.09999847,38.09999847,37.40000153,38.09999847,37.20000076,37.79999924,38.59999847,39.29999924,39.5,38.90000153,39.5,39.40000153,40.09999847
Australia,57.20000076,56.20000076,55.90000153,56.90000153,58.40000153,58.20000076,57.90000153,58.29999924,58.70000076,59.40000153,59.20000076,59.5,59.90000153,60.09999847,61.20000076,61.59999847,61.5
Austria,54.20000076,54.90000153,54.70000076,56.40000153,56.70000076,55.79999924,55.79999924,55.59999847,56,56.09999847,56.09999847,56.5,56.70000076,55.70000076,56.20000076,57.09999847,57.09999847
Azerbaijan,56.90000153,56.79999924,56.59999847,56.20000076,55.40000153,55.79999924,56.59999847,56.70000076,57,57.40000153,57.5,57.5,57.90000153,59.40000153,59,59.29999924,60.90000153
Bahamas,63,61.29999924,62.79999924,62.70000076,64.5,64.09999847,65.19999695,66.59999847,66.69999695,67,67.09999847,65.59999847,64.40000153,64.90000153,65,66.90000153,66.59999847
Bahrain,61.20000076,61.40000153,61.5,61.79999924,61.90000153,61.90000153,61.59999847,61.59999847,61.59999847,61.59999847,61.70000076,61.5,61.40000153,61.20000076,61,60.59999847,60.40000153
Bangladesh,74.5,72.5,73,71.80000305,70.5,70.40000153,69.90000153,69.90000153,69.30000305,68.90000153,68.90000153,68.90000153,68.5,68.30000305,68.59999847,68.59999847,68.09999847
Barbados,56.90000153,53.70000076,52.5,54.90000153,58,61.20000076,61.40000153,63.09999847,64.40000153,65.30000305,65,64.59999847,64.09999847,65.59999847,66.09999847,66.40000153,66.90000153
Belarus,59.20000076,58.29999924,57.40000153,56.59999847,55.70000076,55.20000076,55.09999847,54,52.79999924,53,53,53.09999847,53.29999924,53.59999847,53.70000076,53.70000076,53.40000153
