Female above 15 employment to population (%),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,26.89999962,26.60000038,26.5,26.20000076,26.10000038,25.89999962,25.89999962,25.79999924,25.70000076,25.79999924,26.10000038,26.20000076,25.10000038,26.29999924,24.79999924,26.20000076,25.60000038
Albania,42.5,41.90000153,41.90000153,42.20000076,42.40000153,42.29999924,42.09999847,42.09999847,42.09999847,42.09999847,42.09999847,42.20000076,42.09999847,42.09999847,42,41.90000153,42.09999847
Algeria,17.89999962,17.79999924,18.5,18.79999924,18.29999924,19.10000038,19.89999962,20.29999924,20.60000038,20.60000038,22.10000038,23.10000038,24.39999962,27.29999924,28.79999924,30.5,31.70000076
Angola,68.80000305,69.59999847,68.30000305,69.30000305,67.69999695,67.80000305,67.69999695,68.09999847,68.30000305,68,68,68.30000305,68.19999695,68.40000153,68.69999695,69.19999695,69.40000153
Argentina,36.59999847,36.90000153,37,37.29999924,37.20000076,38.40000153,39.20000076,39.70000076,40,40.90000153,41.40000153,41.70000076,43.59999847,44.40000153,45.09999847,45.79999924,45.90000153
Armenia,32.40000153,31.70000076,31.20000076,31,31,32.09999847,31.5,32.40000153,31.60000038,32.20000076,33,33.70000076,33.90000153,33.20000076,33.79999924,33.70000076,34.20000076
Australia,47.20000076,46.70000076,46.59999847,47.70000076,49.40000153,49.29999924,49.29999924,49.90000153,50.29999924,51.40000153,51.59999847,51.90000153,52.5,52.59999847,54,54.59999847,54.59999847
Austria,42.09999847,43.20000076,43.40000153,46.09999847,46.20000076,45.70000076,45.79999924,45.90000153,46.40000153,46.5,47,48,48.40000153,47.70000076,48.5,49.40000153,49.70000076
Azerbaijan,51.09999847,51.20000076,51.09999847,50.5,50.09999847,50.59999847,51.5,51.79999924,52.09999847,52.59999847,52.79999924,52.90000153,53.29999924,54.70000076,54.40000153,54.79999924,56.20000076
Bahamas,56.5,53.79999924,55.59999847,54.79999924,56.5,55.40000153,57.79999924,59.20000076,59.5,60.79999924,61,59.59999847,58.40000153,59,59.20000076,61.20000076,60.70000076
Bahrain,25.79999924,26.29999924,26.79999924,27.29999924,27.79999924,28.29999924,28.79999924,29.29999924,29.89999962,30.39999962,30.89999962,30.70000076,30.5,30.29999924,30.20000076,29.79999924,30.20000076
Bangladesh,60.90000153,58.59999847,58.20000076,56.70000076,54.59999847,54,53.59999847,53.70000076,53.20000076,53,53.29999924,53.59999847,53.5,53,53.09999847,53.29999924,53.59999847
