Male above 15 employment to population (%),1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,84.19999695,84,84.30000305,84,84,84,84.09999847,84.19999695,84.09999847,84.09999847,84.59999847,84.30000305,81.40000153,83.40000153,81,83.5,83.59999847
Albania,62.59999847,62.40000153,62.70000076,63.09999847,63.20000076,63,62.79999924,62.5,62.29999924,62.09999847,62,61.90000153,61.70000076,61.59999847,61.40000153,61.20000076,61
Algeria,61.09999847,60,60.40000153,60,57.79999924,58.70000076,59.5,58.70000076,58,56.59999847,58.70000076,59.70000076,61.09999847,65.40000153,67.09999847,69.30000305,69.09999847
Angola,83.09999847,82.30000305,83,82.69999695,84.30000305,84.30000305,84,83.5,83.30000305,83.40000153,83.40000153,83.40000153,83.09999847,83,82.90000153,82.19999695,82.40000153
Argentina,71.80000305,71.80000305,71.5,71.5,70.90000153,71.5,71.69999695,71.40000153,70.80000305,71.09999847,70.80000305,70.19999695,71.90000153,71.90000153,72,71.90000153,71.80000305
Armenia,47,45.59999847,44.5,44.79999924,44.20000076,45.29999924,44.29999924,44.79999924,43.79999924,44.5,45.40000153,46,46.40000153,45.79999924,46.40000153,46.40000153,47.40000153
Australia,67.40000153,65.90000153,65.40000153,66.40000153,67.5,67.30000305,66.80000305,67.09999847,67.30000305,67.69999695,67.09999847,67.30000305,67.40000153,67.80000305,68.59999847,68.90000153,68.59999847
Austria,67.59999847,67.69999695,67.09999847,67.69999695,68.09999847,66.80000305,66.5,66.19999695,66.30000305,66.30000305,65.90000153,65.5,65.40000153,64.19999695,64.30000305,65.19999695,64.80000305
Azerbaijan,63.29999924,63,62.59999847,62.40000153,61.09999847,61.5,62.20000076,62.09999847,62.40000153,62.70000076,62.70000076,62.59999847,63,64.59999847,64.09999847,64.30000305,66.19999695
Bahamas,69.69999695,69,70.30000305,70.90000153,72.90000153,73.40000153,73.09999847,74.40000153,74.40000153,73.69999695,73.59999847,71.90000153,70.90000153,71.30000305,71.30000305,73.09999847,72.80000305
Bahrain,83.59999847,83.59999847,83.5,83.5,83.5,83.30000305,82.69999695,82.59999847,82.5,82.40000153,82.40000153,82.19999695,82.19999695,82.09999847,82,81.59999847,81.19999695
Bangladesh,87.30000305,85.59999847,86.90000153,86.19999695,85.40000153,86,85.40000153,85.30000305,84.5,84,83.69999695,83.40000153,82.80000305,82.90000153,83.40000153,83.09999847,82.09999847
