Female 25-54 labour to population(%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,32.29999924,32.09999847,31.79999924,31.5,31.20000076,30.89999962,30.70000076,30.5,30.20000076,30,29.60000038,29.29999924,29,28.70000076,28.39999962,28.20000076,28,27.79999924,27.70000076,27.60000038,27.60000038,27.60000038,27.79999924,28,28.29999924,28.60000038,28.89999962,28.60000038
Albania,81,80.90000153,80.80000305,80.59999847,80.5,80.5,80.40000153,80.69999695,81,80.5,81.30000305,61.90000153,61.5,62.20000076,63,63.59999847,64.30000305,63.70000076,64.59999847,65.30000305,65.69999695,66,66.09999847,66.30000305,66.5,66.69999695,66.69999695,67.40000153
Algeria,20.29999924,20.5,20.60000038,20.79999924,20.89999962,21.10000038,22,22.89999962,23.89999962,24.89999962,25.89999962,27,28.10000038,29.20000076,30.29999924,31.5,32.70000076,33.59999847,34.90000153,36.09999847,37.20000076,38.20000076,39.20000076,40.29999924,41.20000076,42.09999847,42.90000153,44.59999847
Angola,77.5,77.59999847,77.80000305,77.90000153,78.09999847,78.19999695,78.19999695,78.40000153,79.59999847,79.30000305,79.40000153,78.90000153,80.30000305,77.69999695,79.69999695,76.80000305,77,76.90000153,77.59999847,78.30000305,77.90000153,77.90000153,78.59999847,78.40000153,79,79.69999695,80.80000305,81.30000305
Argentina,33.5,32.5,31.70000076,31.20000076,33.09999847,35,35.20000076,35.40000153,36,36.5,36.90000153,52.20000076,52.70000076,53.09999847,53.59999847,54,55.29999924,56.5,57.79999924,59,60.20000076,61.5,62.70000076,63.79999924,65,66.09999847,67.30000305,67.5
Armenia,88.69999695,88.59999847,88.69999695,88.80000305,88.80000305,88.69999695,88.90000153,89,88.69999695,88.90000153,89.19999695,78.80000305,77.19999695,76.40000153,76.59999847,77.59999847,78.09999847,78.30000305,79,79.19999695,79.5,79.90000153,80.30000305,80.59999847,80.80000305,81,81.09999847,81.59999847
Australia,53,53.70000076,54,53.90000153,55.29999924,57.20000076,60.40000153,61.5,63.29999924,65.19999695,66.80000305,67.09999847,67.30000305,67.30000305,67.69999695,69.09999847,69,69.40000153,69.5,69.5,70.59999847,71.19999695,71.59999847,72.5,72,73.80000305,74.40000153,74.40000153
Austria,56.09999847,56.70000076,57.20000076,57.29999924,58.59999847,59.09999847,59.79999924,60.59999847,61.5,62.29999924,64,65,67.09999847,69,71.80000305,73.09999847,73.09999847,74,74.40000153,75.59999847,76.30000305,77.09999847,79,80,79.59999847,79.90000153,80.90000153,81.90000153
Azerbaijan,88.30000305,88.09999847,88.09999847,87.90000153,87.80000305,87.59999847,87.80000305,88,87.69999695,88,88.30000305,79.5,78.90000153,78.5,77.40000153,76.69999695,77,77.5,78.30000305,78.90000153,79.80000305,80.30000305,80.69999695,81,81.30000305,81.90000153,82.19999695,82.69999695
Bahamas,70.19999695,71.09999847,72,72.90000153,73.80000305,74.59999847,75.5,76.30000305,77.09999847,77.80000305,78.59999847,78.30000305,77.5,77.80000305,77.19999695,77.19999695,78.40000153,78.90000153,79.69999695,80.40000153,81.40000153,80.90000153,81,81.69999695,81.90000153,82.5,83.09999847,83.19999695
