Male 15+ labour to population (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,86.69999695,86.69999695,86.80000305,86.80000305,86.90000153,86.90000153,86.90000153,87,87,87.09999847,87.09999847,87.19999695,87.19999695,87.30000305,87.30000305,87.40000153,87.40000153,87.40000153,87.5,87.5,87.5,87.5,87.59999847,87.59999847,87.59999847,87.59999847,87.59999847,88.59999847
Albania,83.69999695,83.40000153,83.30000305,83.09999847,82.80000305,83,82.80000305,83.40000153,83.90000153,83.30000305,84.30000305,72.90000153,72.59999847,73,73.30000305,73.40000153,73.40000153,72.90000153,72.80000305,72.59999847,72.40000153,72.09999847,71.90000153,71.80000305,71.59999847,71.30000305,71.09999847,71
Algeria,70.90000153,71,70.80000305,70.69999695,70.5,70.59999847,71.5,72.40000153,73.30000305,74.09999847,75,75.80000305,76.5,77.30000305,78,78.59999847,79.09999847,79.30000305,79,78.80000305,78.80000305,79.09999847,78.90000153,78.5,78.40000153,78.19999695,78.19999695,77.5
Angola,90.80000305,90.80000305,90.69999695,90.59999847,90.59999847,90.5,90.59999847,90.5,90,90.09999847,90.09999847,90.40000153,89.59999847,91,90,91.40000153,91.30000305,91.30000305,90.90000153,90.59999847,90.80000305,90.69999695,90.40000153,90.40000153,90.09999847,89.69999695,89,89.19999695
Argentina,76.59999847,77.80000305,79,80,79.80000305,79.5,79.5,79.40000153,79.09999847,78.59999847,78.5,75.80000305,75.80000305,75.90000153,76,76.09999847,76.09999847,76,76,76.09999847,76.09999847,76.09999847,76.09999847,76,76,75.90000153,75.90000153,75.69999695
Armenia,81,80.69999695,80.69999695,80.5,80.19999695,79.80000305,80.19999695,80.19999695,79.40000153,79.30000305,79.19999695,71.5,69.69999695,68.09999847,67.5,67.59999847,67.30000305,66.80000305,66.80000305,66.59999847,66.5,66.5,66.59999847,66.69999695,66.69999695,66.59999847,66.5,67.5
Australia,78.5,78.19999695,77.59999847,76.80000305,76.40000153,76,76.19999695,75.69999695,75.5,75.69999695,75.80000305,74.90000153,74.30000305,73.80000305,73.80000305,74.09999847,73.80000305,73.19999695,72.90000153,72.5,72.40000153,72.09999847,72,71.69999695,71.69999695,72.19999695,72.30000305,71.5
Austria,71.90000153,71.80000305,71.5,70.80000305,70.90000153,70.69999695,70.69999695,70.69999695,69.90000153,69.69999695,69.80000305,70,70.09999847,69.90000153,70,70.30000305,69.5,69.19999695,68.90000153,68.80000305,68.5,68.19999695,68.30000305,68.40000153,67.30000305,67.59999847,68.09999847,67.5
Azerbaijan,77.09999847,76.90000153,77.19999695,77.19999695,77.09999847,76.90000153,77.59999847,77.90000153,77.09999847,77.5,77.90000153,71.69999695,71.69999695,71.5,70.5,69.5,69.59999847,69.69999695,70.09999847,70.30000305,70.69999695,70.80000305,70.80000305,70.69999695,70.69999695,70.19999695,69.19999695,70.90000153
Bahamas,78.5,78.40000153,78.5,78.59999847,78.80000305,78.90000153,78.90000153,78.90000153,78.90000153,78.90000153,78.90000153,79.5,80.19999695,80.59999847,81.09999847,80.90000153,80.40000153,79.69999695,78.90000153,78.59999847,78.30000305,78.59999847,78.69999695,78.59999847,78.59999847,78.40000153,78.19999695,77.90000153
Bahrain,85.40000153,87,87.59999847,88.09999847,88.5,88.69999695,88.80000305,88.80000305,88.69999695,88.59999847,88.40000153,88.19999695,88,87.59999847,87.40000153,87.19999695,87,86.69999695,86.5,86.30000305,86.09999847,85.90000153,85.69999695,85.59999847,85.5,85.30000305,84.90000153,84.40000153
Bangladesh,89.59999847,89.59999847,89.59999847,89.59999847,89.5,89.5,89.40000153,89.40000153,89.30000305,89.19999695,89.09999847,89,89,88.90000153,88.80000305,88.59999847,88.40000153,88.09999847,87.69999695,87.30000305,86.80000305,86.69999695,86.5,86.30000305,86.09999847,85.90000153,85.69999695,84.5
Barbados,77,76.69999695,76.40000153,76.19999695,76.09999847,75.90000153,75.59999847,77.59999847,77.69999695,79.40000153,78.30000305,76.30000305,77.40000153,78.09999847,78.69999695,79.5,77.5,78.69999695,78.69999695,78.69999695,78.69999695,78.80000305,78.59999847,78.5,79.19999695,79,78.69999695,79.09999847
Belarus,75.90000153,76.09999847,76.40000153,76.59999847,76.69999695,76.80000305,76.90000153,76.80000305,76.40000153,76.19999695,75.30000305,74.40000153,73.40000153,72.40000153,71.40000153,70.30000305,69.19999695,68.09999847,66.90000153,65.69999695,65.59999847,65.59999847,65.59999847,65.59999847,65.59999847,65.5,65.5,65.69999695
Belgium,65.80000305,65.90000153,65.30000305,65.5,64.59999847,64.40000153,63.79999924,62.5,61.59999847,61.5,61,61.29999924,61,60.40000153,61,61,60.79999924,60.5,60.5,61.09999847,61.40000153,60.40000153,60.20000076,60.09999847,60.09999847,60.5,60.29999924,60
Belize,82.09999847,82.40000153,82.59999847,83,83.09999847,83.30000305,83.5,83,82.5,81.69999695,81.40000153,80.59999847,81.19999695,81.69999695,82.09999847,82.19999695,82.30000305,82.19999695,82,81.90000153,81.80000305,81.69999695,81.5,81.40000153,81.19999695,81,80.80000305,80.90000153
Benin,84.19999695,84.19999695,84.5,85.09999847,85.09999847,85.09999847,85.30000305,86.09999847,86.80000305,87.5,88.19999695,88.90000153,89.5,89.5,89.30000305,89.09999847,88.90000153,88.59999847,88.30000305,88,87.59999847,87.30000305,87,86.69999695,86.5,86.30000305,86.09999847,85.69999695
Bhutan,84.09999847,84.09999847,84,84,83.90000153,83.90000153,83.90000153,83.80000305,83.80000305,83.80000305,83.69999695,83.69999695,83.59999847,83.59999847,83.40000153,83.30000305,83.09999847,82.90000153,82.69999695,82.5,82.30000305,82.09999847,82,81.90000153,81.69999695,81.40000153,81,79.80000305
Bolivia,85.69999695,85.30000305,85.09999847,84.5,83.80000305,82.90000153,83.90000153,85,84.80000305,84.69999695,84.59999847,83,81.30000305,79.5,77.59999847,75.69999695,74.5,82.30000305,82.30000305,82.19999695,82.09999847,82.09999847,82,81.90000153,81.80000305,81.69999695,81.59999847,82.90000153
Bosnia and Herzegovina,85.90000153,85.90000153,85.80000305,85.59999847,85.40000153,85.09999847,84.59999847,84,83.40000153,82.90000153,82.59999847,70,69.40000153,69.30000305,69.30000305,70.40000153,71.40000153,70.59999847,70,69.40000153,68.90000153,68.5,68.19999695,67.80000305,67.5,67.19999695,66.90000153,66.80000305
Botswana,81.59999847,81.90000153,81.59999847,81.30000305,81,80.59999847,80.09999847,79.5,78.90000153,78.30000305,77.80000305,77.19999695,74.69999695,72.09999847,69.40000153,65.90000153,62.29999924,68.40000153,73.09999847,71.19999695,69,65.90000153,64.09999847,64.09999847,63.40000153,62.70000076,62.40000153,63.40000153
Brazil,84.40000153,84.69999695,84.80000305,85.09999847,85.19999695,85.09999847,85.19999695,85.5,85.19999695,85.19999695,84.80000305,84.80000305,84.80000305,84.59999847,84.19999695,83.80000305,82.59999847,82.80000305,82.5,82.30000305,81.90000153,81.5,81.69999695,81.40000153,81.80000305,81.80000305,81.90000153,81.59999847
