Male 15-64 labour to population (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,88,88,88.09999847,88.09999847,88.09999847,88.19999695,88.19999695,88.19999695,88.30000305,88.30000305,88.30000305,88.40000153,88.40000153,88.5,88.5,88.5,88.5,88.59999847,88.59999847,88.59999847,88.59999847,88.59999847,88.59999847,88.59999847,88.59999847,88.59999847,88.59999847,88.90000153
Albania,88.5,88.19999695,88.19999695,87.90000153,87.59999847,87.69999695,87.5,88,88.5,87.69999695,88.90000153,75.90000153,75.69999695,76.30000305,76.80000305,77.19999695,77.5,77.09999847,77.30000305,77.30000305,77.30000305,77.19999695,77.09999847,77.09999847,77,76.90000153,76.80000305,77
Algeria,74.19999695,74.19999695,73.90000153,73.69999695,73.5,73.5,74.40000153,75.30000305,76.19999695,77,77.90000153,78.69999695,79.40000153,80.19999695,80.90000153,81.5,82.09999847,82.30000305,82.09999847,81.90000153,81.90000153,82.19999695,82.09999847,81.69999695,81.59999847,81.40000153,81.40000153,80.69999695
Angola,91.69999695,91.69999695,91.59999847,91.5,91.5,91.40000153,91.5,91.40000153,90.80000305,91,90.90000153,91.19999695,90.40000153,91.90000153,90.80000305,92.19999695,92.09999847,92.09999847,91.80000305,91.40000153,91.59999847,91.59999847,91.19999695,91.30000305,90.90000153,90.5,89.69999695,89.90000153
Argentina,83.30000305,84.5,85.59999847,86.59999847,86.40000153,86.09999847,86.19999695,86.19999695,85.90000153,85.5,85.5,81.90000153,82,82.09999847,82.19999695,82.40000153,82.30000305,82.30000305,82.30000305,82.40000153,82.40000153,82.40000153,82.30000305,82.30000305,82.19999695,82.19999695,82.09999847,81.90000153
Armenia,86.30000305,85.69999695,85.59999847,85.19999695,84.59999847,84.09999847,84.5,84.40000153,83.5,83.59999847,83.69999695,75.5,73.80000305,72.59999847,72.40000153,73.09999847,73.09999847,72.80000305,73.09999847,73,73.19999695,73.5,74.09999847,74.5,74.80000305,74.90000153,74.69999695,75.69999695
Australia,86.69999695,86.5,85.90000153,85.19999695,84.80000305,84.40000153,84.80000305,84.40000153,84.40000153,84.80000305,85.09999847,84.30000305,83.90000153,83.59999847,83.59999847,84,83.80000305,83.09999847,82.90000153,82.59999847,82.59999847,82.40000153,82.30000305,82.09999847,82.19999695,82.69999695,82.80000305,82.19999695
Austria,84.09999847,83.59999847,82.69999695,81.59999847,81.40000153,80.90000153,80.80000305,80.69999695,80,79.90000153,80.09999847,80.40000153,80.69999695,80.59999847,80.09999847,80.69999695,80.09999847,79.90000153,79.59999847,79.80000305,79.59999847,79.19999695,79.69999695,80.09999847,78.90000153,79.40000153,80.09999847,79.80000305
Azerbaijan,81.19999695,80.80000305,80.90000153,80.80000305,80.5,80.19999695,80.80000305,81,80.09999847,80.5,81,74.5,74.59999847,74.5,73.59999847,72.69999695,72.90000153,73.19999695,73.90000153,74.30000305,74.90000153,75.19999695,75.5,75.59999847,75.59999847,75.19999695,74.19999695,76.19999695
Bahamas,81,80.90000153,81,81.19999695,81.40000153,81.5,81.59999847,81.5,81.5,81.40000153,81.5,82.30000305,83.09999847,83.80000305,84.40000153,84.30000305,83.69999695,83,82.09999847,81.90000153,81.69999695,82.09999847,82.30000305,82.30000305,82.5,82.40000153,82.30000305,82
Bahrain,86.59999847,88.19999695,88.90000153,89.40000153,89.90000153,90.09999847,90.30000305,90.30000305,90.19999695,90.09999847,89.90000153,89.80000305,89.5,89.19999695,89.09999847,88.90000153,88.69999695,88.5,88.30000305,88.09999847,87.90000153,87.80000305,87.59999847,87.5,87.40000153,87.19999695,86.80000305,86.30000305
Bangladesh,90.59999847,90.59999847,90.59999847,90.5,90.5,90.5,90.40000153,90.40000153,90.30000305,90.30000305,90.19999695,90.09999847,90,89.90000153,89.69999695,89.5,89.30000305,89.09999847,88.90000153,88.59999847,88.40000153,88.19999695,88.09999847,88,87.80000305,87.69999695,87.40000153,87
Barbados,84.90000153,84.59999847,84.30000305,84.09999847,83.90000153,83.59999847,83.09999847,84.90000153,85.09999847,86.69999695,85.69999695,83.19999695,84.59999847,85.40000153,86.19999695,87,85,86.19999695,86,85.80000305,85.59999847,85.40000153,85.19999695,85,85.80000305,85.59999847,85.30000305,85.5
Belarus,82.80000305,82.80000305,82.90000153,82.90000153,82.90000153,82.80000305,82.90000153,82.80000305,82.40000153,82.40000153,81.69999695,81.09999847,80.40000153,79.80000305,79.09999847,78.19999695,77.30000305,76.19999695,75,73.80000305,73.80000305,73.80000305,74,74.09999847,74,74,73.80000305,73.90000153
Belgium,76.80000305,76.59999847,75.69999695,75.69999695,74.5,74.09999847,73.40000153,72.30000305,71.40000153,71.69999695,71.30000305,71.90000153,71.59999847,71.19999695,72,72.30000305,72.19999695,72.19999695,72.40000153,73,73.80000305,72.59999847,72.59999847,72.40000153,72.59999847,73.09999847,72.80000305,72.5
Belize,84.5,84.80000305,85,85.30000305,85.40000153,85.59999847,85.80000305,85.30000305,84.90000153,84.19999695,83.90000153,83.19999695,83.80000305,84.30000305,84.59999847,84.59999847,84.59999847,84.40000153,84.30000305,84.30000305,84.19999695,84.09999847,84,84,83.90000153,83.69999695,83.59999847,83.69999695
