Sector,Year,Month,Cereal and Products,Pulses and Pulse Products,Oils and Fats,Meat - Fish etc,Milk and Milk Products,Spices and Condiments,Vegetables,Fruits,Sugar - Honey etc,Non Alcoholic Beverages,Prepared Meals,Pan - Supari etc,Food - beverages and tobacco ,Fuel and Lighting,Housing,Clothing and Bedding,Footwear,Clothing - bedding and footwear,Medical Care,Education,Recreation and Amusement,Transport and Communication,Personal Care Items,Household Requisites,Others,Miscellaneous,General index,
Rural,2011,January,105,98,109,106,106,110,129,114,98,106,106,106,108,107,NA,108,106,107,104,104,104,106,104,106,108,105,107,
Urban,2011,January,102,95,114,106,105,109,130,110,98,104,105,105,107,105,100,108,104,107,103,102,101,104,102,103,105,103,104,
Rural+Urban,2011,January,104,97,111,106,106,110,129,112,98,105,106,106,108,106,100,108,106,107,104,103,102,105,103,105,107,104,106,
Rural,2011,February,105,99,110,107,108,112,108,116,96,107,107,108,106,107,NA,109,108,109,105,104,104,107,105,107,109,106,107,
Urban,2011,February,102,97,116,106,106,112,101,112,96,105,106,106,105,105,100,110,105,109,103,102,101,105,102,104,107,104,104,
Rural+Urban,2011,February,104,98,112,106,107,112,106,115,96,106,107,108,106,106,100,109,107,109,104,103,102,106,104,106,108,105,105,
Rural,2011,March ,105,99,111,109,109,114,101,119,95,108,108,110,106,109,NA,110,109,110,106,105,105,107,105,108,111,106,107,
Urban,2011,March,102,97,116,108,108,114,92,118,95,106,107,108,105,106,100,112,106,111,103,103,102,105,102,104,108,104,104,
Rural+Urban,2011,March,104,98,113,108,108,114,98,119,95,107,108,110,106,108,100,111,108,110,105,104,103,106,104,107,109,105,106,
Rural,2011,April,105,98.2,111.1,110,110.2,115.5,97.3,127.5,95.1,109.3,109.3,114.3,106.7,110.5,NA,112.1,110,111.8,106.1,105.5,105.4,107.3,105.8,109.8,112.2,107.2,107.5,
Urban,2011,April,101.6,96.8,116.6,108.8,109,115.9,88.5,134.1,94.3,106.8,107.5,110.7,105.9,106.1,100.4,113.7,107.4,112.7,103.7,103.9,101.7,105.2,102.9,104.9,108.8,104.4,104.5,
Rural+Urban,2011,April,104.1,97.8,112.9,109.6,109.8,115.6,94.5,130.3,94.9,108.2,108.4,113.3,106.4,108.8,100.4,112.7,109.1,112.1,105.3,104.6,103.2,106.1,104.6,107.8,110.8,105.9,106.2,
Rural,2011,May,105.3,98.2,112.4,111.3,112.7,117.6,97.3,129.2,95.1,110.2,110.5,116.3,107.7,112.1,NA,113.9,111.5,113.5,107,106.8,106.1,108.8,106.9,111.5,114.1,108.5,108.7,
Urban,2011,May,101.6,96.2,117.9,109,111.2,117.9,88.1,133.8,94.1,107.6,108.4,112.9,106.5,106.4,100.4,114.9,108.5,113.9,104,104.6,102.1,106.5,103.4,105.5,110,105.2,105,
Rural+Urban,2011,May,104.34,97.59,114.17,110.52,112.14,117.69,94.4,131.18,94.81,109.08,109.48,115.37,107.31,109.93,100.4,114.26,110.41,113.64,106.01,105.61,103.69,107.5,105.47,109.09,112.45,106.97,107.1,
Rural,2011,June,105.7,98.3,114.6,113.2,114.2,119.1,102,127.6,94.9,111.2,111.6,117.5,109,113.4,NA,115.2,113.2,114.9,107.7,108.8,106.7,110.1,107.8,112.4,115.4,109.5,109.9,
Urban,2011,June,101.5,95.5,120.3,110.9,112.8,119.6,95.7,130.2,93.3,108.8,109.3,114.5,107.9,107.6,106.2,116,109.5,115.1,104.6,105.4,102.4,107.8,104.1,105.9,111.5,106,107.3,
Rural+Urban,2011,June,104.6,97.4,116.4,112.4,113.7,119.2,100,128.7,94.4,110.2,110.5,116.7,108.6,111.2,106.2,115.5,111.9,115,106.7,107,104.1,108.8,106.3,109.8,113.8,107.9,108.8,
Rural,2011,July,106.8,98.6,115.8,114.4,115.7,119.9,109.1,127.5,95.1,112.1,112.7,118.9,110.7,117.2,NA,116.6,114.4,116.2,108.4,110,107.6,111.7,108.6,113.2,117.2,110.6,111.7,
Urban,2011,July,101.7,95.6,122.5,111.3,114,120.9,106.5,128.2,94.3,109.9,110.6,116.3,109.7,112.8,107,117.2,111.2,116.3,105.6,106.7,103,108.6,105.1,106.9,113.3,107,108.9,
Rural+Urban,2011,July,105.5,97.7,118,113.4,115.1,120.2,108.3,127.8,94.9,111.2,111.7,118.2,110.4,115.5,107,116.8,113.2,116.2,107.5,108.2,104.8,110,107.2,110.7,115.6,108.9,110.5,
Rural,2011,August,107.28,99.43,117.19,114.97,116.84,121.2,115,131.78,95.58,112.54,113.92,119.78,112.17,118.31,NA,118.03,115.85,117.73,109.1,110.87,108.15,113.23,109.23,117.37,118.77,112.15,113.1,
Urban,2011,August,101.8,96.3,124.4,110.6,115.6,121.9,110.1,128.2,94.8,111.1,111.7,117.6,110.8,113.7,107.9,118.4,112.6,117.6,106.6,107.9,103.6,109.2,105.8,109.1,115.4,108.1,109.9,
Rural+Urban,2011,August,105.9,98.5,119.5,113.5,116.4,121.4,113.5,130.2,95.4,111.9,112.8,119.2,111.7,116.6,107.9,118.2,114.7,117.7,108.3,109.3,105.4,111,107.8,114,117.4,110.3,111.7,
Rural,2011,September,108.1,100.5,118.5,116.5,119,122.8,117.5,129.3,96.3,113.5,115.3,121.1,113.4,119.4,NA,119.9,117.2,119.5,110.1,111.5,108.8,114.8,110.5,119.2,119.6,113.4,114.4,
Urban,2011,September,101.9,98.9,125.8,112.9,117.8,123.5,115.5,124.7,95,112.2,112.8,118.6,112.2,115.5,108.8,119.7,113.7,118.8,107.2,108.4,103.7,110.3,106.5,110.5,117,108.9,111.1,
Rural+Urban,2011,September,106.5,100,120.8,115.3,118.6,123,116.9,127.3,95.9,112.9,114.1,120.4,113,117.9,108.8,119.8,115.9,119.2,109.1,109.8,105.7,112.3,108.9,115.7,118.6,111.3,113,
Rural,2011,October,108.1,101.6,118.8,116.8,120.7,123.1,121.1,129.4,96.7,114.4,116.2,121.7,114.3,120.4,NA,120.8,118,120.4,110.7,111.6,108.8,115.8,110.8,119.4,120.8,113.9,115.2,
Urban,2011,October,102.3,101,126,113.7,119.5,124.7,117.9,125.2,95.5,112.9,113.8,119.7,113.3,115.9,110,121.3,114.7,120.3,107.7,108.7,103.9,111.3,107,110.7,118.1,109.6,112,
Rural+Urban,2011,October,106.6,101.4,121.1,115.8,120.3,123.6,120.1,127.6,96.4,113.8,115,121.2,114,118.7,110,121,116.8,120.4,109.7,110,105.8,113.3,109.3,115.9,119.7,111.9,113.8,
Rural,2011,November,108.4,102.4,119.7,117.2,122.3,123,115.4,127.3,98.3,115.1,117.1,120.8,114.2,121.4,NA,120.8,118.4,120.4,111.8,112,109.2,116.2,110.9,120.8,121,114.7,115.4,
Urban,2011,November,102.5,101.7,125.9,115.1,120.5,125.4,111,124,98.5,114,114.8,120.8,113.2,116.7,110.9,122.6,116,121.7,108.5,108.9,103.6,112.3,107.6,111.9,119.4,110.3,112.5,
Rural+Urban,2011,November,106.9,102.2,121.7,116.5,121.6,123.7,114,125.9,98.4,114.6,116,120.8,113.9,119.6,110.9,121.4,117.5,120.9,110.7,110.3,105.8,114,109.6,117.2,120.4,112.7,114.1,
Rural,2011,December,108,103.1,121.2,117.6,123.2,123,101.4,122.1,100.2,116.3,117.1,121.2,112.8,120.3,NA,121.9,119,121.5,111.9,111.9,109.6,116.2,111.3,120.9,121.7,114.8,114.5,
Urban,2011,December,102.3,101.3,127,115.3,121.7,124.7,93.1,122.4,100.8,115.4,115.6,121.5,111.6,117.1,112.2,123.8,116.9,122.8,109.1,109,103.3,112.3,108.4,112.3,120.5,110.6,112.3,
Rural+Urban,2011,December,106.6,102.5,123.1,116.8,122.6,123.5,98.8,122.2,100.4,115.9,116.4,121.3,112.4,119.1,112.2,122.6,118.2,122,111,110.3,105.8,114,110.1,117.4,121.2,112.9,113.6,
Rural,2012,January,108.3,103.3,122.9,117.8,124,122.5,99.8,125.2,99.8,117.8,117.4,122.4,113.1,121.1,NA,122.6,120.1,122.2,112.2,112.5,110.3,116.6,112.1,121.2,122.5,115.3,114.9,
Urban,2012,January,102.3,101.2,131,116.3,122.4,123.5,90.6,122.3,99.2,116.1,116.4,122.5,111.9,117.6,112.9,124.8,117.7,123.7,109.7,109.5,103.5,112.8,109.1,112.7,122.1,111.1,112.8,
Rural+Urban,2012,January,106.7,102.7,125.5,117.3,123.4,122.8,96.9,124,99.6,117.1,116.9,122.4,112.7,119.8,112.9,123.4,119.2,122.7,111.4,110.9,106.2,114.5,110.9,117.8,122.3,113.4,114,
Rural,2012,February,108.3,103.2,123.5,118.1,124.8,121.4,102.4,126.8,99.5,117.5,117.2,122.8,113.6,121.3,NA,123,120.6,122.6,112.5,112.9,110.4,116.8,112.5,121.4,123.1,115.6,115.4,
Urban,2012,February,102.6,100.9,132.5,117,122.8,121.7,96.5,122.6,98.4,116.7,117.1,123,112.9,117.8,113.6,124.5,111.5,124.5,110.3,109.8,103.7,112.8,109.8,113.4,123.2,111.5,113.5,
Rural+Urban,2012,February,106.8,102.5,126.4,117.7,124.1,121.5,100.5,125,99.2,117.2,117.2,122.9,113.4,120,113.6,123.9,119.8,123.3,111.8,111.2,106.4,114.5,111.4,118.2,123.1,113.7,114.6,
Rural,2012,March ,108.5,103.5,125.8,119,125.5,121.5,107.8,127.6,99,118,117.7,123.5,114.7,121.5,NA,123.7,121.2,123.3,112.8,112.8,110.8,117.1,113.2,121.8,123.8,115.9,116.2,
Urban,2012,March,103.2,101.3,135.2,119.2,123.3,120.6,107.6,125.6,98,117.2,117.8,123.7,114.9,118.3,114.4,126.5,119.1,125.4,110.9,110.1,103.9,112.9,110.3,114,124.2,111.8,114.6,
Rural+Urban,2012,March,107.1,102.8,128.8,119.1,124.7,121.2,107.7,126.7,98.7,117.7,117.7,123.6,114.8,120.3,114.4,124.7,120.4,124.1,112.2,111.3,106.6,114.7,112,118.7,124,114,115.5,
Rural,2012,April,109.5,104.5,129.8,120.9,127.2,121.5,118.1,133.1,99.5,118.8,118.7,125.6,117.2,121.9,NA,125,122.2,124.6,112.8,113.2,111.3,117.5,113.7,123,124.7,116.4,117.9,
Urban,2012,April,104.2,101.7,139.6,120,124.1,119.6,117.2,134.7,98,118,118.5,126.5,117.3,119.5,115.3,127.8,119.9,126.6,111.5,111.8,104.2,113.1,111.2,115,125.3,112.5,116.1,
Rural+Urban,2012,April,108.1,103.6,132.9,120.6,126.1,120.9,117.8,133.8,99.1,118.5,118.6,125.8,117.2,121,115.3,126,121.4,125.3,112.4,112.4,107,115,112.7,119.8,124.9,114.6,117.1,
Rural,2012,May,110.6,105.9,131.4,122.2,128.9,122,120.8,134.5,100.2,120,119.5,127.4,118.6,122.5,NA,126.4,123.7,126,113.7,114.4,112.2,118.8,114.8,123.9,126.3,117.5,119.1,
Urban,2012,May,105.4,103.9,142.2,122.1,125.1,119.4,117.1,139,99.2,118.7,119.5,128.8,118.6,120.3,116.2,128.7,120.8,127.5,112,112.7,104.7,114.4,111.8,115.7,126.3,113.5,117.1,
Rural+Urban,2012,May,109.3,105.3,134.9,122.2,127.5,121.2,119.6,136.4,99.9,119.4,119.5,127.8,118.6,121.7,116.2,127.2,122.7,126.5,113.1,113.5,107.7,116.3,113.6,120.6,126.3,115.7,118.2,
Rural,2012,June,110.9,106.8,132.3,125.2,129.6,122.5,129,136,100.3,120.5,120.2,128.7,120.2,123.7,NA,127.7,124.8,127.3,114.6,114.9,112.3,120,115.3,125.5,128.2,118.5,120.5,
Urban,2012,June,106.4,106,142.8,125.5,125.5,119.5,125.3,139.8,99.6,119.3,120.4,130.1,120.4,121.1,117.5,129.5,121.7,128.4,112.4,113.7,105,116.6,112.5,116.8,127.1,114.7,118.5,
Rural+Urban,2012,June,109.7,106.6,135.7,125.3,128.1,121.6,127.8,137.6,100.1,120,120.3,129.1,120.3,122.7,117.5,128.3,123.7,127.7,113.9,114.2,107.9,118.1,114.2,122,127.8,116.7,119.6,
Rural,2012,July,113.4,109.5,135.9,126.3,130.6,123.6,138.9,137.6,103.5,122.1,121.7,130.9,123.2,125.2,NA,128.9,126.3,128.5,115,115.9,113.1,119.9,116,125.7,129.8,118.9,122.6,
Urban,2012,July,109.1,111.1,144.3,125.1,126.2,119.8,135.4,141.9,104.5,120.6,121.7,131.3,123.1,121.8,118.4,130.7,122.9,129.6,113.3,115.6,105.3,115.6,113.4,117.6,128.7,115.1,119.9,
Rural+Urban,2012,July,112.3,110,138.6,125.9,129,122.5,137.8,139.5,103.8,121.5,121.7,131,123.2,123.9,118.4,129.5,125.1,128.9,114.4,115.7,108.4,117.5,114.9,122.4,129.4,117.1,121.4,
Rural,2012,August,115.9,112.5,138.9,127.6,131.5,126.4,139.8,140.3,110.9,122.9,122.7,131.8,125.3,127,NA,130.4,127.4,129.9,115.7,116.6,113.5,120.4,116.7,126.7,131,119.6,124.3,
Urban,2012,August,112.5,118.3,147.1,125,126.9,121,131.4,141.1,115,121.8,123.1,132.3,124.8,122.9,119.5,131.9,124,130.7,114.1,116.6,105.8,116.2,114.2,118.6,130.1,115.8,121.1,
Rural+Urban,2012,August,115,114.3,141.5,126.7,129.8,124.8,137.1,140.6,112.1,122.4,122.9,131.9,125.1,125.4,119.5,130.9,126.2,130.2,115.2,116.6,108.9,118,115.7,123.4,130.6,117.8,122.9,
Rural,2012,September,118.1,114.4,140.7,129.6,133.2,127.5,137.4,136.6,113.3,124.9,124.2,132.6,126.6,127.9,NA,131.9,128.6,131.4,116.8,117.7,114.5,121.6,118.1,129.2,131.6,121,125.6,
Urban,2012,September,115.8,120.2,148.4,128.6,127.8,121.8,125.8,130.5,117.1,123.2,124.4,133.4,125.3,123.9,120.6,133,124.7,131.8,114.9,117.1,105.9,116.7,114.9,120.1,131.5,116.5,121.9,
Rural+Urban,2012,September,117.5,116.2,143.2,129.3,131.2,125.8,133.7,134,114.4,124.2,124.3,132.8,126.2,126.4,120.6,132.3,127.2,131.5,116.2,117.4,109.3,118.8,116.8,125.5,131.6,118.9,124,
Rural,2012,October,119.9,115.1,141,130.3,134.4,128.1,137.6,136.9,114.5,126.2,125.3,133.6,127.7,129.1,NA,133.4,129.5,132.8,117.7,118.2,115.1,122.8,118.9,129.5,132.5,121.8,126.6,
Urban,2012,October,117,119.6,146.5,129,128.9,122.4,122.8,130.1,117.2,124.6,125.8,134.2,125.5,125.3,121.6,134.5,125.7,133.2,115.6,117.4,106.3,117.5,115.5,120.8,132.9,117.2,122.6,
Rural+Urban,2012,October,119.1,116.5,142.8,129.9,132.4,126.4,132.9,134,115.3,125.5,125.5,133.8,127,127.7,121.6,133.8,128.1,132.9,117,117.8,109.8,119.8,117.5,126,132.7,119.7,124.9,
Rural,2012,November,120.7,115.3,141.5,130.2,134.3,128.2,135.4,138.2,114.6,126.6,126.1,134.2,127.8,129.2,NA,134.7,130.6,134.1,118,118.6,115.4,123.5,119.4,130.2,133.3,122.3,126.9,
Urban,2012,November,118.3,119.5,146.6,128.4,129.5,123,121.4,133,116.4,126.2,127.4,135.1,126.2,127.3,122.4,136,126.8,134.6,116.4,117.9,107.8,118.2,116.1,121.8,134.6,118,123.4,
Rural+Urban,2012,November,120.1,116.6,143.2,129.6,132.5,126.7,130.9,136,115.1,126.5,126.7,134.4,127.3,128.5,122.4,135.2,129.2,134.3,117.5,118.2,110.8,120.5,118.1,126.8,133.8,120.3,125.4,
Rural,2012,December,121.6,115.2,142,130.7,134.4,128.1,128.4,136.7,113.9,127.2,126.5,134.6,127.4,129.5,NA,135.6,131.1,134.9,118.1,118.8,115.4,123.7,119.7,130.1,133.3,122.4,126.8,
Urban,2012,December,119.8,118.7,147.1,130.1,129.9,123.2,114.8,133.3,114.5,127.5,128.5,135.8,126.1,127.8,123.8,136.9,127.3,135.5,117,118.1,108.1,118.6,116.7,122.3,136.1,118.5,124,
Rural+Urban,2012,December,121.1,116.3,143.6,130.5,132.7,126.7,124.1,135.2,114.1,127.3,127.5,134.9,127,128.9,123.8,136.1,129.7,135.1,117.7,118.4,111,120.8,118.5,127,134.4,120.6,125.6,
