Name,Growth Score,Stage,Total Funding,Last Funding,Location
Palantir Technologies,330,Late,$1.4B,7/23/2015,Bay Area
Domo,1608,Late,$483.7M,4/8/2015,Salt Lake City
Mulesoft,1528,Late,$258.5M,5/19/2015,Bay Area
Medallia,615,Late,$255.0M,7/21/2015,Bay Area
Qualtrics,1544,B,$220.0M,9/24/2014,Salt Lake City
Zeta Interactive,320,Late,$205.0M,7/15/2015,New York
Sumo Logic,800,Late,$155.0M,6/1/2015,Bay Area
Lithium,336,Late,$151.7M,9/3/2013,Bay Area
Tanium,1049,B,$142.8M,3/31/2015,Bay Area
Birst,525,Late,$129.0M,3/17/2015,Bay Area
Sprinklr,3126,Late,$123.5M,3/31/2015,New York
INVIDI Technologies,117,Late,$120.3M,4/14/2011,New York
Delphix,247,Late,$119.5M,7/13/2015,Bay Area
Tidemark,46,Late,$105.4M,6/16/2015,Bay Area
Gigya,587,Late,$104.8M,11/4/2014,Bay Area
GoodData,103,Late,$101.2M,9/10/2014,Bay Area
DataGravity,389,C,$92.0M,12/9/2014,Boston
Host Analytics,237,Late,$85.9M,11/24/2014,Bay Area
InsideView,328,Late,$76.0M,7/30/2015,Bay Area
Xactly Corp,437,Late,$73.9M,10/1/2012,Bay Area
CloudFlare,385,C,$72.1M,12/17/2013,Bay Area
Attivio,30,Late,$71.1M,10/11/2012,Boston
Druva,630,Late,$67.0M,8/6/2014,Bay Area
Platfora,318,C,$65.2M,3/19/2014,Bay Area
EnterpriseDB,286,Late,$64.9M,12/18/2014,Boston
Mapbox,489,B,$63.2M,6/17/2015,Washington D.C.
Quid,245,Late,$63.0M,3/19/2015,Bay Area
ExtraHop Networks,593,C,$60.1M,5/29/2014,Seattle
Lattice Engines,56,Late,$54.7M,6/10/2015,Bay Area
Socrata,417,C,$54.5M,12/2/2014,Seattle
Clustrix,2,Late,$54.3M,5/8/2014,Bay Area
CallMiner,-25,Late,$54.1M,7/14/2015,Fort Myers
GainSight,732,C,$54.1M,10/10/2014,Bay Area
