city,latitude,longitude
Bolton,43.8741995,-79.7306602
Bradford,44.120221,-79.561908
Brampton,43.683333,-79.766667
Caledon,43.866667,-80
East York,43.6912006,-79.3416638
Etobicoke,43.6204946,-79.5131983
Hamilton,43.2500208,-79.8660914
Mississauga,43.5890452,-79.6441198
North York,43.7615377,-79.4110794
Shelburne,44.079119,-80.2011728
Springbrook,43.668255,-79.804849
Thornhill,43.8657847,-79.4199085
Toronto,43.653226,-79.3831843
York,43.6956787,-79.4503544
Whitby,43.8975446,-78.9429329
Woodbridge,43.7890469,-79.612977
