client_id,referrer_code,city,postal_code,latitude,longitude,initial_visit_date,product_count
1,OTHER CLIENTS,Brampton,L6P1L8,43.775235,-79.672987,2012-07-12,1
1,OTHER CLIENTS,Brampton,L6P1L8,43.775235,-79.672987,2013-09-30,1
2,OTHER CLIENTS,Brampton,L6P1L8,43.775235,-79.672987,2012-12-11,2
2,OTHER CLIENTS,Brampton,L6P1L8,43.775235,-79.672987,2013-01-21,1
3,OTHER CLIENTS,Brampton,L6P1L8,43.775235,-79.672987,2012-12-17,1
3,OTHER CLIENTS,Brampton,L6P1L8,43.775235,-79.672987,2013-09-30,2
4,MEDIA,Brampton,L6P1L8,43.775235,-79.672987,2012-10-09,1
5,Referrer_3,Brampton,L6P1L8,43.775235,-79.672987,2012-07-09,2
6,Referrer_3,Brampton,L6P1L8,43.775235,-79.672987,2012-12-31,2
7,OTHER CLIENTS,Etobicoke,M9V4T4,43.758575,-79.594726,2013-07-12,1
8,OTHER CLIENTS,Brampton,L6P1G9,43.775968,-79.664363,2013-03-21,1
9,WALK-IN,Brampton,L6P1G9,43.775968,-79.664363,2012-04-12,1
9,WALK-IN,Brampton,L6P1G9,43.775968,-79.664363,2013-12-07,0
10,WALK-IN,Brampton,L6P1G9,43.775968,-79.664363,2012-06-19,1
11,WALK-IN,Brampton,L6P1G9,43.775968,-79.664363,2012-04-12,2
12,OTHER CLIENTS,Brampton,L6P1G9,43.775968,-79.664363,2013-03-21,1
12,OTHER CLIENTS,Brampton,L6P1G9,43.775968,-79.664363,2013-03-21,1
13,OTHER CLIENTS,Brampton,L6P1G9,43.775968,-79.664363,2013-03-05,1
14,Referrer_3,Brampton,L6P1G9,43.775968,-79.664363,2013-03-14,2
15,OTHER CLIENTS,Brampton,L6P2N4,43.777111,-79.679876,2014-10-02,1
16,OTHER CLIENTS,Brampton,L6P1S4,43.768574,-79.668612,2013-09-13,1
17,OTHER CLIENTS,Brampton,L6P1S4,43.768574,-79.668612,2013-09-06,1
18,WALK-IN,Brampton,L6P1S4,43.768574,-79.668612,2014-01-08,1
19,OTHER CLIENTS,Brampton,L6P1H2,43.77589,-79.662339,2013-05-23,1
20,WALK-IN,Brampton,L6P1H2,43.77589,-79.662339,2012-09-13,2
21,WALK-IN,Brampton,L6P1H2,43.77589,-79.662339,2012-04-12,1
22,Referrer_0,Brampton,L6P1H2,43.77589,-79.662339,2014-11-21,1
23,OTHER CLIENTS,Brampton,L6P1H2,43.77589,-79.662339,2013-02-25,1
24,OTHER CLIENTS,Brampton,L6P1H2,43.77589,-79.662339,2013-06-25,1
25,Referrer_24,Brampton,L6P1H2,43.77589,-79.662339,2012-10-10,3
26,Referrer_3,Brampton,L6P1H2,43.77589,-79.662339,2012-09-20,1
27,WALK-IN,Brampton,L6P2C4,43.772229,-79.708831,2012-11-27,2
28,OTHER CLIENTS,Brampton,L6P2C4,43.772229,-79.708831,2013-09-13,1
29,Referrer_6,Brampton,L6P1N9,43.774495,-79.676838,2012-04-12,2
29,WALK-IN,Brampton,L6P1N9,43.774495,-79.676838,2014-10-18,1
30,Referrer_6,Brampton,L6P1N9,43.774495,-79.676838,2013-05-22,2
