Case,Location,Date,Year,Summary,Fatalities,Injured,Total victims,Venue,Prior signs of possible mental illness,Mental Health,Weapons obtained legally,Where obtained,Type of weapons,Weapon details,Race,Gender,Sources,Mental Health Sources,latitude,longitude,Type
Umpqua Community College shooting,"Roseburg, OR",10/1/2015,2015, 26-year-old Chris Harper Mercer opened fire at Umpqua Community College in southwest Oregon. The gunman shot himself to death after being wounded in a shootout with police.,9,9,18,School,Unclear,,Yes,,,,,Male,,,,,
Chattanooga military recruitment center,"Chattanooga, TN",7/16/2015,2015,"Kuwaiti-born Mohammod Youssuf Abdulazeez, 24, a naturalized US citizen, opened fire at a Naval reserve center, and then drove to a military recruitment office where he shot and killed four Marines and a Navy service member, and wounded a police officer and another military service member. He was then fatally shot in an exchange of gunfire with law enforcement officers responding to the attack.",5,2,7,Military,Unclear,"Abdulazeez ""had suffered for years from depression and possibly from bipolar disorder,"" according to a representative of the family. (NYT, July 20 2015)","Yes (""some of the weapons were purchased legally and some of them may not have been"")","On the internet, via Armslist.com","2 assault rifles; semiautomatic handgun
","AK-47, AR-15, and 30-round magazines; 9mm handgun",Other,Male,http://www.reuters.com/article/2015/07/16/us-usa-shooting-tennessee-idUSKCN0PQ1WY20150716; http://www.nytimes.com/2015/07/18/us/chattanooga-gunmans-past-scoured-for-extremist-ties.html; http://www.wsj.com/articles/chattanooga-shooting-highlights-online-gun-sales-1437435518http://www.nytimes.com/2015/07/19/us/chattanooga-attacks-claim-a-5th-military-service-members-life.html; http://www.cnn.com/2015/07/17/us/tennessee-naval-reserve-shooting/; https://twitter.com/markfollman/status/622105627473477632; http://www.nytimes.com/2015/07/21/us/chattanooga-gunman-wrote-of-suicide-and-martyrdom-official-says.html,,35.047157,-85.311819,Mass
Charleston Church Shooting,"Charleston, SC",6/17/2015,2015,"Dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been “planning something like that for six months.""",9,1,10,Religious,unknown,,Yes,"Shooter's Choice gun store in West Columbia, South Carolina",Handgun,".45-caliber Glock (model 41, with 13-round capacity magazine)",White,Male,http://www.motherjones.com/politics/2015/06/dylann-roofs-attorney; http://www.newsweek.com/report-nine-shot-charleston-south-carolina-church-shooting-344235; http://www.cnn.com/2015/06/19/us/charleston-church-shooting-suspect/; http://www.motherjones.com/politics/2015/06/9-people-dead-mass-shooting-south-carolina-church; http://www.nbcnews.com/storyline/charleston-church-shooting/fbi-says-dyann-roof-should-not-have-been-sold-gun-n390056 ,,32.788387,-79.933143,Mass
Marysville-Pilchuck High Schoolshooting,"Marysville, WA",10/24/2014,2014,"Jaylen Fryberg, 15, using a .40-caliber Berretta, shot five 
students at Marysville High School, including two of his cousins and three friends, killing all but one. Fryberg arranged to meet them for lunch in the school cafeteria by text. Fryberg was reportedly well-liked at the school and there was not believed to be any ill-will between him and his victims. He committed suicide at the scene.",5,1,6,School,Unclear,"Fryberg was well-liked and allegedly happy, but was also upset about a girl and had posted emotional social media messages. No definitive signs of mental health problems.",No,Gun was his father's.,Handgun,Beretta .40-caliber handgun,Native American,Male,http://www.seattletimes.com/seattle-news/fourth-marysville-shooting-victim-dies-as-another-is-laid-to-rest/ http://www.mercurynews.com/crime-courts/ci_26814211/jaylen-fryberg-included-tributes-washington-school-shooting-victims,http://www.newyorker.com/science/maria-konnikova/almost-link-mental-health-gun-violence,48.050824,-122.176918,Mass
Alturas tribal shooting,"Alturas, CA",2/20/2014,2014,"Cherie Lash Rhoades, 44, opened fire at the Cedarville Rancheria Tribal Office and Community Center, killing four and wounding two. After running out of ammunition, Rhoades grabbed a butcher knife and stabbed another person.",4,2,6,Other,Unknown,,Unknown,,Two handguns and a butcher knife,9mm semi-automatic handgun,Native American,Female,http://www.sacbee.com/news/local/crime/article2603350.html; http://www.csmonitor.com/USA/2014/0223/Alturas-tribal-shooting-Was-embezzlement-eviction-behind-family-revenge-video; http://www.cbsnews.com/news/4-dead-2-injured-at-american-indian-tribal-office-in-northern-california/; http://nativenewsonline.net/currents/former-tribal-chairperson-custody-mass-murder-cedarville-rancheria-tribal-headquarters/,,41.487104,-120.542237,Mass
Washington Navy Yard shooting,"Washington, D.C.",9/16/2013,2013,"Aaron Alexis, 34, a military veteran and contractor from Texas, opened fire in the Navy installation, killing 12 people and wounding 8 before being shot dead by police.",13,8,21,Military,Yes,"Had told Rhode Island police the prior month that he'd ""heard voices""; had been undergoing mental health treatment with Veterans Affairs since August 2013.",Yes,Sharpshooters Small Arms Range,"Sawed-off shotgun, 2 boxes of shells; also a .45-caliber handgun taken from a security guard he shot at the scene.",Remington 870 Express 12-gauge shotgun; Beretta handgun,Black,Male,http://www.nytimes.com/2013/09/18/us/state-law-stopped-gunman-from-buying-rifle-officials-say.html; http://edition.cnn.com/2013/09/17/us/navy-yard-shooting-military-contractors; http://www.fbi.gov/washingtondc/press-releases/2013/law-enforcement-shares-findings-of-the-investigation-into-the-washington-navy-yard-shootings/index.html,http://bigstory.ap.org/article/13-killed-washington-navy-yard-shooting-rampage,38.874981,-76.99453,Mass
Hialeah apartment shooting,"Hialeah, Florida",7/26/2013,2013,"Pedro Vargas, 42, set fire to his apartment, killed six people in the complex, and held another two hostages at gunpoint before a SWAT team stormed the building and fatally shot him.",7,0,7,"Other
",Unclear,His mother told authorities her son had been acting strangely and needed a psychiatric evaluation.,Yes,Florida Gun Center,9mm semi-automatic handgun,Glock 17,Latino,Male,http://www.miamiherald.com/2013/07/27/v-print/3526078/a-look-at-the-victims-in-the-hialeah.html  http://www.cbsnews.com/8301-201_162-57595796/pedro-vargas-idd-as-gunman-behind-deadly-rampage-in-hialeah-florida/    http://www.miamiherald.com/2013/07/28/3528362/little-about-pedro-vargas-life.html,http://www.miamiherald.com/2013/08/03/v-print/3539629/hialeah-killer-showed-signs-of.html,25.8670105,-80.29146268,Mass
Santa Monica rampage,"Santa Monica, California",6/7/2013,2013,"John Zawahri, 23, armed with a homemade assault rifle and high-capacity magazines, killed his brother and father at home and then headed to Santa Monica College, where he was eventually killed by police.",6,3,9,"Other
",Yes,He was known as a solitary teen who regularly ditched class and had an interest in assault weapons; he had been admitted to UCLA's psychiatric ward for a brief period.,Yes ,Assembled a rifle out of component parts.,"Assault rifle, high capacity magazines, antique handgun
",".223-caliber semi-automatic assault rifle, about 40 high capacity magazines, ""black powder"" handgun (likely antique)",White,Male,http://www.cbsnews.com/8301-504083_162-57589327-504083/john-zawahri-suspected-gunman-in-deadly-santa-monica-shooting-left-farewell-note-police-say/,"http://www.cbsnews.com/8301-504083_162-57589327-504083/john-zawahri-suspected-gunman-in-deadly-santa-monica-shooting-left-farewell-note-police-say/   http://www.latimes.com/news/local/la-me-0611-santa-monica-shooting-20130611,0,1490078.story",34.008617,-118.494754,Spree
Pinewood Village Apartment shooting,"Federal Way, Washington",4/21/2013,2013,"Dennis Clark III, 27, shot and killed his girlfriend in their shared apartment, and then shot two witnesses in the building's parking lot and a third victim in another apartment, before being killed by police.",5,0,5,"Other
",No,,Yes,Unknown,"Semiautomatic handgun, shotgun",".40 caliber semi-automatic handgun, pistol grip shotgun",Black,Male,http://seattletimes.com/html/localnews/2020836119_federalwayshootingxml.html  ,,47.3129607,-122.3393665,Mass
Mohawk Valley shootings,"Herkimer County, New York",3/13/2013,2013,"Kurt Myers, 64, shot six people in neighboring towns, killing two in a barbershop and two at a car care business, before being killed by officers in a shootout after a nearly 19-hour standoff.",5,2,7,Other,No,,Yes,"Frank's Guns in Marcy, NY",Shotgun,Unknown,White,Male,https://www.nyspnews.com/article_display.cfm?article_id=29584,http://poststar.com/news/local/state-and-regional/cops-kill-suspect-in-deadly-mohawk-valley-shooting-rampage/article_15260208-8bf5-11e2-b2d9-0019bb2963f4.html,43.045601,-74.984891,Spree
