year,month,guns_total_per_1000,guns_total,guns_total_seas,handgun_share,longgun_share,missouri,maryland,new_jersey,district_of_columbia,mississippi,louisiana,alabama,texas,georgia,dc_handguns_per_100k_national_sales
2000,1,2.332,574951,655088.710685556,0.3183,0.6749,2.71,0.636,0.469,0,2.391,2.506,3.14,8.164,3.075,2.1
2000,2,2.344,649111,658925.860865386,0.3178,0.6755,2.728,0.642,0.475,0,2.394,2.493,3.122,8.274,3.045,0.5
2000,3,2.335,664622,657021.995131628,0.3202,0.6728,2.668,0.644,0.493,0,2.339,2.447,3.071,8.443,3.067,1
2000,4,2.342,552965,659698.47505256,0.3188,0.6741,2.743,0.687,0.517,0,2.422,2.601,3.188,8.451,3.171,1.5
2000,5,2.297,467712,647409.449152669,0.3148,0.6775,2.739,0.678,0.525,0,2.453,2.538,3.179,8.506,3.092,1.1
2000,6,2.319,479248,654262.383350558,0.3139,0.6791,2.823,0.651,0.551,0,2.473,2.48,3.167,8.519,3.072,0
2000,7,2.318,480019,654534.577614929,0.3116,0.6815,2.712,0.709,0.559,0,2.425,2.457,3.139,8.42,3.111,0.5
2000,8,2.277,618567,643789.807536772,0.3117,0.6815,2.61,0.678,0.564,0,2.361,2.372,3.207,8.319,3.084,0.5
2000,9,2.296,735382,649780.116168394,0.3125,0.681,2.59,0.679,0.551,0,2.431,2.545,3.181,8.122,2.998,0
2000,10,2.26,792515,640060.083551654,0.3059,0.6874,2.662,0.639,0.537,0,2.355,2.501,3.16,8.261,2.964,0
2000,11,2.268,860882,642786.391980319,0.3112,0.6823,2.785,0.687,0.556,0,2.274,2.49,3.165,8.347,3.087,1.6
2000,12,2.229,984623,632222.811033611,0.3199,0.6732,2.607,0.67,0.555,0,2.188,2.371,3.062,8.08,3.118,0
2001,1,2.281,568018,647477.263850822,0.3098,0.6834,2.692,0.684,0.55,0,2.258,2.411,3.171,8.448,3.076,0
2001,2,2.257,609012,641015.457851532,0.3015,0.6918,2.743,0.706,0.54,0,2.338,2.501,3.23,8.465,3.012,0.6
2001,3,2.239,647260,636447.301249551,0.2996,0.6937,2.723,0.712,0.515,0,2.391,2.564,3.306,8.361,3.079,1.7
2001,4,2.229,523525,634043.48517237,0.299,0.6943,2.635,0.652,0.507,0,2.341,2.378,3.241,8.202,2.912,1.1
2001,5,2.28,471943,649064.240082653,0.3019,0.6918,2.652,0.652,0.497,0,2.331,2.439,3.239,8.345,2.944,1.1
2001,6,2.275,473600,648284.426755317,0.2977,0.6957,2.72,0.738,0.47,0,2.402,2.645,3.32,8.347,2.942,0
