,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,South Africa,,Aggregate HPI,,
1975:Q1,7.60,15.22,17.44,49.41,53.79,15.77,3.56,13.91,11.07,6.01,3.35,7.84,59.06,8.72,7.49,17.88,13.35,7.43,14.57,17.36,3.23,,22.75,,
1975:Q2,7.77,16.01,17.76,48.01,54.22,16.28,3.64,14.01,11.50,6.16,3.51,7.75,59.22,9.25,8.19,17.25,13.52,7.41,15.07,17.51,3.28,,22.93,,
1975:Q3,8.04,16.52,18.49,47.63,54.75,17.02,3.74,14.27,11.94,6.29,3.71,7.68,59.39,9.81,8.87,17.76,13.71,7.54,15.61,17.68,3.29,,23.17,,
1975:Q4,8.31,17.38,19.20,47.50,55.42,17.07,3.86,14.77,12.40,6.35,3.98,7.66,59.60,10.39,9.53,18.61,14.08,7.72,16.17,18.03,3.37,,23.52,,
1976:Q1,8.58,19.06,19.88,46.46,56.06,17.65,3.99,14.90,12.86,6.56,4.22,7.68,59.87,11.08,10.15,19.39,14.11,7.87,16.71,18.25,3.44,,23.83,,
1976:Q2,8.87,19.64,20.61,46.38,57.00,17.78,4.14,14.78,13.34,6.71,4.32,7.73,60.25,11.73,10.77,20.76,14.81,8.00,17.35,18.79,3.51,,24.32,,
1976:Q3,9.07,20.56,20.81,44.88,58.03,18.13,4.31,15.30,13.83,6.82,4.51,7.79,60.78,12.41,11.37,22.80,15.12,8.11,18.01,19.25,3.51,,24.78,,
1976:Q4,9.27,21.50,20.65,46.82,59.20,18.91,4.50,15.45,14.33,6.92,4.80,7.91,61.35,13.11,11.95,24.83,15.63,8.26,18.70,19.58,3.51,,25.23,,
1977:Q1,9.47,22.46,20.40,45.81,60.68,19.06,4.67,15.29,14.93,7.05,4.95,8.06,62.08,13.74,12.56,27.41,16.02,8.42,19.50,20.15,3.51,,25.81,,
1977:Q2,9.70,23.40,20.38,46.41,61.98,20.16,4.91,15.60,15.43,7.14,5.03,8.24,62.76,14.58,13.07,30.25,16.28,8.59,20.22,20.85,3.56,,26.45,,
1977:Q3,9.87,24.25,20.32,46.89,63.27,20.93,5.17,15.61,15.91,7.29,5.27,8.45,63.44,15.52,13.51,31.43,16.61,8.66,20.92,21.47,3.56,,27.03,,
1977:Q4,10.06,25.94,22.24,46.60,64.56,22.01,5.47,15.63,16.37,7.51,5.65,8.70,64.18,16.56,13.90,32.43,16.89,8.67,21.59,22.36,3.59,,27.81,,
1978:Q1,10.21,25.97,22.67,46.82,65.74,22.85,5.84,15.86,16.74,7.78,5.96,8.98,64.97,17.53,14.08,32.91,17.00,8.66,22.20,23.04,3.63,,28.43,,
1978:Q2,10.42,26.77,23.18,47.84,67.03,23.63,6.17,16.20,17.21,8.12,6.67,9.30,65.88,18.86,14.42,33.78,16.96,8.69,22.86,23.78,3.64,,29.14,,
1978:Q3,10.63,27.72,23.71,48.80,68.32,24.31,6.49,16.07,17.73,8.61,7.12,9.65,66.87,20.37,14.75,32.25,17.38,8.79,23.49,24.60,3.72,,29.87,,
1978:Q4,10.84,28.22,23.97,50.43,69.60,24.52,6.81,16.34,18.26,9.22,7.05,10.03,68.07,22.04,15.11,32.65,17.49,8.93,24.09,25.34,3.86,,30.63,,
1979:Q1,11.02,28.93,24.45,51.08,71.13,25.19,7.20,16.51,18.69,9.84,7.44,9.81,69.42,24.40,15.42,31.82,17.62,9.07,24.85,26.47,3.94,,31.56,,
1979:Q2,11.23,29.66,25.36,51.41,72.27,26.18,7.49,16.67,19.34,10.55,8.71,10.32,71.11,26.27,15.78,31.20,17.78,9.16,25.36,27.15,4.07,,32.38,,
1979:Q3,12.07,30.00,26.57,52.93,73.30,26.75,7.71,17.17,20.13,11.23,8.50,10.94,73.15,28.12,16.13,31.12,17.95,9.28,25.75,27.78,4.23,,33.26,,
1979:Q4,12.88,30.44,28.20,54.61,74.19,26.65,7.89,17.70,20.98,12.03,8.82,11.63,75.40,29.97,16.50,30.60,18.25,9.43,26.04,28.53,4.40,,34.22,,
1980:Q1,13.63,31.07,29.51,56.84,73.99,26.19,7.86,18.32,22.46,12.66,9.05,12.43,78.03,31.66,16.97,29.95,18.79,9.62,26.14,28.93,4.57,,35.01,,
1980:Q2,14.29,30.28,30.81,56.97,74.99,25.22,8.01,19.03,23.33,13.09,8.97,13.31,80.55,33.54,17.28,29.09,19.50,9.88,26.29,29.26,4.88,,35.77,,
1980:Q3,14.79,29.68,32.21,58.43,76.27,25.91,8.15,19.87,24.16,13.44,9.34,14.34,83.14,35.38,17.54,27.56,20.01,10.24,26.35,30.09,5.34,,36.79,,
1980:Q4,15.01,28.98,35.14,58.42,77.76,25.90,8.30,20.26,24.87,13.58,10.21,15.39,85.55,37.24,17.78,27.82,20.67,10.60,26.34,30.37,5.83,,37.63,,
1981:Q1,16.14,28.55,38.70,60.78,80.84,25.66,8.48,21.00,25.53,13.77,10.77,18.58,87.86,39.97,18.00,27.66,21.07,11.03,26.04,30.50,6.34,,38.72,,
1981:Q2,16.57,28.56,41.69,63.78,82.31,24.47,8.64,21.71,26.09,14.04,11.15,19.65,90.08,41.48,18.11,26.13,21.51,11.92,26.01,30.98,6.87,,39.60,,
1981:Q3,16.46,27.90,45.54,64.03,83.59,23.92,8.79,22.70,26.61,14.06,12.05,20.69,92.23,42.53,18.10,25.14,21.97,12.85,26.00,31.49,7.41,,40.44,,
1981:Q4,17.22,28.18,44.40,65.51,84.56,24.31,8.94,23.44,27.03,13.93,11.60,21.52,94.26,43.21,18.05,24.00,22.36,13.95,26.03,31.66,7.86,,40.91,,
1982:Q1,16.96,27.21,43.82,66.63,85.25,23.94,9.08,24.73,27.26,13.75,12.02,22.33,96.21,40.96,17.55,23.11,22.95,15.12,26.23,32.03,8.18,,41.31,,
