country,count,latitude,longitude
Iran,343,32.427908,53.688046
Gaza,6000,31.354676,34.308825
Peru,980000,-9.189967,-75.015152
Mexico,58740,23.634501,-102.552784
Uruguay,795500,-32.522779,-55.765835
Rwanda,280313,-1.940278,29.873888
Haiti,15000,18.971187,-72.285215
Afghanistan,6165,33.93911,67.709953
Mongolia,14500,46.862496,103.846656
Nepal,7680,28.394857,84.124008
Ethiopia,6840,9.145,40.489673
Solomon Islands,300,-9.64571,160.156194
Cambodia,1000,12.565679,104.990963
Colombia,25316,4.570868,-74.297333
Brazil,2600,-14.235004,-51.92528
Lebanon,450,33.854721,35.862285
Thailand,1000,15.870032,100.992541
India,1000,20.593684,78.96288
Mozambique,6000,-18.665695,35.529562
Swaziland,500,-26.522503,31.465866
Iraq,9150,33.223191,43.679291
Ghana,300,7.946527,-1.023194
Mali,6135,17.570692,-3.996166
Malaysia,100,4.210484,101.975766
Paraguay,13549,-23.442503,-58.443832
West Bank,3600,31.952162,35.233154
Nigeria,6100,9.081999,8.675277
Italy,1500,41.87194,12.56738
Indonesia,100,-0.789275,113.921327
Nicaragua,42000,12.865416,-85.207229
Australia,61668,-25.274398,133.775136
Papua New Guinea,2350,-6.314993,143.95555
Guatemala,217,15.783471,-90.230759
Argentina,65500,-38.416097,-63.616672
China,1000,35.86166,104.195397
Sri Lanka,1800,7.873054,80.771797
Pakistan,1200,30.375321,69.345116
Kenya,500,-0.023559,37.906193
Uganda,1200,1.373333,32.290275
Federated States of Micronesia,800,7.425554,150.550812
Philippines,2360,12.879721,121.774017
Costa Rica,5000,9.748917,-83.753428
Gabon,8100,-0.803689,11.609444
Togo,310,8.619543,0.824782
Honduras,57200,15.199999,-86.241905
El Salvador,200,13.794185,-88.89653
Greece,880,39.074208,21.824312
Fiji,1130,-16.578193,179.414413
Dominican Republic,750,18.735693,-70.162651
