@lat	@lon	addr:housenumber
45.4478739	-73.8159071	395
45.4934981	-73.6204077	3755;3791
45.4483419	-73.8576771	17100
45.5200478	-73.5866171	1
45.4939916	-73.5729480	1030
45.4930710	-73.5804177	1871
45.5194394	-73.5949512	5029
45.5198842	-73.5959090	5101
45.4503336	-73.7407070	13000
45.4671133	-73.8268437	6381
45.5480677	-73.5920883	2396
45.5399378	-73.6091280	920
45.5364749	-73.5981690	1112
45.5598866	-73.5505303	4777
45.5239300	-73.5824356	4475
45.5273031	-73.5801524	957
45.4964638	-73.6233416	5366
45.5145740	-73.5662054	255
45.5142733	-73.5659908	245
45.5372634	-73.6641074	1000
45.4969700	-73.6240772	5480
45.5114331	-73.6144781	20
45.5115665	-73.6147031	14
45.4974079	-73.6219459	5353
45.4972903	-73.6238627	5431
45.4972097	-73.6245969	5510
45.4970779	-73.6235156	5405
45.4969697	-73.6241587	5480
45.4967412	-73.6236596	5400
45.4967663	-73.6226623	5309
45.4965167	-73.6220967	5307
45.4972043	-73.6210087	3381
45.4977578	-73.6205023	3317
45.4980406	-73.6199358	3285
45.4997552	-73.6184252	3115
45.5005433	-73.6178415	5290
45.5009824	-73.6177128	5328
45.5011809	-73.6176870	5340
45.5054580	-73.6172235	2741
45.5072746	-73.6155584	2415
45.5031661	-73.6192234	2915
45.5014998	-73.6207512	3075
45.5029917	-73.6188200	2910
45.5013313	-73.6203134	3076
45.5010305	-73.6206224	3100
45.4992619	-73.6221674	3240
45.5012591	-73.6209486	3101
45.4994604	-73.6225193	3239
45.4990814	-73.6227510	3305
45.4981729	-73.6236351	3397
45.4989370	-73.6224335	3310
45.4977688	-73.6235081	3510
45.4974811	-73.6237810	3520
45.4977638	-73.6240128	3505
45.4975232	-73.6242273	3555
45.4979735	-73.6233146	3400
45.4972344	-73.6216610	5349
45.4970539	-73.6213263	5315
45.4972040	-73.6221485	5354
45.4975823	-73.6223837	5385
45.4977448	-73.6227442	5415
45.4979192	-73.6231562	5423
45.4979734	-73.6240059	5507
45.4982381	-73.6238514	5530
45.4976966	-73.6216541	3367
45.4982261	-73.6211992	3303
45.4974259	-73.6214739	3370
45.4980456	-73.6209589	3312
45.4986051	-73.6206928	3285
45.5002368	-73.6192122	3105
45.4984727	-73.6203495	3280
45.4999888	-73.6189934	3120
45.5008199	-73.6187262	2965
45.5016440	-73.6179537	2905
45.5007176	-73.6182542	2966
45.5008800	-73.6180997	2930
45.5013432	-73.6177649	2900
45.5025878	-73.6183547	2931
45.5009859	-73.6197854	3071
45.5022155	-73.6182456	2900
45.5009462	-73.6193442	3074
45.5008259	-73.6200137	3127
45.4989850	-73.6216616	3283
45.5004288	-73.6198334	3130
45.4988647	-73.6212668	3290
45.4985518	-73.6216015	3328
45.4977036	-73.6223139	3424
45.4984977	-73.6221165	3333
45.4978600	-73.6226401	3435
45.4973125	-73.6226916	3508
45.4971140	-73.6228461	3536
45.4974268	-73.6231208	3515
45.4971741	-73.6233439	3553
45.4979081	-73.6203828	5300
45.4981788	-73.6208548	5348
45.4981728	-73.6201939	5305
45.4983292	-73.6205201	5333
45.4983473	-73.6210866	5350
45.4985097	-73.6214041	5390
45.4986060	-73.6209492	5385
45.4987263	-73.6211896	5387
45.4987744	-73.6220135	5400
45.4990933	-73.6218247	5425
45.4991715	-73.6220307	5435
45.4995324	-73.6227603	5511
45.4993339	-73.6231637	5530
45.4995505	-73.6236787	5598
45.5005966	-73.6224418	5605
45.5002669	-73.6236611	5625
45.4997851	-73.6241421	5600
45.5002122	-73.6251206	5674
45.5008684	-73.6194783	5365
45.5006037	-73.6189032	5335
45.5005977	-73.6197100	5362
45.5003691	-73.6191607	5324
45.5004647	-73.6185032	5307
45.5002495	-73.6179986	5275
45.5001586	-73.6188088	5306
45.4999300	-73.6182766	5274
45.5126745	-73.6766244	1380
45.5240986	-73.6003288	124
45.5241896	-73.6005318	125
45.5163162	-73.5776163	3895
45.4954481	-73.8516526	14109
45.4831992	-73.8009952	50
45.5002405	-73.5718102	1255
45.4863770	-73.5986565	21
45.4810065	-73.5780555	3000
45.4934528	-73.5601157	256
45.5148354	-73.5655200	300
45.4886399	-73.5801665	2175
45.4882983	-73.5800435	2180
45.4877868	-73.5808932	2238
45.4884788	-73.5802495	2181
45.4880335	-73.5809361	2225
45.4877086	-73.5810906	2250
45.4874799	-73.5819232	2300
45.4879132	-73.5812108	2251
45.4876725	-73.5820691	2305
45.4880937	-73.5812623	1042
45.4879954	-73.5811567	1036
45.4881659	-73.5813738	1042A
45.4872513	-73.5814425	2290
45.4888639	-73.5796572	2080
45.4895318	-73.5786616	1980
45.4901275	-73.5792023	1975
45.4896882	-73.5800864	2101
45.4877387	-73.5808589	1007
45.4876183	-73.5807387	1001
45.4876604	-73.5806700	2237
45.4879312	-73.5802151	2207
45.4875280	-73.5810219	2268
45.4874137	-73.5814082	2262A
45.4870768	-73.5814854	1013
45.4871911	-73.5816142	1019
45.4876303	-73.5822236	1037
45.4878289	-73.5824381	1079
45.4873717	-73.5822869	1040
45.4885329	-73.5812880	2222
45.4886250	-73.5811010	2292
45.4887412	-73.5808652	2208
45.4888458	-73.5806529	2190
45.4889455	-73.5804962	2170
45.4881157	-73.5810452	1035
45.4898908	-73.5822210	1249
45.4894816	-73.5814915	1193
45.4898727	-73.5811653	1201
45.4896621	-73.5806933	1175
45.4906910	-73.5810795	2090
45.4908715	-73.5808735	2076
45.4909678	-73.5807705	2064
45.4910521	-73.5807018	2060
45.4913048	-73.5803499	1255
45.4911355	-73.5800366	1239
45.4904917	-73.5792126	1180
45.4905579	-73.5793414	1190
45.4904977	-73.5808005	1215
45.4899983	-73.5797620	1165
45.4904737	-73.5809636	1226
