country,religion,population
Afghanistan,Christian,30000
Afghanistan,Muslim,31330000
Afghanistan,Unaffiliated,0
Afghanistan,Hindu,10000
Afghanistan,Buddhist,0
Afghanistan,Folk Religions,0
Afghanistan,Other Religions,20000
Afghanistan,Jewish,0
Albania,Christian,580000
Albania,Muslim,2570000
Albania,Unaffiliated,50000
Albania,Hindu,0
Albania,Buddhist,0
Albania,Folk Religions,0
Albania,Other Religions,0
Albania,Jewish,0
Algeria,Christian,60000
Algeria,Muslim,34730000
Algeria,Unaffiliated,660000
Algeria,Hindu,0
Algeria,Buddhist,0
Algeria,Folk Religions,10000
Algeria,Other Religions,0
Algeria,Jewish,0
American Samoa,Christian,70000
American Samoa,Muslim,0
American Samoa,Unaffiliated,0
American Samoa,Hindu,0
American Samoa,Buddhist,0
American Samoa,Folk Religions,0
American Samoa,Other Religions,0
American Samoa,Jewish,0
Andorra,Christian,80000
Andorra,Muslim,0
Andorra,Unaffiliated,0
Andorra,Hindu,0
Andorra,Buddhist,0
Andorra,Folk Religions,0
Andorra,Other Religions,0
Andorra,Jewish,0
Angola,Christian,17270000
Angola,Muslim,40000
Angola,Unaffiliated,980000
Angola,Hindu,0
Angola,Buddhist,0
Angola,Folk Religions,790000
Angola,Other Religions,0
Angola,Jewish,0
Anguilla,Christian,10000
Anguilla,Muslim,0
Anguilla,Unaffiliated,0
Anguilla,Hindu,0
Anguilla,Buddhist,0
Anguilla,Folk Religions,0
Anguilla,Other Religions,0
Anguilla,Jewish,0
Antigua and Barbuda,Christian,80000
Antigua and Barbuda,Muslim,0
Antigua and Barbuda,Unaffiliated,0
Antigua and Barbuda,Hindu,0
Antigua and Barbuda,Buddhist,0
Antigua and Barbuda,Folk Religions,0
Antigua and Barbuda,Other Religions,0
Antigua and Barbuda,Jewish,0
Argentina,Christian,34420000
Argentina,Muslim,400000
Argentina,Unaffiliated,4920000
Argentina,Hindu,0
Argentina,Buddhist,20000
Argentina,Folk Religions,330000
Argentina,Other Religions,120000
Argentina,Jewish,200000
Armenia,Christian,3050000
Armenia,Muslim,0
Armenia,Unaffiliated,40000
Armenia,Hindu,0
Armenia,Buddhist,0
Armenia,Folk Religions,0
Armenia,Other Religions,0
Armenia,Jewish,0
Aruba,Christian,100000
Aruba,Muslim,0
Aruba,Unaffiliated,0
Aruba,Hindu,0
Aruba,Buddhist,0
Aruba,Folk Religions,0
Aruba,Other Religions,0
Aruba,Jewish,0
Australia,Christian,14980000
Australia,Muslim,540000
Australia,Unaffiliated,5390000
Australia,Hindu,310000
Australia,Buddhist,600000
Australia,Folk Religions,150000
Australia,Other Religions,180000
Australia,Jewish,110000
Austria,Christian,6750000
Austria,Muslim,450000
Austria,Unaffiliated,1130000
Austria,Hindu,0
Austria,Buddhist,20000
Austria,Folk Religions,0
Austria,Other Religions,10000
Austria,Jewish,10000
Azerbaijan,Christian,280000
Azerbaijan,Muslim,8900000
Azerbaijan,Unaffiliated,0
Azerbaijan,Hindu,0
Azerbaijan,Buddhist,0
Azerbaijan,Folk Religions,0
Azerbaijan,Other Religions,0
Azerbaijan,Jewish,0
Bahamas,Christian,330000
Bahamas,Muslim,0
Bahamas,Unaffiliated,10000
Bahamas,Hindu,0
Bahamas,Buddhist,0
Bahamas,Folk Religions,0
Bahamas,Other Religions,0
Bahamas,Jewish,0
Bahrain,Christian,180000
Bahrain,Muslim,890000
Bahrain,Unaffiliated,20000
Bahrain,Hindu,120000
Bahrain,Buddhist,30000
Bahrain,Folk Religions,0
Bahrain,Other Religions,0
Bahrain,Jewish,0
Bangladesh,Christian,280000
Bangladesh,Muslim,133540000
Bangladesh,Unaffiliated,80000
Bangladesh,Hindu,13520000
Bangladesh,Buddhist,720000
Bangladesh,Folk Religions,520000
Bangladesh,Other Religions,30000
Bangladesh,Jewish,0
Barbados,Christian,260000
Barbados,Muslim,0
Barbados,Unaffiliated,0
Barbados,Hindu,0
Barbados,Buddhist,0
Barbados,Folk Religions,0
Barbados,Other Religions,0
Barbados,Jewish,0
Belarus,Christian,6830000
Belarus,Muslim,20000
Belarus,Unaffiliated,2740000
Belarus,Hindu,0
Belarus,Buddhist,0
Belarus,Folk Religions,0
Belarus,Other Religions,0
Belarus,Jewish,0
Belgium,Christian,6880000
Belgium,Muslim,630000
Belgium,Unaffiliated,3110000
Belgium,Hindu,0
Belgium,Buddhist,30000
Belgium,Folk Religions,20000
Belgium,Other Religions,10000
Belgium,Jewish,30000
Belize,Christian,270000
Belize,Muslim,0
Belize,Unaffiliated,30000
Belize,Hindu,0
Belize,Buddhist,0
Belize,Folk Religions,0
Belize,Other Religions,0
Belize,Jewish,0
Benin,Christian,4690000
Benin,Muslim,2110000
Benin,Unaffiliated,450000
Benin,Hindu,0
Benin,Buddhist,0
Benin,Folk Religions,1600000
Benin,Other Religions,0
Benin,Jewish,0
Bermuda,Christian,50000
Bermuda,Muslim,0
Bermuda,Unaffiliated,10000
Bermuda,Hindu,0
Bermuda,Buddhist,0
Bermuda,Folk Religions,0
Bermuda,Other Religions,0
Bermuda,Jewish,0
Bhutan,Christian,0
Bhutan,Muslim,0
Bhutan,Unaffiliated,0
Bhutan,Hindu,160000
Bhutan,Buddhist,540000
Bhutan,Folk Religions,10000
Bhutan,Other Religions,0
Bhutan,Jewish,0
Bolivia,Christian,9330000
Bolivia,Muslim,0
Bolivia,Unaffiliated,400000
Bolivia,Hindu,0
Bolivia,Buddhist,0
Bolivia,Folk Religions,90000
Bolivia,Other Religions,100000
Bolivia,Jewish,0
Bosnia-Herzegovina,Christian,1970000
Bosnia-Herzegovina,Muslim,1700000
Bosnia-Herzegovina,Unaffiliated,90000
Bosnia-Herzegovina,Hindu,0
Bosnia-Herzegovina,Buddhist,0
Bosnia-Herzegovina,Folk Religions,0
Bosnia-Herzegovina,Other Religions,0
Bosnia-Herzegovina,Jewish,0
Botswana,Christian,1450000
Botswana,Muslim,0
Botswana,Unaffiliated,410000
Botswana,Hindu,0
Botswana,Buddhist,0
Botswana,Folk Religions,120000
Botswana,Other Religions,10000
Botswana,Jewish,0
Brazil,Christian,173300000
Brazil,Muslim,40000
Brazil,Unaffiliated,15410000
Brazil,Hindu,0
Brazil,Buddhist,250000
Brazil,Folk Religions,5540000
Brazil,Other Religions,300000
Brazil,Jewish,110000
British Virgin Islands,Christian,20000
British Virgin Islands,Muslim,0
British Virgin Islands,Unaffiliated,0
