Bangladesh,Year,Bhutan,India,Nepal,Pakistan,Sri Lanka
2.24,2011,2.322,2.532,2.496,3.347,2.347
2.277,2010,2.375,2.563,2.619,3.43,2.343
2.322,2009,2.436,2.6,2.755,3.509,2.335
2.377,2008,2.506,2.643,2.899,3.581,2.323
2.443,2007,2.587,2.694,3.046,3.648,2.311
2.52,2006,2.682,2.753,3.194,3.713,2.298
2.607,2005,2.793,2.817,3.34,3.785,2.286
2.702,2004,2.923,2.884,3.486,3.873,2.274
2.802,2003,3.071,2.952,3.632,3.986,2.263
2.905,2002,3.237,3.018,3.778,4.125,2.252
3.011,2001,3.417,3.083,3.924,4.29,2.243
3.12,2000,3.608,3.145,4.068,4.474,2.237
3.231,1999,3.806,3.207,4.208,4.669,2.236
3.346,1998,4.006,3.269,4.343,4.861,2.24
3.468,1997,4.205,3.334,4.473,5.042,2.251
3.596,1996,4.401,3.402,4.596,5.208,2.268
3.732,1995,4.597,3.473,4.711,5.359,2.291
3.878,1994,4.796,3.549,4.817,5.499,2.32
4.033,1993,5.003,3.628,4.914,5.634,2.353
4.197,1992,5.216,3.709,5.004,5.767,2.39
4.37,1991,5.431,3.793,5.088,5.899,2.433
4.55,1990,5.639,3.878,5.165,6.024,2.483
4.738,1989,5.829,3.961,5.239,6.138,2.544
4.932,1988,5.994,4.044,5.31,6.234,2.617
5.13,1987,6.127,4.125,5.378,6.31,2.703
5.327,1986,6.23,4.203,5.444,6.367,2.8
5.522,1985,6.306,4.281,5.508,6.407,2.904
5.71,1984,6.362,4.358,5.569,6.436,3.012
5.89,1983,6.41,4.436,5.625,6.46,3.12
6.06,1982,6.456,4.515,5.676,6.483,3.223
6.216,1981,6.504,4.597,5.721,6.508,3.319
6.356,1980,6.553,4.679,5.76,6.535,3.408
6.48,1979,6.601,4.762,5.795,6.561,3.488
6.587,1978,6.64,4.843,5.824,6.583,3.562
6.68,1977,6.668,4.922,5.85,6.599,3.633
6.758,1976,6.685,5,5.873,6.608,3.705
6.821,1975,6.692,5.077,5.894,6.612,3.783
6.869,1974,6.69,5.156,5.912,6.611,3.87
6.904,1973,6.685,5.238,5.929,6.608,3.97
6.928,1972,6.679,5.323,5.945,6.605,4.083
6.942,1971,6.674,5.41,5.958,6.602,4.208
6.947,1970,6.671,5.494,5.971,6.601,4.342
6.945,1969,6.67,5.573,5.981,6.6,4.477
6.935,1968,6.67,5.642,5.988,6.6,4.609
6.92,1967,6.67,5.701,5.994,6.6,4.734
6.901,1966,6.67,5.747,5.996,6.6,4.849
6.878,1965,6.67,5.781,5.997,6.6,4.959
6.853,1964,6.67,5.807,5.997,6.6,5.067
6.825,1963,6.67,5.826,5.996,6.6,5.18
6.794,1962,6.67,5.842,5.995,6.6,5.299
6.761,1961,6.67,5.856,5.994,6.6,5.421
6.725,1960,6.67,5.87,5.993,6.6,5.541
