"Country code","Country or area","Sort order","Major area","Code","Sort order","Region","Code","Sort order","Developed region","Least developed country","Sub-Saharan Africa"
4,"Afghanistan",99,"Asia",935,71,"Southern Asia",5501,98,"No","Yes","No"
8,"Albania",154,"Europe",908,127,"Southern Europe",925,153,"Yes","No","No"
12,"Algeria",40,"Africa",903,7,"Northern Africa",912,39,"No","No","No"
16,"American Samoa",257,"Oceania",909,238,"Polynesia",957,256,"No","No","No"
20,"Andorra",155,"Europe",908,127,"Southern Europe",925,153,"Yes","No","No"
24,"Angola",30,"Africa",903,7,"Middle Africa",911,29,"No","Yes","Yes"
660,"Anguilla",182,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
28,"Antigua and Barbuda",183,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
32,"Argentina",218,"Latin America and the Caribbean",904,180,"South America",931,217,"No","No","No"
51,"Armenia",109,"Asia",935,71,"Western Asia",922,108,"No","No","No"
533,"Aruba",184,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
36,"Australia",240,"Oceania",909,238,"Australia and New Zealand",927,239,"Yes","No","No"
40,"Austria",171,"Europe",908,127,"Western Europe",926,170,"Yes","No","No"
31,"Azerbaijan",110,"Asia",935,71,"Western Asia",922,108,"No","No","No"
44,"Bahamas",185,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
48,"Bahrain",111,"Asia",935,71,"Western Asia",922,108,"No","No","No"
50,"Bangladesh",100,"Asia",935,71,"Southern Asia",5501,98,"No","Yes","No"
52,"Barbados",186,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
112,"Belarus",129,"Europe",908,127,"Eastern Europe",923,128,"Yes","No","No"
56,"Belgium",172,"Europe",908,127,"Western Europe",926,170,"Yes","No","No"
84,"Belize",209,"Latin America and the Caribbean",904,180,"Central America",916,208,"No","No","No"
204,"Benin",54,"Africa",903,7,"Western Africa",914,53,"No","Yes","Yes"
60,"Bermuda",233,"Northern America",905,232,"Northern America",905,232,"Yes","No","No"
64,"Bhutan",101,"Asia",935,71,"Southern Asia",5501,98,"No","Yes","No"
68,"Bolivia (Plurinational State of)",219,"Latin America and the Caribbean",904,180,"South America",931,217,"No","No","No"
70,"Bosnia and Herzegovina",156,"Europe",908,127,"Southern Europe",925,153,"Yes","No","No"
72,"Botswana",48,"Africa",903,7,"Southern Africa",913,47,"No","No","Yes"
76,"Brazil",220,"Latin America and the Caribbean",904,180,"South America",931,217,"No","No","No"
92,"British Virgin Islands",187,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
96,"Brunei Darussalam",87,"Asia",935,71,"South-Eastern Asia",920,86,"No","No","No"
100,"Bulgaria",130,"Europe",908,127,"Eastern Europe",923,128,"Yes","No","No"
854,"Burkina Faso",55,"Africa",903,7,"Western Africa",914,53,"No","Yes","Yes"
108,"Burundi",9,"Africa",903,7,"Eastern Africa",910,8,"No","Yes","Yes"
116,"Cambodia",88,"Asia",935,71,"South-Eastern Asia",920,86,"No","Yes","No"
120,"Cameroon",31,"Africa",903,7,"Middle Africa",911,29,"No","No","Yes"
124,"Canada",234,"Northern America",905,232,"Northern America",905,232,"Yes","No","No"
132,"Cabo Verde",56,"Africa",903,7,"Western Africa",914,53,"No","No","Yes"
535,"Bonaire, Sint Eustatius and Saba",188,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
136,"Cayman Islands",189,"Latin America and the Caribbean",904,180,"Caribbean",915,181,"No","No","No"
140,"Central African Republic",32,"Africa",903,7,"Middle Africa",911,29,"No","Yes","Yes"
148,"Chad",33,"Africa",903,7,"Middle Africa",911,29,"No","Yes","Yes"
830,"Channel Islands",140,"Europe",908,127,"Northern Europe",924,139,"Yes","No","No"
152,"Chile",221,"Latin America and the Caribbean",904,180,"South America",931,217,"No","No","No"
156,"China",79,"Asia",935,71,"Eastern Asia",906,78,"No","No","No"
