HDI rank,Country,Vulnerable groups: Refugees by country of origin (thousands) 2012,Note 1,Vulnerable groups: Internally displaced persons (thousands) 2012,Note 2,Vulnerable groups: Homeless persons (% of population) 2009,Note 3,Vulnerable groups: Orphane children due to all causes (thousands) 2012,Note 4,"Vulnerable groups: Prison population per 100,000 people: 2002-2013",Note 5: c,Vulnerable groups: Long-term unemployment (% of labour force) 2005-2012,Note 6: c,Depth of food deficit (kcal/caput/day)2011/2013,Note 7,"Homicide rate (per 100,000) 2008-2011",Note 8,Attitutdes (Justification of wife beating (% of females ages 15-49) 2005-2012,Note 9: c,Attitutdes (Justification of wife beating (% of males ages 15-49) 2005-2012,Note 10: c
1,Norway,0,,..,,..,,..,,72,,0.3,,..,,2.3,,..,,..,
2,Australia,0,,..,,..,,..,,130,,1.1,,..,,1.1,,..,,..,
3,Switzerland,0,,..,,..,,..,,82,,1.5,,..,,0.6,,..,,..,
4,Netherlands,0.1,,..,,..,,..,,82,,1.7,,..,,0.9,,..,,..,
5,United States,4.5,d,..,,..,,..,,716,,2.4,,..,,4.7,,..,,..,
6,Germany,0.2,,..,,..,,..,,79,,2.5,,..,,0.8,,..,,..,
7,New Zealand,0,,..,,..,,..,,192,,0.8,,..,,0.9,,..,,..,
8,Canada,0.1,,..,,..,,..,,118,,0.9,,..,,1.5,,..,,..,
9,Singapore,0.1,,..,,0.0,,..,,230,,0.6,,..,,0.3,,..,,..,
10,Denmark,0,,..,,..,,..,,73,,4.7,,..,,0.8,,..,,..,
11,Ireland,0,,..,,..,,..,,88,,9.0,,..,,0.9,,..,,..,
12,Sweden,0,,..,,..,,..,,67,,1.3,,..,,0.9,,..,,..,
13,Iceland,0,,..,,..,,..,,47,,1.5,,..,,0.9,,..,,..,
14,United Kingdom,0.2,,..,,..,,..,,148,,2.7,,..,,1.2,,..,,..,
15,"Hong Kong, China (SAR)",0,,..,,..,,..,,128,,..,,..,,0.2,,..,,..,
15,Korea (Republic of),0.6,,..,,0.4,,..,,99,,0.0,,6,,2.6,,..,,..,
17,Japan,0.2,,..,,..,,..,,51,,1.6,,..,,0.3,,..,,..,
18,Liechtenstein,..,,..,,..,,..,,24,,..,,..,,0,,..,,..,
19,Israel,1.3,,..,,0.0,,..,,223,,0.8,,..,,2,,..,,..,
20,France,0.1,,..,,..,,..,,98,e,3.9,,..,,1.2,,..,,..,
21,Belgium,0.1,,..,,..,,..,,108,,3.4,,..,,1.8,,..,,..,
21,Austria,0,,..,,..,,..,,98,,1.1,,..,,0.8,,..,,..,
21,Luxembourg,..,,..,,..,,..,,122,,1.6,,..,,0.8,,..,,..,
24,Finland,0,,..,,..,,..,,58,,1.6,,..,,2.2,,..,,..,
25,Slovenia,0,,..,,..,,..,,66,,4.2,,..,,0.8,,..,,..,
26,Italy,0.1,,..,,..,,..,,106,,5.6,,..,,0.9,,..,,..,
27,Spain,0.1,,..,,..,,..,,147,,11.1,,..,,0.8,,..,,..,
28,Czech Republic,0.6,,..,,..,,..,,154,,3.0,,..,,0.8,,..,,..,
29,Greece,0.1,,..,,..,,..,,111,,14.4,,..,,1.6,,..,,..,
30,Brunei Darussalam,0,,..,,0.0,,..,,122,,..,,2,,..,,..,,..,
31,Qatar,0.1,,..,,0.0,,..,,60,,0.1,,..,,0.9,,..,,..,
32,Cyprus,0,,208,f,..,,..,,106,g,3.6,,..,,0.8,,..,,..,
33,Estonia,0.5,,..,,..,,..,,238,,5.5,,..,,4.8,,..,,..,
34,Saudi Arabia,0.8,,..,,0.0,,..,,162,,..,,12,,..,,..,,..,
35,Poland,1.6,,..,,..,,..,,217,,3.5,,..,,1.2,,..,,..,
35,Lithuania,0.5,,..,,..,,..,,329,,6.5,,..,,6.4,,..,,..,
37,Andorra,0,,..,,..,,..,,38,,..,,..,,1.2,,..,,..,
37,Slovakia,0.2,,..,,..,,..,,187,,8.9,,..,,1.8,,..,,..,
39,Malta,0,,..,,..,,..,,145,,3.0,,..,,0.7,,..,,..,
40,United Arab Emirates,0.6,,..,,0.0,,..,,238,,..,,25,,..,,..,,..,
41,Portugal,0,,..,,..,,..,,136,,7.6,,..,,1.1,,..,,..,
41,Chile,1.2,,..,,0.6,,..,,266,,..,,23,,3.7,,..,,..,
43,Hungary,1.1,,..,,..,,..,,186,,5.1,,..,,1.4,,..,,..,
44,Bahrain,0.3,,..,,0.0,,..,,275,,..,,..,,0.5,,..,,..,
44,Cuba,6.7,,..,,1.9,,..,,510,,..,,4,,5,,..,,..,
46,Kuwait,1.2,,..,,..,,..,,137,,..,,11,,2.2,,..,,..,
47,Croatia,62.6,,0,,..,,..,,108,,10.2,,..,,1.1,,..,,..,
48,Latvia,0.7,,..,,..,,..,,304,,7.7,,..,,3.1,,..,,..,
49,Argentina,0.4,,..,,0.4,,..,,147,,2.0,,23,,5.5,,..,,..,
50,Uruguay,0.2,,..,,0.4,,..,,281,,..,,42,,5.9,,..,,..,
51,Montenegro,4.1,,..,,..,,..,,208,,15.8,,..,,3.6,,10.9,,..,
51,Bahamas,0.2,,..,,0.6,,..,,444,,7.1,,40,,36.6,,..,,..,
53,Belarus,6.2,,..,,..,,..,,335,,..,,..,,4.9,,4.1,,4.2,
54,Romania,2.8,,..,,..,,..,,155,,3.2,,..,,1.6,,..,,..,
55,Libya,5.3,,50,h,0.0,,..,,81,,..,,8,,2.9,,..,,..,
56,Oman,0.1,,..,,0.0,,..,,61,,..,,..,,0.7,,..,,..,
57,Russian Federation,110.7,,9.9,i,..,,..,,475,,1.7,,..,,9.7,,..,,..,
58,Bulgaria,2.1,,..,,..,,..,,151,,6.8,,..,,1.7,,..,,..,
59,Barbados,0.1,,..,,1.0,,..,,521,,2.3,,23,,11.3,,..,,..,
60,Palau,..,,..,,..,,..,,295,,..,,..,,0,,..,,..,
61,Antigua and Barbuda,0,,..,,9.4,,..,,403,,..,,100,,6.8,,..,,..,
62,Malaysia,0.5,,..,,0.3,,..,,132,,..,,23,,..,,..,,..,
63,Mauritius,0.1,,..,,0.3,,..,,202,,2.0,,37,,3.4,,..,,..,
64,Trinidad and Tobago,0.3,,..,,0.0,,..,,281,,..,,53,,26.1,,7.6,,..,
65,Lebanon,15.1,,44.6,,0.1,,..,,118,,..,,20,,2.2,,9.7,k,..,
65,Panama,0.1,,..,,0.5,,..,,411,,..,,57,,21.3,,..,,..,
67,Venezuela (Bolivarian Republic of),8.2,,..,,0.7,,..,,161,,..,,14,,45.1,,..,k,..,k
68,Costa Rica,0.3,,..,,1.4,,..,,314,,..,,57,,10,,..,,..,
69,Turkey,135.4,,"954 - 1,201",k,1.6,,..,,179,,2.3,,5,,3.3,,24.7,,..,
70,Kazakhstan,3.6,,..,,..,,..,,295,,..,,3,,8.8,,12.2,,16.7,
71,Seychelles,0,,..,,0.2,,..,,709,,..,,49,,..,,..,,..,
71,Mexico,8.4,,..,,0.7,,..,,210,,0.1,,2,,23.7,,..,,..,
73,Saint Kitts and Nevis,0,,..,,0.2,,..,,714,,..,,72,,38.2,,..,,..,
73,Sri Lanka,132.8,,90,,12.1,,..,,132,,1.5,,200,,3.6,,53.2,k,..,
75,Iran (Islamic Republic of),75.6,,..,,0.5,,..,,284,,..,,29,,3,,..,,..,
76,Azerbaijan,15.9,,600,l,..,,..,,413,,..,,9,,2.2,,49.0,,58.3,
77,Serbia,157.9,,225,,..,,..,,142,,18.7,,..,,1.3,,2.9,,6.6,k
77,Jordan,2.4,,..,,0.0,,..,,95,,..,,20,,..,,90.0,k,..,
79,Grenada,0.3,,..,,0.0,,..,,424,,..,,138,,11.5,,..,,..,
79,Brazil,1.1,,..,,0.3,,..,,274,,9.8,,56,,21.8,,..,,..,
79,Georgia,9.3,,280,m,..,,..,,225,n,..,,..,,2.5,,6.9,,..,
82,Peru,5.2,,150,,2.5,,..,,202,,..,,76,,10.3,,..,,..,
83,Ukraine,25.3,,..,,..,,..,,305,,2.1,,..,,4.3,,3.6,,11.1,
84,Belize,0,,..,,0.0,,..,,476,,..,,39,,39,,8.6,,..,
84,The former Yugoslav Republic of Macedonia,7.6,,..,,..,,..,,122,,25.4,,..,,1.5,,14.5,,..,
86,Bosnia and Herzegovina,51.9,,113,,..,,..,,80,,25.4,,..,,1.3,,4.8,,6.0,
87,Armenia,16.1,,8.4,,..,,..,,164,,9.7,,16,,1.4,,9.3,,19.9,
88,Fiji,1.3,,..,,1.9,,..,,174,,2.6,,18,,..,,..,,..,
89,Thailand,0.4,,..,,0.4,,..,,398,,0.1,,40,,4.8,,..,,..,
90,Tunisia,1.9,,..,,0.0,,..,,199,,..,,6,,1.1,,30.3,,..,
91,Saint Vincent and the Grenadines,1.3,,..,,0.0,,..,,376,,16.9,,38,,19.2,,..,,..,
91,China,193.3,,..,,4.5,,..,,121,o,..,,76,,1,,..,,..,
93,Algeria,5.7,,..,,0.8,,..,,162,,7.1,,15,,0.8,,67.9,,..,
93,Dominica,0.1,,..,,7.4,,..,,391,,..,,14,,22.1,,..,,..,
95,Albania,12.6,,..,,..,,..,,158,,10.6,,..,,4.4,,29.8,,36.4,
96,Jamaica,1.4,,..,,0.1,,..,,152,,..,,60,,41.2,,2.9,k,21.5,k
97,Saint Lucia,0.6,,..,,0.2,,..,,317,,..,,88,,25.2,,..,,..,
98,Colombia,111.8,,"4,900 - 5,500",,1.7,,..,,245,,..,,70,,33.2,,..,,..,
98,Ecuador,0.8,,..,,0.9,,..,,149,,..,,106,,18.2,,..,,..,
100,Suriname,0,,..,,0.0,,..,,186,,..,,70,,4.6,,12.5,,..,
100,Tonga,0,,..,,3.6,,..,,150,,..,,..,,1,,..,,..,
102,Dominican Republic,0.3,,..,,1.5,,..,,240,,..,,107,,25,,4.1,,..,
103,Turkmenistan,0.7,,..,,..,,..,,224,,..,,15,,..,,37.7,k,..,
103,Maldives,0,,..,,13.9,,..,,307,p,..,,35,,1.6,,30.8,k,14.3,k
103,Mongolia,2.1,,..,,0.0,,..,,287,,3.4,,188,,9.5,,10.1,,8.8,k
106,Samoa,0,,..,,16.0,,..,,228,,..,,23,,1.1,,60.8,,45.7,
107,"Palestine, State of",5366.7,q,144.5,,..,,..,,..,,..,,211,,..,,..,,..,
108,Indonesia,10.1,,170,,0.8,,..,,59,,..,,64,,0.6,,35.0,k,17.0,k
109,Botswana,0.1,,..,,2.0,,160,,205,,10.4,,187,,14.5,,..,,..,
110,Egypt,10,,..,,0.1,,..,,80,,7.7,,8,,3.3,,39.3,,..,
111,Paraguay,0.1,,..,,0.2,,..,,118,,..,,157,,11.4,,..,,..,
112,Gabon,0.2,,..,,0.0,,61,,196,,..,,35,,13.8,,50.2,,39.7,
113,Bolivia (Plurinational State of),0.6,,..,,0.8,,..,,140,,1.3,,140,,7.7,,16.1,,..,
114,Moldova (Republic of),6.1,,..,,..,,..,,188,r,1.7,,..,,8.6,,20.8,,21.7,k
115,El Salvador,8.2,,..,,0.0,,..,,422,,..,,78,,70.2,,..,,..,
116,Uzbekistan,7.1,,3.4,,..,,..,,152,,..,,38,,3.1,,69.6,,59.4,k
117,Philippines,1,,72,s,3.3,,..,,111,,0.1,,100,,5.4,,14.1,,..,
