HDI rank,Country,2013 HDI Value,2013 Life Expectancy at Birth (years),2013 Life Expectancy at Birth (years) Note,2012 Mean years of schooling,2012 Mean years of schooling Note,2012 Expected years of schooling,2012 Expected years of schooling Note,2013 Gross national income (GNI) per capita (2011 PPP $),2013 Gross national income (GNI) per capita (2011 PPP $) Note,2012 Human Development Index (HDI) value,2012 Human Development Index (HDI) value Note,2012-2013 Change in rank
,Very high human development,0.89,80.2,,11.7,,16.3,,40046,,0.889,,
1,Norway,0.944,81.5,,12.6,,17.6,,63909,,0.943,,0
2,Australia,0.933,82.5,,12.8,,19.9,,41524,,0.931,,0
3,Switzerland,0.917,82.6,,12.2,,15.7,,53762,,0.916,,0
4,Netherlands,0.915,81,,11.9,,17.9,,42397,,0.915,,0
5,United States,0.914,78.9,,12.9,,16.5,,52308,,0.912,,0
6,Germany,0.911,80.7,,12.9,,16.3,,43049,,0.911,,0
7,New Zealand,0.91,81.1,,12.5,,19.4,,32569,,0.908,,0
8,Canada,0.902,81.5,,12.3,,15.9,,41887,,0.901,,0
9,Singapore,0.901,82.3,,10.2,b,15.4,c,72371,,0.899,,3
10,Denmark,0.9,79.4,,12.1,,16.9,,42880,,0.9,,0
11,Ireland,0.899,80.7,,11.6,,18.6,,33414,,0.901,,-3
12,Sweden,0.898,81.8,,11.7,b,15.8,,43201,,0.897,,-1
13,Iceland,0.895,82.1,,10.4,,18.7,,35116,,0.893,,0
14,United Kingdom,0.892,80.5,,12.3,,16.2,,35002,,0.89,,0
15,"Hong Kong, China (SAR)",0.891,83.4,,10,,15.6,,52383,,0.889,,0
15,Korea (Republic of),0.891,81.5,,11.8,,17,,30345,,0.888,,1
17,Japan,0.89,83.6,,11.5,,15.3,,36747,,0.888,,-1
18,Liechtenstein,0.889,79.9,d,10.3,e,15.1,,87085,"f,g",0.888,,-2
19,Israel,0.888,81.8,,12.5,,15.7,,29966,,0.886,,0
20,France,0.884,81.8,,11.1,,16,,36629,,0.884,,0
21,Austria,0.881,81.1,,10.8,b,15.6,,42930,,0.88,,0
21,Belgium,0.881,80.5,,10.9,b,16.2,,39471,,0.88,,0
21,Luxembourg,0.881,80.5,,11.3,,13.9,,58695,,0.88,,0
24,Finland,0.879,80.5,,10.3,,17,,37366,,0.879,,0
25,Slovenia,0.874,79.6,,11.9,,16.8,,26809,,0.874,,0
26,Italy,0.872,82.4,,10.1,b,16.3,,32669,,0.872,,0
27,Spain,0.869,82.1,,9.6,,17.1,,30561,,0.869,,0
28,Czech Republic,0.861,77.7,,12.3,,16.4,,24535,,0.861,,0
29,Greece,0.853,80.8,,10.2,,16.5,,24658,,0.854,,0
30,Brunei Darussalam,0.852,78.5,,8.7,,14.5,,70883,h,0.852,,0
31,Qatar,0.851,78.4,,9.1,,13.8,,119029,g,0.85,,0
32,Cyprus,0.845,79.8,,11.6,,14,,26771,,0.848,,0
33,Estonia,0.84,74.4,,12,,16.5,,23387,,0.839,,0
34,Saudi Arabia,0.836,75.5,,8.7,,15.6,,52109,,0.833,,0
35,Lithuania,0.834,72.1,,12.4,,16.7,,23740,,0.831,,1
