HDI rank,Country,Gender Inequality Index Value 2013,Gender Inequality Index Rank 2013,"2010 Maternal mortality ratio (deaths  per 100,000 live births)","2010/2015 Adolescent birth rate (births per 1,000 women aged 15-19)",Note 1,2013 Share of seats in parliament (% held by women),Population with at least some secondary education (% aged 25 and above) Female 2005-2012,Note 2,Population with at least some secondary education (% aged 25 and above) Male 2005-2012,Note 3,Labour Force Participation rate (%aged 15 and above) Female 2012,Labour Force Participation rate (%aged 15 and above) Male 2012
,Very high human development,0.197,—,16,19.2,,26.7,86.1,,87.7,,52.3,69
1,Norway,0.068,9,7,7.8,,39.6,97.4,,96.7,,61.5,69.5
2,Australia,0.113,19,7,12.1,,29.2,94.3,c,94.6,c,58.8,71.9
3,Switzerland,0.030,2,8,1.9,,27.2,95,,96.6,,61.2,75.3
4,Netherlands,0.057,7,6,6.2,,37.8,87.7,,90.5,,79.9,87.3
5,United States,0.262,47,21,31,,18.2,95.1,,94.8,,56.8,69.3
6,Germany,0.046,3,7,3.8,,32.4,96.3,,97,,53.5,66.4
7,New Zealand,0.185,34,15,25.3,,32.2,95,,95.3,,62.1,73.9
8,Canada,0.136,23,12,14.5,,28,100,,100,,61.6,71.2
9,Singapore,0.090,15,3,6,,24.2,74.1,,81,,59,77.5
10,Denmark,0.056,5,12,5.1,,39.1,95.5,d,96.6,d,59.1,67.5
11,Ireland,0.115,20,6,8.2,,19.5,80.5,,78.6,,52.7,67.9
12,Sweden,0.054,4,4,6.5,,44.7,86.5,,87.3,,60.2,68.1
13,Iceland,0.088,14,5,11.5,,39.7,91,,91.6,,70.6,77.3
14,United Kingdom,0.193,35,12,25.8,,22.6,99.8,,99.9,,55.7,68.8
15,"Hong Kong, China (SAR)",..,..,,3.3,,,72.2,,79.2,,51.6,68
15,Korea (Republic of),0.101,17,16,2.2,,15.7,77,e,89.1,e,49.9,72
17,Japan,0.138,25,5,5.4,,10.8,87,,85.8,,48.1,70.4
18,Liechtenstein,..,..,,,,20,,,,,,
19,Israel,0.101,17,7,7.8,,22.5,84.4,,87.3,,58.1,69.5
20,France,0.080,12,8,5.7,,25.1,78,,83.2,,50.9,61.8
21,Austria,0.056,5,4,4.1,,28.7,100,,100,,54.6,67.7
21,Belgium,0.068,9,8,6.7,,38.9,77.5,,82.9,,46.9,59.4
21,Luxembourg,0.154,29,20,8.3,,21.7,100,d,100,d,50.7,64.9
24,Finland,0.075,11,5,9.2,,42.5,100,,100,,56,64.3
25,Slovenia,0.021,1,12,0.6,,24.6,95.8,,98,,52.3,63.5
26,Italy,0.067,8,4,4,,30.6,71.2,,80.5,,39.4,59.4
27,Spain,0.100,16,6,10.6,,35.2,66.8,,73.1,,52.6,66.5
28,Czech Republic,0.087,13,5,4.9,,20.6,99.9,,99.7,,50.1,67.8
29,Greece,0.146,27,3,11.9,,21,59.5,,67,,44.2,62.6
30,Brunei Darussalam,..,..,24,23,,,66.6,e,61.2,e,52.9,75.6
31,Qatar,0.524,113,7,9.5,,0.1,66.7,,59,,50.8,95.6
32,Cyprus,0.136,23,10,5.5,,10.7,72.2,,79.6,,55.8,70.8
