HDI rank,Country,Literacy rates Adult (% aged 15 and above) 2005-2012,Note 1 - d,Literacy rates Youth (% aged 15-24) 2005-2012,Note 2,Population with at least some secondary education (% aged 25 and above) 2005-2012,Note 3,Gross enrolment ratios Pre-primary (% of children of pre-school age) 2003-2012,Note 4,Gross enrolment ratios Primary (% of primary school-age population) 2003-2012,Note 5,Gross enrolment ratios Secondary (% of secondary school-age population) 2003-2012,Note 6,Gross enrolment ratios Tertiary (% of tertiary school-age population) 2003-2012,Note 7,Primary school dropout rates (% of primary school cohort) 2003-2012,Note 8,Education quality Primary school teachers trained to teach (%) 2003-2012,Note 9 - a,Education quality: Performance of 15 year old students: Mathematics 2012,Note 10,Education quality: Performance of 15 year old students: Reading 2012,Note 11,Education quality: Performance of 15 year old students: Science 2012,Note 12,Education quality Pupil-teacher ratio (number of pupils per teacher) 2003-2012,Note 13 - a,Expenditure on education (% of GDP) 2005-2012,Note 14 - a
,Very high human development,..,,..,,86.9,,85,,103,,101,,76,,3.6,,..,,—,,—,,—,,,,5.3,
1,Norway,..,,..,,97.1,,99,,99,,113,,73,,0.7,,..,,489,,504,,495,,,,6.9,
2,Australia,..,,..,,94.4,e,95,,104,,133,,83,,,,..,,504,,512,,521,,,,5.1,
3,Switzerland,..,,..,,95.7,,100,,103,,96,,54,,,,..,,531,,509,,515,,,,5.4,
4,Netherlands,..,,..,,89,,90,,108,,128,,76,,,,..,,523,,511,,522,,,,6,
5,United States,..,,..,,95,,73,,99,,94,,95,,6.9,,..,,481,,498,,497,,14,,5.6,
6,Germany,..,,..,,96.6,,112,,101,,102,,57,,3.4,,..,,514,,508,,524,,12,,5.1,
7,New Zealand,..,,..,,95.2,,93,,100,,120,,81,,,,..,,500,,512,,516,,15,,7.2,
8,Canada,..,,..,,100,,71,,99,,102,,,,,,..,,518,,523,,525,,,,5.5,
9,Singapore,95.9,,99.8,,77.4,,,,,,,,,,1.3,,94,,573,,542,,551,,17,,3.3,
10,Denmark,..,,..,,96.1,f,100,,100,,120,,74,,1.1,,..,,500,,496,,498,,,,8.7,
11,Ireland,..,,..,,79.6,,67,,105,,118,,73,,,,..,,501,,523,,522,,16,,6.5,
12,Sweden,..,,..,,86.9,,95,,101,,97,,74,,4.4,,..,,478,,483,,485,,9,,7,
13,Iceland,..,,..,,91.3,,97,,99,,109,,81,,2.9,,..,,493,,483,,478,,10,,7.8,
14,United Kingdom,..,,..,,99.9,,85,,107,,97,,61,,,,..,,494,,499,,514,,17,,5.6,
15,"Hong Kong, China (SAR)",..,,..,,75.4,,101,,101,,106,,60,,1,,96,,561,,545,,555,,14,,3.4,
15,Korea (Republic of),..,,..,,82.9,g,118,,104,,97,,101,,1,,..,,554,,536,,538,,19,,5,
17,Japan,..,,..,,86.4,,87,,103,,102,,60,,0.1,,..,,536,,538,,547,,17,,3.8,
