State,County,Flyway,FlockType,Species,Pathogen,ConfirmationDate,Size
"Iowa","Wright","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","June 17, 2015","1000000"
"Iowa","Sioux","Mississippi","Backyard","Mixed Game Fowl","EA/AM-H5N2","June 9, 2015","2500"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","June 5, 2015","44000"
"Minnesota","Brown","Mississippi","Commercial","Turkeys","EA/AM-H5N2","June 5, 2015","39000"
"Iowa","Sac","Mississippi","Commercial","Turkeys","EA/AM-H5N2","June 4, 2015","42200"
"Minnesota","Renville","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","June 4, 2015","415000"
"Minnesota","Renville","Mississippi","Commercial","Turkeys","EA/AM-H5N2","June 4, 2015","24800"
"Iowa","Hamilton","Mississippi","Commercial","Turkeys","EA/AM-H5N2","June 4, 2015","19600"
"Nebraska","Dixon","Central","Backyard","Mixed Poultry","EA/AM-H5N2","June 4, 2015","0"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","June 3, 2015","37000"
"Iowa","Hamilton","Mississippi","Commercial","Turkeys","EA/AM-H5N2","June 3, 2015","26200"
"Iowa","Hamilton","Mississippi","Commercial","Turkeys","EA/AM-H5N2","June 3, 2015","17200"
"Iowa","Clay","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","June 3, 2015","1115700"
"Minnesota","Brown","Mississippi","Commercial","Turkeys","EA/AM-H5N2","June 3, 2015","15900"
"Iowa","Calhoun","Mississippi","Commercial","Turkeys","EA/AM-H5N2","June 2, 2015","13400"
"Minnesota","Blue Earth","Mississippi","Commercial","Turkeys","EA/AM-H5N2","June 2, 2015","19400"
"Iowa","Wright","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","June 1, 2015","434800"
"Iowa","Sac","Mississippi","Commercial","Turkeys","EA/AM-H5N2","June 1, 2015","0"
"Minnesota","Renville","Mississippi","Commercial","Turkeys","EA/AM-H5N2","June 1, 2015","47800"
"South Dakota","Moody","Central","Commercial","Turkeys","EA/AM-H5N2","June 1, 2015","52000"
"Minnesota","Brown","Mississippi","Commercial","Turkeys","EA/AM-H5N2","June 1, 2015","18300"
"Minnesota","Renville","Mississippi","Commercial","Turkey","EA/AM-H5N2","May 29, 2015","29300"
"Minnesota","Meeker","Mississippi","Commercial","Turkey","EA/AM-H5N2","May 29, 2015","4900"
"Iowa","Hamilton","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 29, 2015","17000"
"Minnesota","Brown","Mississippi","Commercial","Turkey","EA/AM-H5N2","May 29, 2015","7300"
"Iowa","Wright","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 28, 2015","991500"
"Minnesota","Renville","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 28, 2015","48900"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 28, 2015","50800"
"Iowa","Webster","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 27, 2015","0"
"Minnesota","Renville","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 27, 2015","95300"
"Minnesota","Brown","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 27, 2015","46800"
"Iowa","Adair","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 27, 2015","974500"
"Iowa","Pocahontas","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 26, 2015","20700"
"Nebraska","Dixon","Central","Commercial","Pullet Chickens","EA/AM-H5N2","May 26, 2015","293200"
"Iowa","Sac","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 21, 2015","100000"
"Iowa","Calhoun","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 21, 2015","14400"
"Iowa","Sioux","Mississippi","Backyard","Mixed Poultry","EA/AM-H5N2","May 20, 2015","0"
"Iowa","Sioux","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","May 20, 2015","99400"
"Iowa","Sioux","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 20, 2015","149100"
"Iowa","Sioux","Mississippi","Backyard","Mixed Poultry","EA/AM-H5N2","May 19, 2015","0"
"Iowa","Sac","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 19, 2015","28400"
"Minnesota","Renville","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 19, 2015","2045600"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 19, 2015","42600"
"Iowa","Sac","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 19, 2015","43400"
"South Dakota","Moody","Central","Commercial","Layer Chickens","EA/AM-H5N2","May 18, 2015","642700"
"Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 18, 2015","138800"
"Iowa","Sioux","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","May 15, 2015","272300"
"Iowa","Sioux","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 15, 2015","240000"
"Iowa","Plymouth","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","May 15, 2015","100000"
"Nebraska","Dixon","Central","Commercial","Layer Chickens","EA/AM-H5N2","May 15, 2015","1709400"
"Iowa","Buena Vista","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","May 15, 2015","903700"
"Iowa","Lyon","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 14, 2015","390000"
"South Dakota","Yankton","Central","Commercial","Turkeys","EA/AM-H5N2","May 13, 2015","70600"
"South Dakota","Hutchinson","Central","Commercial","Turkeys","EA/AM-H5N2","May 13, 2015","70600"
"Iowa","Cherokee","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 13, 2015","46500"
"Iowa","Buena Vista","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 13, 2015","26800"
"Iowa","Wright","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","May 12, 2015","966600"
"Minnesota","Swift","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 12, 2015","37900"
"Iowa","Osceola","Mississippi","Backyard","Mixed Poultry","EA/AM-H5N2","May 12, 2015","0"
"Nebraska","Dixon","Central","Commercial","Chickens","EA/AM-H5N2","May 12, 2015","1791500"
"Minnesota","Swift","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 11, 2015","65600"
"Iowa","Sac","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 11, 2015","35200"
"Iowa","Palo Alto","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 11, 2015","38400"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 11, 2015","22400"
"Iowa","Cherokee","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 11, 2015","42000"
"Iowa","Buena Vista","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 11, 2015","35400"
"Iowa","Buena Vista","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 11, 2015","33900"
"Iowa","Buena Vista","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 11, 2015","33300"
"Indiana","Whitley","Mississippi","Backyard","Mixed Poultry","EA -H5N8","May 10, 2015","0"
"Iowa","Wright","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 8, 2015","1106500"
"Iowa","Sioux","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 8, 2015","581300"
"Iowa","Sioux","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","May 8, 2015","327900"
"Iowa","Sioux","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","May 8, 2015","303100"
"Iowa","Pocahontas","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 8, 2015","24600"
"Iowa","Cherokee","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 8, 2015","43400"
"Iowa","Sioux","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 7, 2015","81000"
"Iowa","Sioux","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 7, 2015","309900"
"Iowa","Sioux","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 7, 2015","182300"
"Iowa","Osceola","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","May 7, 2015","256000"
"Iowa","Buena Vista","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 7, 2015","52900"
"Iowa","Buena Vista","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 7, 2015","43800"
"Iowa","Buena Vista","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 7, 2015","17900"
"Iowa","O&#39;Brien","Mississippi","Backyard","Ducks","EA/AM-H5N2","May 6, 2015","0"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 6, 2015","65000"
"Wisconsin","Jefferson","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","May 6, 2015","128000"
"Iowa","Wright","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 5, 2015","2821800"
"Minnesota","Swift","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 5, 2015","151300"
"Iowa","Sioux","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 5, 2015","160200"
"Minnesota","Pipestone","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 5, 2015","72200"
"Minnesota","Nicollet","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 5, 2015","1102900"
"Missouri","Lewis","Mississippi","Backyard","Mixed Poultry","EA/AM-H5N2","May 5, 2015","0"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 5, 2015","89100"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 5, 2015","40600"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 5, 2015","37300"
"Iowa","Cherokee","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 5, 2015","47200"
"Wisconsin","Barron","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 5, 2015","57200"
"Wisconsin","Barron","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 5, 2015","182400"
"Minnesota","Swift","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 4, 2015","46200"
"Iowa","Sac","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 4, 2015","42600"
"Minnesota","Renville","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 4, 2015","12900"
"Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 4, 2015","30400"
"Iowa","Madison","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 4, 2015","1495600"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 4, 2015","0"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 4, 2015","7400"
"Iowa","Cherokee","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 4, 2015","44700"
"Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 1, 2015","20500"
"Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 1, 2015","14800"
"Iowa","Sioux","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 1, 2015","165200"
"Iowa","Pocahontas","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 1, 2015","16700"
"Minnesota","Otter Tail","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 1, 2015","36400"
"Iowa","Kossuth","Mississippi","Commercial","Layer Breeder Chickens","EA/AM-H5N2","May 1, 2015","18800"
"Iowa","Clay","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","May 1, 2015","93000"
"Iowa","Buena Vista","Mississippi","Commercial","Layer chickens","EA/AM-H5N2","May 1, 2015","4910600"
"Iowa","Buena Vista","Mississippi","Commercial","Turkeys","EA/AM-H5N2","May 1, 2015","29600"
"Iowa","Buena Vista","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 30, 2015","25700"
"Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 30, 2015","11200"
"Iowa","Buena Vista","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 30, 2015","449100"
"Iowa","Buena Vista","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","April 30, 2015","40800"
"Wisconsin","Barron","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 30, 2015","96500"
"Minnesota","Stearns","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","April 29, 2015","202500"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 29, 2015","13200"
"Iowa","Buena Vista","Misssissippi","Commercial","Turkeys","EA/AM-H5N2","April 29, 2015","36400"
"Minnesota","Swift","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 28, 2015","18000"
"Minnesota","Steele","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 28, 2015","82900"
"Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 28, 2015","19100"
"Minnesota","Stearns","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 28, 2015","45100"
"Iowa","Sioux","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","April 28, 2015","3660000"
"Iowa","Osceola","Mississippi","Commercial","Pullet Chickens","EA/AM-H5N2","April 28, 2015","258000"
"Iowa","O&#39;Brien","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","April 28, 2015","98000"
"Iowa","O&#39;Brien","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","April 28, 2015","36800"
"Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 28, 2015","8400"
"Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 28, 2015","50900"
"Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 28, 2015","4200"
"Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 28, 2015","32100"
"Minnesota","Stearns","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 27, 2015","26900"
"Iowa","Sioux","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","April 27, 2015","1603900"
"Wisconsin","Barron","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 27, 2015","83300"
"Iowa","Sac","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 24, 2015","33900"
"Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 24, 2015","40200"
"North Dakota","LaMoure","Central","Commercial","Mixed Poultry","EA/AM-H5N2","April 24, 2015","71500"
"Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 24, 2015","67000"
"Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 24, 2015","42900"
"Wisconsin","Jefferson","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","April 24, 2015","1031000"
"Minnesota","Chippewa","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 24, 2015","64900"
"Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 23, 2015","54300"
"Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 23, 2015","36900"
"Minnesota","Clay","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","April 23, 2015","408500"
"Wisconsin","Chippewa","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 23, 2015","56500"
"Minnesota","Stearns","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 22, 2015","72500"
"Minnesota","Stearns","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 22, 2015","28600"
"Minnesota","Pipestone","Mississippi","Backyard","Mixed Poultry","EA/AM-H5N2","April 22, 2015","150"
"Minnesota","Otter Tail","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 22, 2015","34500"
"Minnesota","Meeker","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 22, 2015","58900"
"Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 22, 2015","34500"
"Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 22, 2015","19100"
"Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 22, 2015","62600"
"Minnesota","Stearns","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 21, 2015","53900"
"Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 21, 2015","10700"
"Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 21, 2015","34100"
"Minnesota","Kandiyohi","Mississippi","Commercial","turkeys","EA/AM-H5N2","April 21, 2015","130400"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 21, 2015","43600"
"Minnesota","Wadena","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 20, 2015","301000"
"South Dakota","Spink","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 20, 2015","33300"
"Minnesota","Redwood","Mississippi","Commercial","Turkey","EA/AM-H5N2","April 20, 2015","35500"
"Minnesota","Redwood","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 20, 2015","24300"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 20, 2015","62200"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 20, 2015","5000"
"Minnesota","Cottonwood","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 20, 2015","7500"
"Iowa","Osceola","Mississippi","Commercial","Layer chickens","EA/AM-H5N2","April 19, 2015","4030000"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 17, 2015","23000"
"Wisconsin","Juneau","Mississippi","Backyard","Mixed Poultry","EA/AM-H5N2","April 17, 2015","33"
"Minnesota","Roseau","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 16, 2015","26900"
"Wisconsin","Barron","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 16, 2015","126700"
"Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 15, 2015","67000"
"South Dakota","Roberts","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 15, 2015","66600"
"Minnesota","Otter Tail","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 15, 2015","19400"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 15, 2015","152000"
"Minnesota","Swift","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 14, 2015","154000"
"Minnesota","Redwood","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 14, 2015","84800"
"Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 14, 2015","26100"
"Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 14, 2015","18400"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 14, 2015","30700"
"Minnesota","Swift","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 13, 2015","153500"
"Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 13, 2015","68500"
"Minnesota","Le Sueur","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 11, 2015","21500"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 11, 2015","38400"
"Wisconsin","Jefferson","Mississippi","Commercial","Layer Chickens","EA/AM-H5N2","April 11, 2015","189100"
"South Dakota","McPherson","Central","Commercial","Turkeys","EA/AM-H5N2","April 10, 2015","55200"
"South Dakota","McCook","Central","Commercial","Turkeys","EA/AM-H5N2","April 10, 2015","54700"
"North Dakota","Dickey","Central","Commercial","Turkeys","EA/AM-H5N2","April 10, 2015","40000"
"Minnesota","Watonwan","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 9, 2015","30000"
"Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 9, 2015","45000"
"Minnesota","Lyon","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 9, 2015","66000"
"Minnesota","Cottonwood","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 9, 2015","48000"
"South Dakota","Kingsbury","Central","Commercial","Turkeys","EA/AM-H5N2","April 8, 2015","71900"
"Minnesota","Meeker","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 7, 2015","310000"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 7, 2015","30000"
"Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 4, 2015","78000"
"Minnesota","Kandiyohi","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 4, 2015","26500"
"Minnesota","Stearns","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 2, 2015","65700"
"Minnesota","Nobles","Mississippi","Commercial","Turkeys","EA/AM-H5N2","April 2, 2015","21000"
"Montana","Judith Basin","Central","Backyard","Mixed Poultry","EA/AM-H5N2","April 2, 2015","40"
"South Dakota","Beadle","Central","Commercial","Turkeys","EA/AM-H5N2","April 1, 2015","50600"
"Minnesota","Lac Qui Parle","Mississippi","Commercial","Turkeys","EA/AM-H5N2","March 27, 2015","66000"
"Kansas","Leavenworth","Central","Backyard","Mixed poultry","EA/AM-H5N2","March 13, 2015","10"
"Arkansas","Boone","Mississippi","Commercial","Turkeys","EA/AM-H5N2","March 11, 2015","40020"
"Missouri","Moniteau","Mississippi","Commercial","Turkeys","EA/AM-H5N2","March 10, 2015","23000"
"Missouri","Jasper","Mississippi","Commercial","Turkeys","EA/AM-H5N2","March 9, 2015","30100"
"Minnesota","Pope","Mississippi","Commercial","Turkeys","EA/AM-H5N2","March 4, 2015","44000"
"Oregon","Deschutes","Pacific","Backyard","Mixed poultry","EA/AM-H5N2","February 17, 2015","70"
"California","Kings","Pacific","Commercial","Chicken","EA-H5N8","February 12, 2015","112900"
"Washington","Okanogan","Pacific","Backyard","Chicken","EA/AM-H5N2","February 3, 2015","40"
"Washington","Okanogan","Pacific","Backyard","Pheasant","EA/AM-H5N2","January 29, 2015","5830"
"California","Stanislaus","Pacific","Commercial","Turkeys","EA-H5N8","January 23, 2015","134400"
"Washington","Clallam","Pacific","Backyard","Mixed Poultry","EA/AM-H5N2","January 16, 2015","110"
"Idaho","Canyon","Pacific","Backyard","Mixed poultry","EA/AM-H5N2","January 16, 2015","30"
"Washington","Benton","Pacific","Backyard","Mixed Poultry","EA/AM-H5N2","January 9, 2015","590"
"Washington","Benton","Pacific","Backyard","Mixed poultry","EA/AM-H5N2","January 3, 2015","140"
"Oregon","Douglas","Pacific","Backyard","Mixed poultry","EA -H5N8","December 19, 2014","130"
