date,latitude,longitude,depth,magnitude
1905-07-23T09:46:00.000Z,49.3,94.9,0,8.5
1906-01-31T23:36:00.000Z,1,-80,0,8.6
1906-08-17T07:11:00.000Z,50.6,178.36,0,8.4
1922-11-11T12:32:00.000Z,-28.553,-70.755,35,8.7
1923-02-04T00:01:00.000Z,53.853,160.761,35,8.5
1933-03-03T01:31:00.000Z,39.224,144.622,35,8.4
1938-02-02T03:04:00.000Z,-5.05,131.62,35,8.6
1946-04-01T19:29:00.000Z,53.362,-162.854,35,8.6
1950-08-15T21:09:00.000Z,28.29,96.657,35,8.6
1952-11-05T00:58:00.000Z,52.756,160.056,22.1,9
1957-03-09T22:22:00.000Z,51.587,-175.419,35,8.6
1958-11-07T06:58:00.000Z,44.311,148.65,35,8.4
1960-05-23T02:11:00.000Z,-38.294,-73.054,35,9.6
1963-10-13T12:17:00.000Z,44.763,149.801,26,8.6
1964-03-28T10:36:00.000Z,61.019,-147.626,6.3,9.2
1965-02-04T13:01:00.000Z,51.21,178.498,28.8,8.7
2001-06-24T03:33:00.000Z,-16.38,-73.5,32,8.4
2004-12-26T08:58:00.000Z,3.27,95.86,21.5,9
2005-03-29T00:09:00.000Z,2.05,97.06,33.7,8.6
2007-09-12T18:10:00.000Z,-4.44,101.37,34,8.5
